,Zions_male,Zions_female,tuple,Bancorp_male,Bancorp_female,average_male,average_female,female-male
87,-0.8003863,-0.8233881,"('dedicated', 'undedicated')",-0.6254834,-0.42200252,-0.7129348516464233,-0.6226953268051147,0.0902395248413086
98,-0.79386306,-0.8151332,"('prestigious', 'insignificant')",-0.63857484,-0.8109204,-0.7162189483642578,-0.8130267858505249,-0.09680783748626709
47,-0.78089416,-0.80116874,"('forgiving', 'unforgiving')",-0.80817056,-0.63535297,-0.7945323586463928,-0.7182608842849731,0.07627147436141968
38,-0.77866143,-0.6824442,"('kind', 'unkind')",-1.4416716,-1.1765802,-1.1101665496826172,-0.9295122027397156,0.1806543469429016
37,0.7782204,0.75147223,"('good', 'evil')",0.51971114,0.32425177,0.6489657759666443,0.5378620028495789,-0.11110377311706543
90,0.752974,0.72178614,"('motivated', 'unmotivated')",0.589619,0.41224116,0.6712964773178101,0.5670136213302612,-0.10428285598754883
13,-0.7311795,-0.6980366,"('helpful', 'unhelpful')",-0.990798,-0.9547242,-0.8609887361526489,-0.8263803720474243,0.03460836410522461
100,-0.73016953,-0.5355758,"('influential', 'uninfluential')",0.2884032,0.5457975,-0.22088316082954407,0.0051108598709106445,0.2259940207004547
99,-0.71702576,-0.5792501,"('prestigious', 'insignificant')",-1.0309889,-1.1074672,-0.8740073442459106,-0.8433586359024048,0.03064870834350586
107,0.716499,0.6650848,"('conventional', 'modern')",0.21601802,0.39782986,0.4662584960460663,0.5314573049545288,0.06519880890846252
78,0.69182473,0.48051566,"('active', 'inactive')",0.29454756,-0.2516212,0.4931861460208893,0.11444723606109619,-0.3787389099597931
103,0.63868576,0.65237296,"('traditional', 'modern')",1.6278226,1.7673242,1.1332541704177856,1.2098486423492432,0.07659447193145752
84,-0.6139956,-0.6389205,"('self-confident', 'diffident')",-0.7361407,-0.8060268,-0.6750681400299072,-0.7224736213684082,-0.04740548133850098
74,-0.609146,-0.6545347,"('insightful', 'unperceptive')",-0.82072175,-0.8485622,-0.7149338722229004,-0.7515484094619751,-0.03661453723907471
63,-0.60708165,-0.5445758,"('capable', 'incapable')",-1.4164733,-1.5179906,-1.011777400970459,-1.0312831401824951,-0.019505739212036133
64,0.60208297,0.5010382,"('clever', 'incompetent')",0.80906117,0.95183563,0.7055720686912537,0.7264369130134583,0.02086484432220459
76,0.600934,0.55868846,"('secure', 'insecure')",0.3381135,0.5462158,0.46952375769615173,0.5524520874023438,0.08292832970619202
35,0.5624703,0.6455066,"('fair', 'unfair')",0.66243404,0.44880757,0.6124521493911743,0.5471571087837219,-0.06529504060745239
2,0.54980767,0.496877,"('friendly', 'unfriendly')",0.66610444,0.88015914,0.607956051826477,0.6885180473327637,0.08056199550628662
97,0.538004,0.4567725,"('superior', 'inferior')",-0.11535457,-0.09572339,0.21132470667362213,0.1805245578289032,-0.030800148844718933
17,0.5332043,0.64165914,"('social', 'antisocial')",0.0793335,0.19349991,0.3062689006328583,0.4175795316696167,0.11131063103675842
20,0.5203656,0.72289646,"('popular', 'unpopular')",-0.4182053,-0.48459652,0.05108015239238739,0.11914996802806854,0.06806981563568115
96,0.5097723,0.6562625,"('powerful', 'powerless')",-0.8717902,-0.6984346,-0.1810089349746704,-0.021086037158966064,0.15992289781570435
23,0.49302423,0.4639782,"('hospitable', 'inhospitable')",0.44341585,0.2598485,0.468220055103302,0.3619133532047272,-0.10630670189857483
5,0.47944906,0.4695004,"('pleasant', 'repellent')",0.68506104,0.7272531,0.5822550654411316,0.5983767509460449,0.01612168550491333
36,0.47884005,0.25929224,"('tolerant', 'intolerant')",0.09128159,0.29093817,0.2850608229637146,0.2751151919364929,-0.00994563102722168
71,0.4764285,0.24312115,"('efficient', 'inefficient')",0.30609953,0.27766466,0.39126402139663696,0.2603929042816162,-0.13087111711502075
65,-0.47001112,-0.5620476,"('practical', 'impractical')",-0.744943,-0.5376449,-0.607477068901062,-0.5498462915420532,0.05763077735900879
41,0.42982578,0.52958435,"('incorrupt', 'corrupt')",0.051015794,-0.08267462,0.24042078852653503,0.22345486283302307,-0.016965925693511963
4,-0.42585853,-0.47701025,"('likable', 'unlikable')",-1.8678328,-1.8887656,-1.1468456983566284,-1.1828879117965698,-0.036042213439941406
25,-0.40906644,-0.47740126,"('moral', 'immoral')",0.54315114,0.63941216,0.06704235076904297,0.08100545406341553,0.013963103294372559
70,0.3995827,0.4494064,"('wise', 'unwise')",0.44202796,0.40752843,0.42080533504486084,0.42846739292144775,0.007662057876586914
44,-0.37578046,-0.3007325,"('truthful', 'untruthful')",-1.4175123,-1.5116706,-0.8966463804244995,-0.9062015414237976,-0.009555160999298096
31,-0.3586522,-0.24012944,"('altruistic', 'egoistic')",-0.9373328,-0.96123844,-0.6479924917221069,-0.6006839275360107,0.04730856418609619
30,0.3271104,0.2269578,"('honest', 'dishonest')",-0.5835436,-0.6452773,-0.12821659445762634,-0.2091597616672516,-0.08094316720962524
61,0.32205588,0.57619447,"('rational', 'irrational')",-0.38672712,-0.44416922,-0.03233562409877777,0.06601262092590332,0.09834824502468109
18,-0.32144883,-0.23764443,"('social', 'asocial')",-0.2884058,-0.14405504,-0.3049273192882538,-0.19084973633289337,0.11407758295536041
45,-0.31545454,-0.5234252,"('cooperative', 'exploitative')",-0.23562089,-0.134942,-0.27553772926330566,-0.3291836082935333,-0.05364587903022766
102,-0.30733305,-0.048252285,"('eminent', 'low')",0.44858158,0.62669396,0.07062426209449768,0.2892208397388458,0.21859657764434814
46,0.30342877,0.20377053,"('generous', 'stingy')",0.033171773,0.05766648,0.16830027103424072,0.13071849942207336,-0.03758177161216736
59,0.29710722,0.4385461,"('skillful', 'clumsy')",-0.40532738,-0.47181278,-0.0541100800037384,-0.016633346676826477,0.037476733326911926
19,-0.29492927,-0.07462114,"('funny', 'boring')",-1.1941208,-1.1519969,-0.7445250153541565,-0.6133090257644653,0.13121598958969116
39,-0.28200522,-0.2544506,"('right', 'wrong')",-0.79409707,-0.91028774,-0.5380511283874512,-0.5823691487312317,-0.04431802034378052
82,0.2776354,0.38219157,"('industrious', 'meek')",-1.1096069,-1.3464766,-0.41598573327064514,-0.48214250802993774,-0.0661567747592926
72,0.2643378,0.3679651,"('logical', 'illogical')",-0.42744637,-0.4251438,-0.08155427873134613,-0.02858935296535492,0.05296492576599121
81,0.26089692,0.17697346,"('industrious', 'lazy')",-0.41634762,-0.7273072,-0.077725350856781,-0.2751668691635132,-0.19744151830673218
56,0.26038834,0.22477268,"('intelligent', 'dumb')",1.3278823,1.1723036,0.794135332107544,0.6985381245613098,-0.09559720754623413
57,0.2449922,0.2229461,"('able', 'unable')",0.3705881,0.31311134,0.3077901601791382,0.26802873611450195,-0.03976142406463623
85,-0.24045485,-0.263906,"('ambitious', 'unambitious')",0.19836602,0.2759664,-0.021044418215751648,0.0060302019119262695,0.027074620127677917
62,-0.22390309,-0.028037876,"('creative', 'uncreative')",-0.7139607,-0.64651567,-0.4689319133758545,-0.33727675676345825,0.13165515661239624
8,-0.21861982,-0.28075853,"('open', 'distant')",-0.81559396,-1.131125,-0.5171068906784058,-0.7059417366981506,-0.18883484601974487
26,0.21292031,0.27163082,"('trustworthy', 'untrustworthy')",1.1512858,1.3278286,0.6821030378341675,0.7997297048568726,0.11762666702270508
79,0.20466019,0.16557147,"('determined', 'doubtful')",-0.115576625,-0.006894514,0.04454178363084793,0.07933847606182098,0.03479669243097305
22,-0.20376429,-0.35395277,"('welcoming', 'disagreeable')",0.7109407,0.6856879,0.2535881996154785,0.16586756706237793,-0.08772063255310059
110,0.19266334,0.13130301,"('narrow-minded', 'open-minded')",0.19654855,0.25172764,0.19460594654083252,0.19151532649993896,-0.0030906200408935547
68,0.18496113,-0.019356012,"('clever', 'inept')",-0.5724186,-0.6586093,-0.1937287151813507,-0.33898264169692993,-0.14525392651557922
106,-0.18368681,-0.11235465,"('conventional', 'unconventional')",-0.040573552,0.12501776,-0.11213018000125885,0.006331555545330048,0.1184617355465889
67,-0.17704466,-0.032544464,"('discriminating', 'undiscriminating')",-0.88570315,-0.8959999,-0.531373918056488,-0.4642722010612488,0.06710171699523926
91,-0.17418791,-0.24480203,"('resilient', 'nonresilient')",-0.3865993,-0.53602874,-0.2803936004638672,-0.39041537046432495,-0.11002177000045776
12,0.16527179,0.1335847,"('sympathetic', 'unsympathetic')",0.5207514,0.6398504,0.34301161766052246,0.3867175281047821,0.043705910444259644
77,0.15817761,0.20077604,"('active', 'inactive')",-0.92270166,-1.0773954,-0.3822620213031769,-0.4383096992969513,-0.056047677993774414
42,0.15205538,0.39704525,"('amicable', 'hostile')",-1.2470003,-1.2763395,-0.5474724769592285,-0.4396471381187439,0.10782533884048462
24,-0.14398679,-0.17812032,"('thoughtful', 'rough')",-0.054465026,-0.015405536,-0.09922590851783752,-0.09676292538642883,0.0024629831314086914
101,0.12373954,0.19056079,"('successful', 'unsuccessful')",-0.99354094,-0.99239254,-0.43490070104599,-0.40091586112976074,0.03398483991622925
73,0.12153375,-0.13078806,"('brilliant', 'incompetent')",-0.40895966,-0.4992023,-0.14371295273303986,-0.3149951696395874,-0.17128221690654755
89,0.09902662,0.012992784,"('daring', 'anxious')",-0.038220227,0.06132877,0.030403196811676025,0.03716077655553818,0.006757579743862152
0,0.07943934,0.174846,"('sociable', 'unsociable')",-0.0919185,0.11102101,-0.006239578127861023,0.14293350279331207,0.1491730809211731
7,0.07942793,0.022598356,"('outgoing', 'distant')",-0.88339996,-1.2195804,-0.4019860029220581,-0.5984910130500793,-0.19650501012802124
14,-0.07660352,-0.2076093,"('supportive', 'unsupportive')",0.21466994,0.0712992,0.06903321295976639,-0.06815505027770996,-0.13718826323747635
60,0.071674034,0.19288954,"('educated', 'uneducated')",0.93551147,1.1226552,0.5035927295684814,0.6577723622322083,0.1541796326637268
55,-0.065743566,-0.04090035,"('intelligent', 'unintelligent')",0.4417355,0.45895278,0.18799597024917603,0.20902621746063232,0.0210302472114563
43,0.026081562,-0.09035458,"('genuine', 'fake')",0.58087814,0.6184064,0.3034798502922058,0.2640259265899658,-0.03945392370223999
93,-0.02141729,0.039020512,"('dominating', 'dominated')",0.4660932,0.59975797,0.22233796119689941,0.3193892538547516,0.09705129265785217
83,-0.010333806,-0.088829026,"('energetic', 'lethargic')",0.47116673,0.55329096,0.2304164618253708,0.23223096132278442,0.0018144994974136353
