,Exelon_male,Exelon_female,tuple,average_male,average_female,female-male
62,-0.2934351,-0.05910662,"('creative', 'uncreative')",-0.29343509674072266,-0.05910661816596985,0.2343284785747528
18,0.2812593,0.49024758,"('social', 'asocial')",0.28125929832458496,0.49024757742881775,0.2089882791042328
110,0.26899675,0.13875057,"('narrow-minded', 'open-minded')",0.2689967453479767,0.1387505680322647,-0.13024617731571198
86,-0.26893872,-0.28523958,"('self-reliant', 'helpless')",-0.26893872022628784,-0.285239577293396,-0.016300857067108154
38,0.26083595,0.41629976,"('kind', 'unkind')",0.2608359456062317,0.4162997603416443,0.1554638147354126
96,0.26035622,0.16278227,"('powerful', 'powerless')",0.26035621762275696,0.16278226673603058,-0.09757395088672638
97,-0.24854472,-0.20029561,"('superior', 'inferior')",-0.24854472279548645,-0.2002956122159958,0.04824911057949066
44,-0.24541196,0.024353981,"('truthful', 'untruthful')",-0.2454119622707367,0.024353981018066406,0.2697659432888031
37,-0.23613793,-0.35726812,"('good', 'evil')",-0.23613792657852173,-0.3572681248188019,-0.12113019824028015
30,0.23290566,0.335109,"('honest', 'dishonest')",0.23290565609931946,0.33510899543762207,0.10220333933830261
102,0.21203278,0.16692287,"('eminent', 'low')",0.21203278005123138,0.16692286729812622,-0.045109912753105164
85,-0.20255606,-0.09885186,"('ambitious', 'unambitious')",-0.2025560587644577,-0.09885185956954956,0.10370419919490814
72,-0.16350532,-0.034074903,"('logical', 'illogical')",-0.16350531578063965,-0.03407490253448486,0.12943041324615479
84,0.15678,0.20797196,"('self-confident', 'diffident')",0.15678000450134277,0.2079719603061676,0.05119195580482483
54,0.14615697,-0.22982186,"('smart', 'stupid')",0.14615696668624878,-0.22982186079025269,-0.37597882747650146
29,-0.13298512,0.054515302,"('honest', 'immoral')",-0.13298511505126953,0.054515302181243896,0.18750041723251343
80,-0.12760442,0.06602046,"('independent', 'dependent')",-0.1276044249534607,0.06602045893669128,0.19362488389015198
47,0.11648834,0.3447805,"('forgiving', 'unforgiving')",0.11648833751678467,0.34478050470352173,0.22829216718673706
77,-0.105941325,-0.32054985,"('active', 'inactive')",-0.10594132542610168,-0.3205498456954956,-0.21460852026939392
3,0.10541048,0.12958957,"('likable', 'unlikable')",0.10541047900915146,0.12958957254886627,0.024179093539714813
58,0.10136409,0.10474001,"('able', 'clumsy')",0.10136409103870392,0.10474000871181488,0.003375917673110962
34,-0.10013357,0.0728554,"('loyal', 'disloyal')",-0.10013356804847717,0.0728553980588913,0.17298896610736847
56,-0.060325265,0.030095711,"('intelligent', 'dumb')",-0.0603252649307251,0.03009571135044098,0.09042097628116608
57,-0.058588117,-0.13958944,"('able', 'unable')",-0.058588117361068726,-0.13958944380283356,-0.08100132644176483
19,-0.057833165,0.13846952,"('funny', 'boring')",-0.05783316493034363,0.13846951723098755,0.19630268216133118
74,-0.052515224,0.29711217,"('insightful', 'unperceptive')",-0.05251522362232208,0.2971121668815613,0.34962739050388336
23,0.052255213,0.19875601,"('hospitable', 'inhospitable')",0.052255213260650635,0.19875600934028625,0.14650079607963562
46,-0.043602407,0.05110228,"('generous', 'stingy')",-0.04360240697860718,0.051102280616760254,0.09470468759536743
