,brown_male,brown_female,tuple,forman_male,forman_female,average_male,average_female,female-male
78,1.7541275,1.4037569,"('active', 'inactive')",1.8285868,1.3211876,1.791357159614563,1.3624722957611084,-0.4288848638534546
38,-1.7495959,-1.5019788,"('kind', 'unkind')",-0.2786299,0.0290469,-1.014112949371338,-0.7364659309387207,0.2776470184326172
29,-1.6341275,-1.7936981,"('honest', 'immoral')",-0.4831272,-0.4434311,-1.0586273670196533,-1.1185646057128906,-0.059937238693237305
12,-1.6086409,-1.3155351,"('sympathetic', 'unsympathetic')",0.4118988,0.47187617,-0.5983710289001465,-0.4218294620513916,0.17654156684875488
81,1.5735282,1.2700021,"('industrious', 'lazy')",-0.655284,-0.855831,0.45912209153175354,0.20708554983139038,-0.25203654170036316
66,1.5674798,1.922776,"('imaginative', 'unimaginative')",1.0171416,1.1184365,1.2923107147216797,1.520606279373169,0.22829556465148926
1,-1.5674744,-1.6106408,"('friendly', 'unfriendly')",-0.58543485,-0.45374492,-1.0764546394348145,-1.0321928262710571,0.044261813163757324
100,-1.4394586,-1.070765,"('influential', 'uninfluential')",0.95570695,0.6201873,-0.24187582731246948,-0.22528886795043945,0.01658695936203003
68,-1.3603187,-1.7143549,"('clever', 'inept')",-0.7353519,-1.2677714,-1.047835350036621,-1.491063117980957,-0.44322776794433594
88,1.3228219,1.4686317,"('impulsive', 'meek')",0.07681295,0.4053266,0.699817419052124,0.9369791746139526,0.2371617555618286
105,-1.2804142,-1.1998482,"('conventional', 'modern')",-0.39439273,-0.31529438,-0.8374034762382507,-0.757571280002594,0.07983219623565674
44,-1.2195209,-1.2049935,"('truthful', 'untruthful')",-0.14343035,0.11556353,-0.6814756393432617,-0.5447149872779846,0.1367606520652771
22,1.2122747,0.8479286,"('welcoming', 'disagreeable')",0.74785185,0.61819583,0.980063259601593,0.733062207698822,-0.247001051902771
49,-1.1849496,-1.063528,"('responsible', 'irresponsible')",-0.634848,-0.5468625,-0.9098988175392151,-0.8051952123641968,0.10470360517501831
74,-1.16866,-1.1355098,"('insightful', 'unperceptive')",-0.41342208,-0.4476046,-0.7910410761833191,-0.7915571928024292,-0.0005161166191101074
47,-1.1596849,-0.90415573,"('forgiving', 'unforgiving')",-0.08395254,-0.14247474,-0.6218187212944031,-0.5233152508735657,0.0985034704208374
80,1.1513319,1.0168507,"('independent', 'dependent')",0.1783553,0.16204464,0.6648436188697815,0.5894476771354675,-0.07539594173431396
2,-1.1434683,-0.9775498,"('friendly', 'unfriendly')",0.5592368,0.6287571,-0.292115718126297,-0.1743963360786438,0.1177193820476532
104,-1.1360903,-0.87700987,"('conventional', 'unconventional')",-1.4606841,-1.5419761,-1.2983871698379517,-1.2094929218292236,0.08889424800872803
36,-1.0985587,-1.125374,"('tolerant', 'intolerant')",-0.2717674,-0.34169185,-0.6851630210876465,-0.7335329055786133,-0.0483698844909668
43,-1.0850769,-0.99169207,"('genuine', 'fake')",-0.36117136,-0.5533612,-0.7231241464614868,-0.7725266218185425,-0.049402475357055664
20,1.0846411,1.012119,"('popular', 'unpopular')",0.3571811,0.81350946,0.7209110856056213,0.9128142595291138,0.19190317392349243
55,-1.0746971,-1.0373605,"('intelligent', 'unintelligent')",0.5801685,0.36106357,-0.2472643256187439,-0.33814847469329834,-0.09088414907455444
109,1.0419925,1.090014,"('conservative', 'liberal')",0.28713796,0.27527946,0.6645652651786804,0.6826467514038086,0.018081486225128174
108,1.0419925,1.090014,"('conservative', 'liberal')",0.28713796,0.27527946,0.6645652651786804,0.6826467514038086,0.018081486225128174
65,-0.99700737,-0.97825116,"('practical', 'impractical')",-0.087256074,-0.14187492,-0.5421317219734192,-0.5600630640983582,-0.017931342124938965
10,-0.98617125,-0.9130678,"('affectionate', 'unaffectionate')",-0.20589744,-0.153126,-0.5960343480110168,-0.5330969095230103,0.06293743848800659
82,0.9588245,0.68585724,"('industrious', 'meek')",0.4560068,0.41658196,0.7074156403541565,0.5512195825576782,-0.15619605779647827
33,-0.91411364,-0.86191225,"('softhearted', 'hardhearted')",-0.7449623,-0.82390714,-0.8295379877090454,-0.8429096937179565,-0.013371706008911133
83,-0.90519214,-0.6249698,"('energetic', 'lethargic')",0.015631676,-0.08498871,-0.44478023052215576,-0.3549792468547821,0.08980098366737366
60,-0.88713104,-0.63502645,"('educated', 'uneducated')",0.48011088,0.5962274,-0.2035100758075714,-0.019399523735046387,0.18411055207252502
73,-0.88586545,-1.1689264,"('brilliant', 'incompetent')",0.21961212,0.00085514784,-0.33312666416168213,-0.5840356349945068,-0.2509089708328247
35,0.8776723,1.0504173,"('fair', 'unfair')",0.033450305,0.41645205,0.4555613100528717,0.7334346771240234,0.27787336707115173
9,-0.85546064,-0.8071872,"('sensitive', 'insensitive')",0.386679,0.4684263,-0.23439082503318787,-0.16938045620918274,0.06501036882400513
87,-0.8252023,-0.53312546,"('dedicated', 'undedicated')",-0.5288428,-0.5475762,-0.6770225763320923,-0.5403507947921753,0.136671781539917
97,-0.82217836,-0.7005265,"('superior', 'inferior')",-0.06553531,-0.09640536,-0.4438568353652954,-0.39846593141555786,0.04539090394973755
51,-0.8099507,-0.5264621,"('competent', 'incompetent')",0.5928318,0.4453122,-0.10855945944786072,-0.04057493805885315,0.06798452138900757
62,-0.783487,-0.7411271,"('creative', 'uncreative')",-0.06331597,0.07040703,-0.42340150475502014,-0.33536002039909363,0.08804148435592651
61,0.76851356,0.8074906,"('rational', 'irrational')",-0.4704503,0.03680812,0.1490316241979599,0.4221493601799011,0.2731177359819412
7,0.7637467,0.29543015,"('outgoing', 'distant')",-0.344313,-0.41729754,0.20971684157848358,-0.06093369424343109,-0.2706505358219147
41,0.7619428,0.8002223,"('incorrupt', 'corrupt')",-1.0067298,-0.6955855,-0.12239351868629456,0.05231839418411255,0.1747119128704071
18,-0.75839627,-0.5809239,"('social', 'asocial')",0.04111763,0.010061614,-0.35863932967185974,-0.2854311466217041,0.07320818305015564
103,0.7482944,0.66439486,"('traditional', 'modern')",0.7937751,0.7006495,0.7710347175598145,0.682522177696228,-0.08851253986358643
0,-0.74668956,-0.5063433,"('sociable', 'unsociable')",0.79416186,0.85341465,0.023736149072647095,0.17353567481040955,0.14979952573776245
90,0.74158466,0.24595493,"('motivated', 'unmotivated')",1.0582706,0.8749991,0.8999276161193848,0.5604770183563232,-0.3394505977630615
30,-0.7172202,-0.48980576,"('honest', 'dishonest')",-0.11381003,0.15748206,-0.41551512479782104,-0.16616185009479523,0.24935327470302582
72,-0.6881033,-0.45491987,"('logical', 'illogical')",-0.17347917,-0.009537935,-0.4307912588119507,-0.23222890496253967,0.198562353849411
107,0.68024004,0.979282,"('conventional', 'modern')",1.7006631,2.2461886,1.1904516220092773,1.6127352714538574,0.4222836494445801
77,0.67493254,0.8389281,"('active', 'inactive')",0.31237432,0.27445173,0.49365341663360596,0.5566899180412292,0.06303650140762329
14,0.6732962,0.7273362,"('supportive', 'unsupportive')",0.8341454,0.66238725,0.7537208199501038,0.6948617696762085,-0.058859050273895264
63,-0.64861727,-0.93156284,"('capable', 'incapable')",-0.82081735,-0.6003031,-0.7347173094749451,-0.7659329771995544,-0.031215667724609375
56,0.6229398,0.67171764,"('intelligent', 'dumb')",-0.03170657,-0.005752247,0.29561662673950195,0.3329826891422272,0.03736606240272522
64,-0.61282843,-0.5707576,"('clever', 'incompetent')",0.67103916,0.37149194,0.02910536527633667,-0.09963284432888031,-0.12873820960521698
25,-0.5699149,-0.9609878,"('moral', 'immoral')",0.033188403,-0.019307375,-0.26836323738098145,-0.49014759063720703,-0.22178435325622559
24,-0.5641792,-0.5660036,"('thoughtful', 'rough')",-0.3974257,-0.5457535,-0.480802446603775,-0.5558785200119019,-0.07507607340812683
19,-0.551614,-0.43523416,"('funny', 'boring')",-0.14620313,0.061986282,-0.34890854358673096,-0.1866239309310913,0.16228461265563965
26,0.48376676,0.6199949,"('trustworthy', 'untrustworthy')",0.11569096,0.04752192,0.2997288703918457,0.3337584137916565,0.03402954339981079
31,-0.48075485,-0.673379,"('altruistic', 'egoistic')",-0.60205686,-0.6722385,-0.5414058566093445,-0.6728087663650513,-0.1314029097557068
67,-0.46360314,-0.036485255,"('discriminating', 'undiscriminating')",-0.40986335,-0.40519232,-0.4367332458496094,-0.2208387851715088,0.21589446067810059
59,0.44753817,0.6254625,"('skillful', 'clumsy')",0.23212269,0.4121894,0.3398304283618927,0.5188259482383728,0.1789955198764801
21,0.42593485,0.36438054,"('nice', 'nasty')",0.95909697,0.80374706,0.6925159096717834,0.5840637683868408,-0.10845214128494263
102,-0.42080048,-0.4220117,"('eminent', 'low')",0.61484325,0.45601112,0.09702138602733612,0.016999706625938416,-0.0800216794013977
94,0.4189292,0.5958805,"('aggressive', 'submissive')",1.0464512,1.0670869,0.7326902151107788,0.8314837217330933,0.09879350662231445
96,-0.41888517,-0.24411939,"('powerful', 'powerless')",0.10444066,0.045070037,-0.15722225606441498,-0.09952467679977417,0.05769757926464081
84,-0.39119965,-0.48327586,"('self-confident', 'diffident')",-0.58641446,-0.6576201,-0.4888070523738861,-0.5704479813575745,-0.08164092898368835
45,-0.38550243,-0.6474923,"('cooperative', 'exploitative')",-0.9847828,-1.1115873,-0.6851426362991333,-0.8795397877693176,-0.19439715147018433
42,0.35831434,0.2890461,"('amicable', 'hostile')",-0.7592662,-0.33173922,-0.20047593116760254,-0.021346554160118103,0.17912937700748444
76,0.35713005,0.40092775,"('secure', 'insecure')",0.16268054,0.2963947,0.25990527868270874,0.34866124391555786,0.08875596523284912
98,-0.3178793,-0.68541586,"('prestigious', 'insignificant')",-0.62531716,-0.8228062,-0.47159820795059204,-0.7541110515594482,-0.2825128436088562
70,0.3099037,0.51068425,"('wise', 'unwise')",1.230354,1.2755399,0.7701288461685181,0.893112063407898,0.12298321723937988
101,-0.2842992,-0.18389112,"('successful', 'unsuccessful')",-0.11164838,0.043220192,-0.19797378778457642,-0.07033546268939972,0.1276383250951767
71,-0.24718213,-0.5285056,"('efficient', 'inefficient')",1.023028,0.6774232,0.3879229426383972,0.0744587779045105,-0.3134641647338867
92,-0.23458052,-0.31317532,"('unwavering', 'wavering')",-0.117810935,-0.044559956,-0.17619572579860687,-0.1788676381111145,-0.0026719123125076294
5,0.22069861,0.19869268,"('pleasant', 'repellent')",0.8277124,0.85601234,0.5242055058479309,0.527352511882782,0.0031470060348510742
54,0.2177917,-0.21084014,"('smart', 'stupid')",0.28047943,-0.2679848,0.2491355687379837,-0.23941247165203094,-0.48854804039001465
39,-0.20740673,-0.18334122,"('right', 'wrong')",-0.6986047,-0.5601316,-0.45300573110580444,-0.37173640727996826,0.08126932382583618
17,-0.19438523,0.21876797,"('social', 'antisocial')",-0.42025694,-0.2782891,-0.30732107162475586,-0.02976056933403015,0.2775605022907257
8,0.19191179,-0.29630724,"('open', 'distant')",-0.5412053,-0.5554742,-0.1746467500925064,-0.4258907437324524,-0.251243993639946
57,0.16066524,-0.16357979,"('able', 'unable')",0.041079253,-0.28155458,0.10087224841117859,-0.22256718575954437,-0.32343943417072296
106,-0.15224813,0.09725584,"('conventional', 'unconventional')",-0.37085682,-0.44122705,-0.26155248284339905,-0.17198559641838074,0.08956688642501831
79,0.13978589,0.21097046,"('determined', 'doubtful')",-0.19047621,-0.1206155,-0.02534516155719757,0.045177482068538666,0.07052264362573624
91,0.115436465,0.01911521,"('resilient', 'nonresilient')",0.8272401,0.6761709,0.47133827209472656,0.34764304757118225,-0.12369522452354431
23,0.099758804,-0.18079424,"('hospitable', 'inhospitable')",-0.35616392,-0.16837591,-0.12820255756378174,-0.17458507418632507,-0.046382516622543335
93,-0.09899351,0.111462206,"('dominating', 'dominated')",-0.20496157,-0.065541446,-0.1519775390625,0.022960379719734192,0.1749379187822342
52,-0.07578874,0.3194418,"('competitive', 'uncompetitive')",0.9710156,1.0095036,0.4476134181022644,0.6644726991653442,0.21685928106307983
69,0.07475895,0.09184265,"('wise', 'foolish')",-0.788432,-0.48355794,-0.3568365275859833,-0.19585764408111572,0.16097888350486755
99,0.0731405,-0.3029962,"('prestigious', 'insignificant')",-1.1483506,-1.2232867,-0.5376050472259521,-0.7631414532661438,-0.22553640604019165
15,-0.069849074,0.2067397,"('polite', 'impolite')",0.53885955,0.8559781,0.23450523614883423,0.5313588976860046,0.2968536615371704
89,-0.04863979,0.12175487,"('daring', 'anxious')",0.7854169,0.7418579,0.3683885633945465,0.43180638551712036,0.06341782212257385
110,-0.04613298,-0.062269926,"('narrow-minded', 'open-minded')",0.013193756,-0.046605766,-0.01646961271762848,-0.054437845945358276,-0.0379682332277298
4,0.025635943,-0.26864204,"('likable', 'unlikable')",-0.2877183,-0.25042868,-0.13104116916656494,-0.25953537225723267,-0.12849420309066772
85,0.024638444,0.09863047,"('ambitious', 'unambitious')",0.5895325,0.73709756,0.30708545446395874,0.41786402463912964,0.1107785701751709
16,-0.013087213,0.23253131,"('social', 'antisocial')",0.41136774,0.12244305,0.199140265583992,0.17748717963695526,-0.021653085947036743
