,viacom_male,viacom_female,tuple,inc_male,inc_female,new_male,new_female,average_male,average_female,female-male
98,-1.0160098,-1.0362604,"('prestigious', 'insignificant')",-0.79852724,-0.9195298,0.27524158,0.15429056,-0.5130984783172607,-0.6004998683929443,-0.0874013900756836
103,0.99641544,1.2394485,"('traditional', 'modern')",0.54286605,0.60623926,0.68126935,0.61791956,0.7401835918426514,0.8212024370829264,0.08101884524027503
37,-0.9916903,-0.7962996,"('good', 'evil')",1.6858269,1.5811448,2.5303283,2.428041,1.0748216311136882,1.0709621111551921,-0.0038595199584960938
9,0.93826056,0.94351566,"('sensitive', 'insensitive')",-0.48028773,-0.4960956,-0.98445404,-0.92043555,-0.17549373706181845,-0.1576718290646871,0.017821907997131348
49,0.926427,0.5596642,"('responsible', 'irresponsible')",-0.63123447,-0.66606617,-1.0568249,-1.0981494,-0.2538774609565735,-0.4015171527862549,-0.1476396918296814
81,-0.89278805,-0.87511116,"('industrious', 'lazy')",1.177786,1.0300014,2.0022373,2.030965,0.7624117533365885,0.7286184628804525,-0.033793290456135994
64,0.88984567,0.735565,"('clever', 'incompetent')",-0.21611145,-0.17537993,-1.4687406,-1.580534,-0.26500213146209717,-0.34011630217234295,-0.07511417071024579
11,-0.8853495,-0.63003004,"('caring', 'unaffectionate')",-1.2535963,-1.2632395,-0.39734697,-0.45263273,-0.8454309304555258,-0.7819674015045166,0.06346352895100915
79,0.86653376,0.75659275,"('determined', 'doubtful')",0.29388967,0.37061524,0.31559122,0.37995023,0.4920048713684082,0.5023860931396484,0.010381221771240234
82,-0.8347492,-0.63351786,"('industrious', 'meek')",0.5020849,0.4451415,1.3513242,1.312031,0.3395532766977946,0.37455153465270996,0.034998257954915346
65,0.8116775,0.39875942,"('practical', 'impractical')",-0.7121357,-0.70735514,-1.6388373,-1.5554767,-0.5130984783172607,-0.6213574409484863,-0.10825896263122559
71,0.77167124,0.54701376,"('efficient', 'inefficient')",-0.70843303,-0.62070835,-1.2771156,-1.4559102,-0.4046258131663005,-0.5098682641983032,-0.10524245103200275
25,0.7670289,0.67984784,"('moral', 'immoral')",-0.35382932,-0.41679206,-1.4564099,-1.4396524,-0.34773675600687665,-0.3921988805135091,-0.04446212450663245
0,0.7450718,0.98014116,"('sociable', 'unsociable')",0.068446994,0.23471743,-0.76800233,-0.5637635,0.015172163645426432,0.2170316775639852,0.20185951391855878
90,0.7416681,0.6441419,"('motivated', 'unmotivated')",0.5110009,0.47775382,-0.115985096,-0.5120882,0.3788946469624837,0.2032692035039266,-0.1756254434585571
92,-0.7370859,-0.539449,"('unwavering', 'wavering')",-0.35777384,-0.49932325,1.0242958,0.81975317,-0.0235213041305542,-0.0730063517888387,-0.0494850476582845
14,0.728778,0.56808645,"('supportive', 'unsupportive')",1.4657954,1.3132231,-0.059206426,-0.05194989,0.7117889722188314,0.6097865502039591,-0.10200242201487231
42,-0.724054,-0.24325895,"('amicable', 'hostile')",0.31362426,0.4431113,1.8091202,1.8213055,0.4662301540374756,0.6737192471822103,0.20748909314473474
62,-0.7231229,-0.511412,"('creative', 'uncreative')",-1.0346447,-0.8341708,-0.56264377,-0.6173538,-0.7734704812367758,-0.6543122132619222,0.11915826797485352
33,-0.7142401,-0.5982437,"('softhearted', 'hardhearted')",-1.2179447,-1.1615895,-0.62816787,-0.6920396,-0.8534509340922037,-0.8172909418741862,0.03615999221801758
41,-0.7124123,-0.47104502,"('incorrupt', 'corrupt')",0.44234085,0.5492189,2.200282,2.1927314,0.6434035301208496,0.7569684187571207,0.11356488863627112
84,-0.6958594,-0.55732065,"('self-confident', 'diffident')",0.060128868,0.018382862,-0.24383731,-0.37390593,-0.29318926731745404,-0.30428123474121094,-0.011091967423756899
56,0.68191665,0.5456785,"('intelligent', 'dumb')",1.8939482,1.6449747,0.690233,1.0119772,1.0886992613474529,1.0675435066223145,-0.02115575472513842
72,-0.6796861,-0.41881457,"('logical', 'illogical')",-1.1190314,-0.995624,-0.42463043,-0.11634571,-0.7411159674326578,-0.5102614561716715,0.23085451126098633
45,-0.67918783,-0.6891399,"('cooperative', 'exploitative')",-1.0656619,-1.0753219,-1.0277846,-0.9165996,-0.9242114226023356,-0.8936870892842611,0.03052433331807447
78,0.6323664,0.35065007,"('active', 'inactive')",1.9014573,1.6172376,1.6742909,1.1332293,1.4027048746744792,1.0337056318918865,-0.3689992427825928
50,0.62011445,0.3744897,"('unprejudiced', 'prejudiced')",2.1868188,2.2143292,1.2686491,1.0383911,1.3585275014241536,1.209070046742757,-0.14945745468139648
36,0.6122661,0.62436813,"('tolerant', 'intolerant')",-1.2572566,-1.1976933,-0.8488381,-0.593192,-0.49794284502665204,-0.3888390858968099,0.10910375912984216
26,0.61036175,0.73315394,"('trustworthy', 'untrustworthy')",1.0786788,1.1523049,-0.7467338,-0.48269907,0.31410229206085205,0.46758659680684406,0.153484304745992
93,0.58665687,0.65031654,"('dominating', 'dominated')",1.0385966,1.0270972,-1.2408098,-0.70492834,0.12814788023630777,0.32416178782780963,0.19601390759150186
73,0.56959534,0.24015689,"('brilliant', 'incompetent')",-1.2511837,-1.3133317,-1.3390191,-1.6772346,-0.6735358238220215,-0.9168032010396322,-0.24326737721761071
4,-0.55337054,-0.60245574,"('likable', 'unlikable')",-0.3510114,-0.3623963,0.38617718,0.37986428,-0.17273491621017456,-0.19499591986338297,-0.022261003653208405
70,0.5062114,0.5949763,"('wise', 'unwise')",-0.017931432,0.079595596,1.675778,1.6813757,0.7213526566823324,0.7853158315022787,0.06396317481994629
20,-0.50580406,-0.53548646,"('popular', 'unpopular')",-0.43265462,-0.544796,1.8974743,1.6604376,0.3196718692779541,0.19338504473368326,-0.12628682454427084
55,-0.5043348,-0.40949085,"('intelligent', 'unintelligent')",-1.2016937,-1.0485995,-0.3138889,-0.4464134,-0.6733058293660482,-0.6348345677057902,0.03847126166025805
10,-0.48680633,-0.31304276,"('affectionate', 'unaffectionate')",-0.21670184,-0.17171527,0.7698784,0.8342984,0.022123416264851887,0.11651345094045003,0.09439003467559814
85,0.4866433,0.23961271,"('ambitious', 'unambitious')",0.30843267,0.3568042,0.013987601,0.106343,0.2696878711382548,0.23425328731536865,-0.03543458382288617
63,-0.48045272,-0.5677263,"('capable', 'incapable')",-1.2111347,-1.1462419,-0.33474922,-0.53823125,-0.675445556640625,-0.750733216603597,-0.07528765996297204
106,-0.47959965,-0.30492872,"('conventional', 'unconventional')",-0.12009463,0.048060127,1.2797227,0.963664,0.22667614618937174,0.2355984648068746,0.008922318617502867
35,0.47383076,0.6142169,"('fair', 'unfair')",0.856666,0.95102876,0.53877056,0.72886944,0.6230891148249308,0.7647050221761068,0.14161590735117602
30,0.45200735,0.4603461,"('honest', 'dishonest')",-0.40042067,-0.40150172,-0.46290857,-0.09674831,-0.13710729281107584,-0.012634639938672384,0.12447265287240346
60,0.4513125,0.6115737,"('educated', 'uneducated')",-0.63778424,-0.54161096,-0.794942,-0.4889455,-0.32713790734608966,-0.13966092467308044,0.18747698267300922
80,0.45098835,0.51236117,"('independent', 'dependent')",0.4544888,0.5477525,0.56695527,0.6444183,0.4908107916514079,0.5681773026784261,0.07736651102701825
96,-0.41492414,-0.37665343,"('powerful', 'powerless')",-0.10113749,0.006606996,-0.45298013,-0.42514718,-0.3230139414469401,-0.265064537525177,0.05794940392176312
105,-0.39179766,-0.20300856,"('conventional', 'modern')",-0.64386576,-0.51640195,0.8306431,0.5736888,-0.0683400829633077,-0.04857391119003296,0.019766171773274735
47,0.3718385,0.46463087,"('forgiving', 'unforgiving')",-0.41558483,-0.35652748,-0.45840046,-0.068962395,-0.1673822601636251,0.01304699977238973,0.18042925993601483
21,0.33544102,0.31617653,"('nice', 'nasty')",0.17558306,0.08738363,0.35453856,0.31382322,0.28852089246114093,0.23912779490152994,-0.04939309755961099
67,-0.32681698,-0.18573698,"('discriminating', 'undiscriminating')",-0.6435183,-0.44698924,0.70384866,0.7983501,-0.08882888158162434,0.05520796775817871,0.14403684933980304
58,0.30256426,0.38407502,"('able', 'clumsy')",-1.8991308,-1.7031244,-1.5659094,-1.5201012,-1.0541586875915527,-0.9463834762573242,0.10777521133422852
24,-0.2934288,-0.26285854,"('thoughtful', 'rough')",-1.4925218,-1.1946259,-0.80838597,-1.0449764,-0.8647788365681967,-0.8341535727183024,0.03062526384989428
23,-0.28886294,-0.2444841,"('hospitable', 'inhospitable')",0.045602858,-0.072576344,1.1858441,1.118948,0.314194659392039,0.26729583740234375,-0.04689882198969525
68,-0.27854767,-0.38527882,"('clever', 'inept')",-0.6262408,-0.85941315,-0.6454199,-0.8717228,-0.516736110051473,-0.7054715951283773,-0.1887354850769043
100,-0.27727914,0.023541808,"('influential', 'uninfluential')",-0.6577871,-0.44265532,-0.52025104,-0.49207926,-0.4851057529449463,-0.30373092492421466,0.18137482802073163
86,-0.25958014,-0.42922956,"('self-reliant', 'helpless')",2.7533045,2.6512728,1.5905108,1.749958,1.361411730448405,1.3240004380544026,-0.03741129239400243
101,-0.2586381,-0.211449,"('successful', 'unsuccessful')",-0.73952127,-0.8850286,-0.6508886,-0.41667444,-0.5496826966603597,-0.5043840408325195,0.045298655827840206
17,0.24213172,0.2760468,"('social', 'antisocial')",0.18423264,0.27764946,-0.42820126,-0.10149157,-0.0006122986475626627,0.15073490142822266,0.1513472000757853
22,0.23601475,0.3631503,"('welcoming', 'disagreeable')",1.4761021,1.4044716,0.5636344,0.47769773,0.7585837046305338,0.7484399477640787,-0.010143756866455078
109,0.23215705,0.12654528,"('conservative', 'liberal')",0.24487284,0.32331946,-1.097023,-1.0688727,-0.20666436354319254,-0.20633598168691,0.0003283818562825336
108,0.23215705,0.12654528,"('conservative', 'liberal')",0.24487284,0.32331946,-1.097023,-1.0688727,-0.20666436354319254,-0.20633598168691,0.0003283818562825336
34,-0.2187079,0.010423586,"('loyal', 'disloyal')",-1.2905542,-1.1016616,-1.179813,-0.9404594,-0.896358331044515,-0.6772324244181315,0.21912590662638354
13,-0.20652747,-0.33442852,"('helpful', 'unhelpful')",-2.6456947,-2.6768034,-2.575208,-2.4277782,-1.8091433842976887,-1.813003381093343,-0.003859996795654297
44,0.20085062,-0.0059667006,"('truthful', 'untruthful')",-0.3925819,-0.30680344,-0.44683415,-0.3493275,-0.2128551403681437,-0.22069921096165976,-0.00784407059351605
38,-0.19493242,-0.053763837,"('kind', 'unkind')",-2.0396976,-1.7484714,-1.1115729,-0.71509457,-1.1154009501139324,-0.8391098976135254,0.276291052500407
97,-0.15315583,-0.17834553,"('superior', 'inferior')",-0.8685728,-0.82522434,-0.99121296,-0.8188501,-0.6709805329640707,-0.6074732939402262,0.06350723902384448
29,-0.15304005,-0.14297116,"('honest', 'immoral')",-1.5445176,-1.4441774,-1.9729593,-2.176074,-1.2235056559244792,-1.254407564798991,-0.03090190887451172
102,-0.1510537,-0.14209528,"('eminent', 'low')",-0.9088626,-0.8886302,-0.2643765,-0.27766025,-0.441430926322937,-0.43612857659657794,0.005302349726359068
19,-0.13265026,0.010803938,"('funny', 'boring')",0.2134397,0.17407435,-0.057115197,0.104435325,0.007891416549682617,0.09643787145614624,0.08854645490646362
28,-0.10879232,-0.16406493,"('honest', 'dishonest')",-1.551497,-1.4535646,-1.27389,-0.99179226,-0.9780597686767578,-0.869807243347168,0.10825252532958984
57,0.10878987,0.091005236,"('able', 'unable')",-0.48905984,-0.4069753,-0.46497375,-0.62447196,-0.28174789746602374,-0.3134806752204895,-0.03173277775446576
43,0.104650214,0.036510386,"('genuine', 'fake')",-0.025788724,0.03263986,0.3768835,0.38788807,0.15191499392191568,0.15234610438346863,0.0004311104615529471
110,0.10158837,0.14391902,"('narrow-minded', 'open-minded')",0.5399492,0.36804873,-0.38863587,-0.16592145,0.08430055777231853,0.1153487761815389,0.03104821840922037
46,-0.099648654,0.22666112,"('generous', 'stingy')",2.2414412,2.3022788,0.83456933,0.996935,0.9921205838521322,1.1752916971842449,0.18317111333211267
77,0.096814364,0.38596666,"('active', 'inactive')",0.7603774,0.78135514,0.7132806,0.8810775,0.523490826288859,0.6827998161315918,0.15930898984273278
91,0.096723326,0.10671169,"('resilient', 'nonresilient')",0.16637044,0.10501,0.2389951,-0.08850193,0.16736296812693277,0.04107325275739034,-0.12628971536954242
74,0.09487685,0.08090493,"('insightful', 'unperceptive')",-0.87907934,-1.0284927,-0.31318325,-0.21756577,-0.3657952547073364,-0.38838450113932294,-0.02258924643198651
54,-0.09427661,-0.08400524,"('smart', 'stupid')",0.24333084,0.120717674,0.84912705,0.60384494,0.3327270944913228,0.21351913611094156,-0.11920795838038126
18,0.082974836,0.11455604,"('social', 'asocial')",0.6331429,0.62525755,-1.5692225,-1.306341,-0.28436823685963947,-0.18884249528249106,0.09552574157714841
87,0.044235118,0.0092508495,"('dedicated', 'undedicated')",-0.735895,-0.55872035,-0.63571346,-0.37742674,-0.4424577554066976,-0.30896540482838947,0.1334923505783081
59,0.028657094,-0.024433479,"('skillful', 'clumsy')",0.36367232,0.41915435,1.3879981,1.4707971,0.5934425195058187,0.6218392848968506,0.028396765391031864
88,0.001508832,-0.061410427,"('impulsive', 'meek')",0.5932521,0.52301854,1.563556,1.8192687,0.7194389502207438,0.7602922916412354,0.04085334142049157
