,keycorp_male,keycorp_female,tuple,new_male,new_female,average_male,average_female,female-male
24,0.3703292,0.2911797,"('thoughtful', 'rough')",-0.80838597,-1.0449764,-0.21902838349342346,-0.3768983483314514,-0.15786996483802795
30,0.35233516,0.17560208,"('honest', 'dishonest')",-0.46290857,-0.09674831,-0.055286705493927,0.039426885545253754,0.09471359103918076
101,-0.3170883,-0.3942294,"('successful', 'unsuccessful')",-0.6508886,-0.41667444,-0.4839884638786316,-0.4054519236087799,0.07853654026985168
37,-0.31543043,-0.08077881,"('good', 'evil')",2.5303283,2.428041,1.107448935508728,1.1736310720443726,0.06618213653564453
46,0.29877654,0.5006925,"('generous', 'stingy')",0.83456933,0.996935,0.5666729211807251,0.7488137483596802,0.18214082717895508
97,-0.28488258,-0.22473787,"('superior', 'inferior')",-0.99121296,-0.8188501,-0.6380477547645569,-0.5217939615249634,0.1162537932395935
18,0.27783108,0.19480509,"('social', 'asocial')",-1.5692225,-1.306341,-0.645695686340332,-0.5557680130004883,0.08992767333984375
57,0.23996404,0.02524101,"('able', 'unable')",-0.46497375,-0.62447196,-0.11250485479831696,-0.2996154725551605,-0.18711061775684357
78,-0.22978732,-0.20643853,"('active', 'inactive')",1.6742909,1.1332293,0.7222517728805542,0.463395357131958,-0.2588564157485962
61,-0.22360915,-0.18975398,"('rational', 'irrational')",1.4804657,1.715029,0.6284282207489014,0.7626374959945679,0.1342092752456665
74,0.21825045,0.07267138,"('insightful', 'unperceptive')",-0.31318325,-0.21756577,-0.047466397285461426,-0.07244719564914703,-0.024980798363685608
54,0.20367363,-0.052321434,"('smart', 'stupid')",0.84912705,0.60384494,0.5264003276824951,0.27576175332069397,-0.25063857436180115
91,0.1990253,0.15201415,"('resilient', 'nonresilient')",0.2389951,-0.08850193,0.21901020407676697,0.03175611048936844,-0.18725409358739853
49,0.1676091,-0.04289037,"('responsible', 'irresponsible')",-1.0568249,-1.0981494,-0.4446079134941101,-0.5705199241638184,-0.12591201066970825
17,0.16377866,0.2882334,"('social', 'antisocial')",-0.42820126,-0.10149157,-0.13221129775047302,0.09337091445922852,0.22558221220970154
70,-0.14270166,-0.13087785,"('wise', 'unwise')",1.675778,1.6813757,0.7665382027626038,0.7752489447593689,0.008710741996765137
9,-0.13964349,-0.27828228,"('sensitive', 'insensitive')",-0.98445404,-0.92043555,-0.5620487928390503,-0.5993589162826538,-0.037310123443603516
73,-0.13427064,-0.4418645,"('brilliant', 'incompetent')",-1.3390191,-1.6772346,-0.7366448640823364,-1.0595495700836182,-0.32290470600128174
35,0.100251436,0.2826351,"('fair', 'unfair')",0.53877056,0.72886944,0.3195109963417053,0.5057522654533386,0.1862412691116333
45,0.08420515,-0.10133523,"('cooperative', 'exploitative')",-1.0277846,-0.9165996,-0.47178971767425537,-0.508967399597168,-0.0371776819229126
87,0.07890865,-0.1383844,"('dedicated', 'undedicated')",-0.63571346,-0.37742674,-0.2784023880958557,-0.2579055726528168,0.02049681544303894
68,0.07876134,-0.20484532,"('clever', 'inept')",-0.6454199,-0.8717228,-0.2833292782306671,-0.5382840633392334,-0.2549547851085663
20,-0.07141495,-0.15709959,"('popular', 'unpopular')",1.8974743,1.6604376,0.913029670715332,0.7516689896583557,-0.16136068105697632
83,0.0478746,0.055642113,"('energetic', 'lethargic')",-0.80170095,-0.6726756,-0.3769131898880005,-0.3085167407989502,0.06839644908905029
14,0.047366053,0.0037662163,"('supportive', 'unsupportive')",-0.059206426,-0.05194989,-0.005920186638832092,-0.02409183606505394,-0.018171649426221848
110,0.04422334,0.13388085,"('narrow-minded', 'open-minded')",-0.38863587,-0.16592145,-0.17220626771450043,-0.01602029800415039,0.15618596971035004
47,-0.04411879,0.010111406,"('forgiving', 'unforgiving')",-0.45840046,-0.068962395,-0.25125962495803833,-0.029425494372844696,0.22183413058519363
22,-0.029295951,-0.11833111,"('welcoming', 'disagreeable')",0.5636344,0.47769773,0.2671692371368408,0.17968331277370453,-0.08748592436313629
43,0.026053637,0.035366595,"('genuine', 'fake')",0.3768835,0.38788807,0.2014685720205307,0.21162733435630798,0.010158762335777283
85,0.017026197,-0.015507057,"('ambitious', 'unambitious')",0.013987601,0.106343,0.015506898984313011,0.04541797190904617,0.029911072924733162
