,boeing_male,boeing_female,tuple,average_male,average_female,female-male
98,-0.89475644,-0.971653,"('prestigious', 'insignificant')",-0.8947564363479614,-0.9716529846191406,-0.0768965482711792
87,-0.8894536,-0.7693404,"('dedicated', 'undedicated')",-0.8894535899162292,-0.7693403959274292,0.12011319398880005
64,-0.8645391,-0.8141999,"('clever', 'incompetent')",-0.8645390868186951,-0.8141999244689941,0.05033916234970093
91,-0.85507655,-0.70439327,"('resilient', 'nonresilient')",-0.8550765514373779,-0.7043932676315308,0.15068328380584717
105,-0.8302572,-0.96714157,"('conventional', 'modern')",-0.8302571773529053,-0.9671415686607361,-0.1368843913078308
36,-0.78975064,-0.7628108,"('tolerant', 'intolerant')",-0.7897506356239319,-0.7628108263015747,0.026939809322357178
38,-0.78599006,-0.6382247,"('kind', 'unkind')",-0.7859900593757629,-0.638224720954895,0.14776533842086792
9,-0.7796571,-0.83260167,"('sensitive', 'insensitive')",-0.7796571254730225,-0.8326016664505005,-0.05294454097747803
96,-0.7587057,-0.6237051,"('powerful', 'powerless')",-0.7587056756019592,-0.6237050890922546,0.1350005865097046
12,-0.7263241,-0.5467268,"('sympathetic', 'unsympathetic')",-0.7263240814208984,-0.5467268228530884,0.17959725856781006
99,-0.6878689,-0.8148055,"('prestigious', 'insignificant')",-0.6878688931465149,-0.8148055076599121,-0.12693661451339722
80,0.66720414,0.76518196,"('independent', 'dependent')",0.6672041416168213,0.7651819586753845,0.09797781705856323
41,0.6650944,0.7217126,"('incorrupt', 'corrupt')",0.6650943756103516,0.721712589263916,0.05661821365356445
4,-0.65773565,-0.730403,"('likable', 'unlikable')",-0.6577356457710266,-0.7304030060768127,-0.07266736030578613
59,0.6529642,0.71403664,"('skillful', 'clumsy')",0.652964174747467,0.7140366435050964,0.061072468757629395
35,0.63396376,0.73060924,"('fair', 'unfair')",0.6339637637138367,0.7306092381477356,0.09664547443389893
60,-0.62968504,-0.43609238,"('educated', 'uneducated')",-0.6296850442886353,-0.4360923767089844,0.19359266757965088
104,-0.6212195,-0.5864813,"('conventional', 'unconventional')",-0.6212195158004761,-0.5864812731742859,0.034738242626190186
45,-0.6163875,-0.7423313,"('cooperative', 'exploitative')",-0.6163874864578247,-0.742331326007843,-0.1259438395500183
37,0.61548525,0.40698972,"('good', 'evil')",0.6154852509498596,0.406989723443985,-0.20849552750587463
101,-0.61461174,-0.55491346,"('successful', 'unsuccessful')",-0.6146117448806763,-0.5549134612083435,0.059698283672332764
42,0.6048296,0.5708325,"('amicable', 'hostile')",0.6048296093940735,0.5708324909210205,-0.03399711847305298
71,-0.58350813,-0.5811886,"('efficient', 'inefficient')",-0.5835081338882446,-0.5811886191368103,0.002319514751434326
106,-0.5776526,-0.39855644,"('conventional', 'unconventional')",-0.5776525735855103,-0.3985564410686493,0.17909613251686096
18,-0.5405718,-0.38379264,"('social', 'asocial')",-0.5405718088150024,-0.3837926387786865,0.15677917003631592
33,-0.53547955,-0.5320482,"('softhearted', 'hardhearted')",-0.5354795455932617,-0.532048225402832,0.0034313201904296875
89,0.5234721,0.6366528,"('daring', 'anxious')",0.5234720706939697,0.6366528272628784,0.11318075656890869
65,-0.4732216,-0.30389804,"('practical', 'impractical')",-0.4732216000556946,-0.30389803647994995,0.16932356357574463
92,0.45928884,0.42662746,"('unwavering', 'wavering')",0.4592888355255127,0.4266274571418762,-0.032661378383636475
15,0.45409954,0.7778652,"('polite', 'impolite')",0.45409953594207764,0.7778651714324951,0.3237656354904175
30,-0.43986338,-0.3101547,"('honest', 'dishonest')",-0.439863383769989,-0.3101547062397003,0.1297086775302887
57,-0.43794116,-0.4203814,"('able', 'unable')",-0.43794116377830505,-0.4203813970088959,0.01755976676940918
93,0.40216386,0.5436188,"('dominating', 'dominated')",0.40216386318206787,0.5436187982559204,0.14145493507385254
69,0.38740018,0.35488588,"('wise', 'foolish')",0.38740018010139465,0.35488587617874146,-0.0325143039226532
81,0.38503146,0.2580518,"('industrious', 'lazy')",0.38503146171569824,0.2580518126487732,-0.12697964906692505
16,0.38226363,0.6030789,"('social', 'antisocial')",0.3822636306285858,0.6030789017677307,0.2208152711391449
26,0.3772257,0.5848056,"('trustworthy', 'untrustworthy')",0.37722569704055786,0.5848056077957153,0.20757991075515747
25,-0.35728127,-0.25073165,"('moral', 'immoral')",-0.35728126764297485,-0.2507316470146179,0.10654962062835693
70,0.35607332,0.36545318,"('wise', 'unwise')",0.3560733199119568,0.36545318365097046,0.009379863739013672
102,-0.3435832,-0.41332212,"('eminent', 'low')",-0.34358319640159607,-0.4133221209049225,-0.06973892450332642
61,0.3129548,0.32527456,"('rational', 'irrational')",0.3129548132419586,0.3252745568752289,0.012319743633270264
43,0.3071115,0.33921158,"('genuine', 'fake')",0.3071115016937256,0.3392115831375122,0.03210008144378662
94,0.30261213,0.34155923,"('aggressive', 'submissive')",0.3026121258735657,0.3415592312812805,0.038947105407714844
110,0.28181887,0.12550417,"('narrow-minded', 'open-minded')",0.28181886672973633,0.12550416588783264,-0.1563147008419037
77,0.27927098,0.37891543,"('active', 'inactive')",0.2792709767818451,0.3789154291152954,0.09964445233345032
22,0.26465893,0.20605786,"('welcoming', 'disagreeable')",0.26465892791748047,0.2060578614473343,-0.05860106647014618
49,-0.25125164,-0.21802276,"('responsible', 'irresponsible')",-0.2512516379356384,-0.21802276372909546,0.03322887420654297
47,-0.25067377,-0.23442394,"('forgiving', 'unforgiving')",-0.250673770904541,-0.2344239354133606,0.01624983549118042
5,0.2321431,0.19929811,"('pleasant', 'repellent')",0.2321431040763855,0.19929811358451843,-0.032844990491867065
83,0.22528148,0.27242646,"('energetic', 'lethargic')",0.2252814769744873,0.27242645621299744,0.04714497923851013
82,0.20621073,0.13484555,"('industrious', 'meek')",0.20621073246002197,0.1348455548286438,-0.07136517763137817
7,0.20463294,0.16140896,"('outgoing', 'distant')",0.2046329379081726,0.16140896081924438,-0.04322397708892822
76,0.20196915,0.2647529,"('secure', 'insecure')",0.20196914672851562,0.26475289463996887,0.06278374791145325
0,-0.18907589,0.104509175,"('sociable', 'unsociable')",-0.18907588720321655,0.10450917482376099,0.29358506202697754
19,0.13321942,0.23669076,"('funny', 'boring')",0.1332194209098816,0.23669075965881348,0.10347133874893188
20,-0.124696076,0.016684994,"('popular', 'unpopular')",-0.12469607591629028,0.016684994101524353,0.14138107001781464
23,-0.12033343,-0.24488539,"('hospitable', 'inhospitable')",-0.12033343315124512,-0.2448853850364685,-0.12455195188522339
54,0.10711926,-0.112364024,"('smart', 'stupid')",0.10711926221847534,-0.1123640239238739,-0.21948328614234924
79,0.09936407,0.15244293,"('determined', 'doubtful')",0.09936407208442688,0.15244293212890625,0.05307886004447937
51,-0.09873265,-0.01637274,"('competent', 'incompetent')",-0.09873265027999878,-0.016372740268707275,0.0823599100112915
58,0.08919304,0.25651938,"('able', 'clumsy')",0.08919303864240646,0.2565193772315979,0.16732633858919144
14,0.08518021,0.1288211,"('supportive', 'unsupportive')",0.08518020808696747,0.12882110476493835,0.043640896677970886
2,0.047833204,0.18057278,"('friendly', 'unfriendly')",0.04783320426940918,0.1805727779865265,0.1327395737171173
109,0.040495843,0.22173426,"('conservative', 'liberal')",0.040495842695236206,0.22173425555229187,0.18123841285705566
108,0.040495843,0.22173426,"('conservative', 'liberal')",0.040495842695236206,0.22173425555229187,0.18123841285705566
52,-0.028792381,0.19030154,"('competitive', 'uncompetitive')",-0.028792381286621094,0.1903015375137329,0.219093918800354
90,-0.00700742,-0.075314105,"('motivated', 'unmotivated')",-0.007007420063018799,-0.07531410455703735,-0.06830668449401855
8,0.0017256737,-0.056777596,"('open', 'distant')",0.0017256736755371094,-0.05677759647369385,-0.05850327014923096
