,leidos_male,leidos_female,tuple,holdings_male,holdings_female,average_male,average_female,female-male
81,-1.1623355,-1.3634453,"('industrious', 'lazy')",2.638926,2.9089966,0.7382952570915222,0.7727756500244141,0.034480392932891846
62,-1.1416245,-0.89440954,"('creative', 'uncreative')",-0.76439476,-0.64673364,-0.9530096054077148,-0.7705715894699097,0.18243801593780518
82,-1.1298643,-1.2177899,"('industrious', 'meek')",1.4596344,1.6289227,0.1648850440979004,0.20556640625,0.04068136215209961
55,1.0955696,1.0665944,"('intelligent', 'unintelligent')",-1.2213461,-1.3420808,-0.0628882646560669,-0.13774323463439941,-0.07485496997833252
73,1.0795966,0.96123034,"('brilliant', 'incompetent')",-2.0872397,-2.3778586,-0.5038215517997742,-0.7083141803741455,-0.20449262857437134
21,1.0673534,1.0003766,"('nice', 'nasty')",0.77133566,0.8175553,0.9193445444107056,0.9089659452438354,-0.010378599166870117
36,1.0421607,0.82458854,"('tolerant', 'intolerant')",-1.5423541,-1.3843503,-0.2500966787338257,-0.2798808813095093,-0.029784202575683594
9,1.0290203,0.99421346,"('sensitive', 'insensitive')",-1.6883833,-1.8456318,-0.32968151569366455,-0.42570918798446655,-0.096027672290802
53,-1.0169514,-1.1075876,"('smart', 'stupid')",-4.6145515,-4.657486,-2.815751552581787,-2.8825368881225586,-0.06678533554077148
49,1.0158141,1.0723906,"('responsible', 'irresponsible')",-1.8007641,-1.7896037,-0.3924750089645386,-0.35860657691955566,0.03386843204498291
88,-1.0054066,-0.77775115,"('impulsive', 'meek')",2.0203009,2.0743499,0.5074471235275269,0.6482993364334106,0.1408522129058838
46,-0.9581262,-0.80570805,"('generous', 'stingy')",1.9788184,2.2156897,0.5103461146354675,0.704990804195404,0.19464468955993652
95,-0.9562049,-0.99431217,"('rich', 'poor')",-6.1715283,-6.6570215,-3.56386661529541,-3.825666904449463,-0.26180028915405273
78,0.943975,0.82672906,"('active', 'inactive')",1.5063173,1.2957523,1.2251460552215576,1.0612406730651855,-0.16390538215637207
29,0.9345991,1.0407352,"('honest', 'immoral')",-1.7887039,-2.2403114,-0.42705240845680237,-0.5997880697250366,-0.17273566126823425
27,-0.9246891,-0.68677235,"('sincere', 'insincere')",-6.638048,-7.0595007,-3.7813687324523926,-3.873136520385742,-0.09176778793334961
23,-0.88736784,-0.47939518,"('hospitable', 'inhospitable')",1.2462822,1.134705,0.1794571876525879,0.3276548981666565,0.1481977105140686
56,0.84654576,1.0051439,"('intelligent', 'dumb')",1.1403407,1.1971219,0.9934432506561279,1.101132869720459,0.10768961906433105
13,0.8270103,1.1220835,"('helpful', 'unhelpful')",-3.0220122,-3.119163,-1.0975010395050049,-0.9985397458076477,0.09896129369735718
91,0.8140268,0.9034913,"('resilient', 'nonresilient')",-0.4052541,-0.6073829,0.20438633859157562,0.14805421233177185,-0.05633212625980377
22,-0.7937015,-0.8735016,"('welcoming', 'disagreeable')",1.6661851,1.633589,0.4362418055534363,0.38004371523857117,-0.05619809031486511
67,-0.7867122,-0.5690206,"('discriminating', 'undiscriminating')",-0.95261633,-0.67132825,-0.8696643114089966,-0.6201744079589844,0.2494899034500122
70,0.7415799,1.1338323,"('wise', 'unwise')",1.4651623,1.5168192,1.1033711433410645,1.3253257274627686,0.2219545841217041
84,-0.7200223,-0.53360534,"('self-confident', 'diffident')",-0.2980039,-0.10443291,-0.5090131163597107,-0.3190191388130188,0.1899939775466919
26,0.7087884,0.8347572,"('trustworthy', 'untrustworthy')",0.41538066,0.39705262,0.5620845556259155,0.6159049272537231,0.05382037162780762
17,0.7049576,0.58457303,"('social', 'antisocial')",-0.89735305,-0.5213167,-0.09619772434234619,0.031628161668777466,0.12782588601112366
37,-0.7001089,-0.7206477,"('good', 'evil')",2.9057746,3.0381927,1.1028327941894531,1.1587724685668945,0.055939674377441406
80,0.6584279,0.7004898,"('independent', 'dependent')",0.57112694,0.26032668,0.6147774457931519,0.480408251285553,-0.13436919450759888
24,-0.5862669,-0.8430141,"('thoughtful', 'rough')",-1.1258268,-1.2599579,-0.8560468554496765,-1.0514860153198242,-0.1954391598701477
19,-0.5491385,-0.21232957,"('funny', 'boring')",0.87662005,1.088836,0.16374078392982483,0.4382531940937042,0.2745124101638794
30,0.4882587,0.6437043,"('honest', 'dishonest')",-0.9276968,-0.9717084,-0.2197190672159195,-0.16400206089019775,0.05571700632572174
14,0.48662364,0.79198813,"('supportive', 'unsupportive')",0.6490345,0.9883406,0.5678290724754333,0.8901643753051758,0.32233530282974243
6,0.48227775,0.7168886,"('liked', 'disliked')",6.4326763,6.7903547,3.45747709274292,3.7536215782165527,0.2961444854736328
87,-0.48102337,-0.31625396,"('dedicated', 'undedicated')",-0.9940319,-0.89585793,-0.73752760887146,-0.6060559749603271,0.1314716339111328
85,0.43790597,0.41496143,"('ambitious', 'unambitious')",-0.8545263,-0.6296688,-0.20831015706062317,-0.10735367238521576,0.10095648467540741
28,-0.42706573,-0.16026092,"('honest', 'dishonest')",-1.9167614,-1.9680886,-1.1719136238098145,-1.064174771308899,0.10773885250091553
106,-0.40774268,-0.41940403,"('conventional', 'unconventional')",-0.6882695,-0.5743922,-0.5480060577392578,-0.4968981146812439,0.051107943058013916
54,0.39397025,-0.0077089816,"('smart', 'stupid')",-0.08050594,0.05355376,0.15673215687274933,0.022922389209270477,-0.13380976766347885
97,-0.37092,-0.24322982,"('superior', 'inferior')",-0.78949255,-0.78319675,-0.5802062749862671,-0.5132132768630981,0.06699299812316895
47,-0.35915196,-0.26895598,"('forgiving', 'unforgiving')",-0.2631046,0.008577332,-0.31112825870513916,-0.13018932938575745,0.1809389293193817
18,0.33748853,0.44653305,"('social', 'asocial')",-0.66804034,-0.44425464,-0.16527590155601501,0.0011392086744308472,0.16641511023044586
50,0.33333778,0.15629914,"('unprejudiced', 'prejudiced')",2.525052,2.5821576,1.4291949272155762,1.3692283630371094,-0.0599665641784668
103,0.32942313,0.50971085,"('traditional', 'modern')",0.35770303,0.016626373,0.3435630798339844,0.263168603181839,-0.08039447665214539
57,0.29446918,0.23856631,"('able', 'unable')",-0.6606281,-1.0480552,-0.18307945132255554,-0.4047444462776184,-0.22166499495506287
110,0.28514755,-0.042198956,"('narrow-minded', 'open-minded')",0.3848725,0.41422546,0.33501002192497253,0.18601325154304504,-0.1489967703819275
72,-0.19724336,0.0085092485,"('logical', 'illogical')",-1.4612262,-1.3648791,-0.829234778881073,-0.6781849265098572,0.15104985237121582
58,0.18984836,0.19890887,"('able', 'clumsy')",-1.9926922,-2.0978327,-0.9014219045639038,-0.9494619369506836,-0.048040032386779785
74,0.168298,0.4741115,"('insightful', 'unperceptive')",-2.0934055,-2.1803398,-0.9625537395477295,-0.853114128112793,0.10943961143493652
101,0.16364717,0.300684,"('successful', 'unsuccessful')",-1.8813348,-2.034066,-0.8588438034057617,-0.866690993309021,-0.007847189903259277
35,-0.15450427,0.013579339,"('fair', 'unfair')",0.8743042,0.99464476,0.35989993810653687,0.5041120648384094,0.14421212673187256
43,0.14500844,0.24344048,"('genuine', 'fake')",-1.1232972,-0.98662543,-0.48914438486099243,-0.3715924620628357,0.11755192279815674
33,-0.14419258,-0.04130709,"('softhearted', 'hardhearted')",-1.4536307,-1.3283123,-0.7989116311073303,-0.684809684753418,0.11410194635391235
86,0.11926958,0.28639674,"('self-reliant', 'helpless')",3.5907848,3.8159852,1.855027198791504,2.0511908531188965,0.19616365432739258
68,-0.08586493,-0.35487255,"('clever', 'inept')",-1.1536158,-1.3113605,-0.61974036693573,-0.8331165313720703,-0.21337616443634033
3,-0.06084171,0.19442514,"('likable', 'unlikable')",1.212531,1.376033,0.5758446455001831,0.7852290272712708,0.20938438177108765
77,-0.059865415,-0.12365544,"('active', 'inactive')",0.6805561,0.88758045,0.3103453516960144,0.38196250796318054,0.07161715626716614
59,-0.055858195,0.19761336,"('skillful', 'clumsy')",0.20886241,0.08008616,0.07650210708379745,0.13884976506233215,0.0623476579785347
34,-0.05438316,0.18703437,"('loyal', 'disloyal')",-2.0474734,-2.0751586,-1.0509283542633057,-0.9440621137619019,0.10686624050140381
38,-0.04376757,0.19807523,"('kind', 'unkind')",-2.1110625,-2.1741424,-1.0774149894714355,-0.9880335330963135,0.08938145637512207
44,-0.034791544,0.3720044,"('truthful', 'untruthful')",-0.82398236,-0.77641314,-0.4293869435787201,-0.2022043764591217,0.2271825671195984
79,0.033517823,0.13197255,"('determined', 'doubtful')",-0.24506077,-0.03441322,-0.10577147454023361,0.04877966642379761,0.15455114096403122
102,0.029737353,0.14732307,"('eminent', 'low')",-0.29962468,-0.47791386,-0.1349436640739441,-0.16529539227485657,-0.030351728200912476
45,0.01895219,-0.27110612,"('cooperative', 'exploitative')",-0.2448701,-0.18831658,-0.11295895278453827,-0.2297113537788391,-0.11675240099430084
96,-0.00031150877,0.06620982,"('powerful', 'powerless')",-0.7962618,-0.46324554,-0.3982866406440735,-0.19851785898208618,0.1997687816619873
