,mckesson_male,mckesson_female,tuple,h_male,h_female,b_male,b_female,o_male,o_female,c_male,c_female,average_male,average_female,female-male
109,2.0050414,1.9867709,"('conservative', 'liberal')",0.74644375,0.9699733,0.09888503,0.13363901,0.64654964,1.1245307,0.13310389,0.09548203,0.7260047435760498,0.8620791435241699,0.1360743999481201
108,2.0050414,1.9867709,"('conservative', 'liberal')",0.74644375,0.9699733,0.09888503,0.13363901,0.64654964,1.1245307,0.13310389,0.09548203,0.7260047435760498,0.8620791435241699,0.1360743999481201
52,1.9492028,2.1887717,"('competitive', 'uncompetitive')",-1.0563723,-0.92308676,-0.87743187,-0.7447358,0.4768955,0.7076159,-0.60462826,-1.0594652,-0.022466826438903808,0.03381998538970947,0.05628681182861328
7,-1.945179,-2.234838,"('outgoing', 'distant')",1.1265951,0.81179595,0.77852696,0.45304936,0.14362526,-0.13655683,0.8960694,0.969167,0.19992755651473998,-0.02747650146484375,-0.22740405797958374
5,1.9211296,1.9963111,"('pleasant', 'repellent')",-0.37840855,-0.30099636,-0.5924959,-0.5502205,-0.12476247,-0.14262252,-0.6038201,-0.9523006,0.044328510761260986,0.010034215450286866,-0.034294295310974124
98,-1.9135987,-2.0797377,"('prestigious', 'insignificant')",-0.6633036,-0.7929869,-0.83592534,-1.0284861,-0.28410476,-0.58974874,-0.95613134,-0.79895425,-0.9306127548217773,-1.05798282623291,-0.12737007141113277
55,1.8653505,1.9301684,"('intelligent', 'unintelligent')",-0.8225696,-0.84956,-0.42337245,-0.36233056,-0.08530244,-0.08325705,-0.93196416,-0.87890005,-0.07957162857055664,-0.048775863647460935,0.0307957649230957
74,1.7553606,1.8936626,"('insightful', 'unperceptive')",-1.2617956,-1.3835832,-1.562226,-1.5833604,-0.46085954,-0.4237526,-0.7687025,-1.1772823,-0.45964460372924804,-0.5348631858825683,-0.07521858215332028
107,1.7277676,2.115334,"('conventional', 'modern')",-0.52396667,-0.35103625,-0.5309595,-0.40021747,0.45813277,0.61596805,0.10602379,-0.31630683,0.24739959239959716,0.33274827003479,0.08534867763519285
64,1.6999061,1.8736337,"('clever', 'incompetent')",-1.2036793,-0.96938294,-1.3888204,-1.2064309,-0.07378945,0.06898475,-1.8047378,-1.9346783,-0.5542242050170898,-0.4335747241973877,0.12064948081970212
66,1.6951015,1.7569685,"('imaginative', 'unimaginative')",1.489508,1.343961,2.301096,2.056706,1.9658968,2.0759232,2.1226792,2.0995133,1.9148563385009765,1.8666143417358398,-0.04824199676513663
14,1.6900971,1.7154744,"('supportive', 'unsupportive')",0.82456064,0.5834235,0.905868,0.68216586,1.1196034,1.1014223,1.1917329,0.9852448,1.146372413635254,1.0135461807250976,-0.13282623291015638
15,1.6806433,1.9843501,"('polite', 'impolite')",0.9015476,1.2061151,0.18000188,0.28670406,1.1231549,1.4529119,0.40780494,0.6102686,0.8586305618286133,1.1080699920654298,0.24943943023681647
49,1.6127987,1.7620502,"('responsible', 'irresponsible')",-0.97698605,-0.847816,-1.5819976,-1.5012579,-0.8260326,-0.77093315,-0.74562013,-1.2692068,-0.5035675048828125,-0.5254327297210694,-0.021865224838256814
92,-1.5959843,-1.7119423,"('unwavering', 'wavering')",0.32944226,0.25090024,-0.4898828,-0.70865226,-0.46003622,-0.61181533,0.57650375,0.5342548,-0.3279914855957031,-0.44945101737976073,-0.1214595317840576
85,1.5878711,1.676288,"('ambitious', 'unambitious')",-1.4828281,-1.6476847,-0.7872126,-0.7292234,-0.63321984,-0.5780791,-0.3546026,-0.508014,-0.33399841785430906,-0.35734262466430666,-0.023344206809997603
83,1.565256,1.8303679,"('energetic', 'lethargic')",-0.9680792,-0.7184023,-1.3879737,-1.3041875,-0.4115219,0.02436161,-0.71210307,-0.93337345,-0.3828843593597412,-0.2202467441558838,0.1626376152038574
73,1.5590585,1.6410874,"('brilliant', 'incompetent')",-1.465313,-1.6122411,-2.6554272,-2.9271898,-1.2797856,-1.0693643,-0.34540123,-1.197581,-0.8373737335205078,-1.0330577850341798,-0.19568405151367196
69,-1.539287,-1.6415806,"('wise', 'foolish')",-0.10476437,-0.1651222,0.1529213,0.12814856,0.44846725,0.1957275,0.62978756,0.793098,-0.08257503509521484,-0.1379457473754883,-0.055370712280273446
13,1.5312431,1.872971,"('helpful', 'unhelpful')",-1.9595397,-1.9746304,-2.919357,-2.841398,-2.0962992,-1.8731956,-1.1570512,-1.8117225,-1.3202007293701172,-1.3255950927734375,-0.005394363403320224
42,-1.5259488,-1.5798109,"('amicable', 'hostile')",1.1295514,1.16323,1.0376753,1.0743988,0.6115032,0.38942778,-0.033076882,0.6085647,0.2439408540725708,0.3311620712280273,0.08722121715545653
100,1.4932616,1.6289573,"('influential', 'uninfluential')",-1.1447372,-0.9274863,-1.1524792,-1.0277016,-0.4002548,-0.16622388,-1.0807784,-1.2253442,-0.45699758529663087,-0.34355974197387695,0.11343784332275392
65,1.4436723,1.6014875,"('practical', 'impractical')",-0.56451285,-0.41001382,-1.7059805,-1.7051802,-0.99004596,-0.840177,-0.26116627,-0.46609485,-0.415606689453125,-0.36399567127227783,0.05161101818084718
36,1.2709318,1.5560312,"('tolerant', 'intolerant')",-0.10193819,0.010872513,-0.9137445,-0.8541354,0.07015535,0.25305963,-0.68570554,-0.82477665,-0.07206019759178162,0.028210258483886717,0.10027045607566834
89,1.2639484,1.3309876,"('daring', 'anxious')",-0.41006076,-0.28617835,-0.35284913,-0.2850413,-0.03434381,0.076946795,-0.19426587,-0.25981832,0.05448577404022217,0.11537927389144897,0.06089349985122681
9,1.2318645,1.5652385,"('sensitive', 'insensitive')",-0.949304,-0.961471,-1.0783403,-1.1104263,-0.29367542,-0.24978635,-1.1333177,-1.4849181,-0.44455461502075194,-0.4482726573944092,-0.0037180423736572488
39,-1.2253135,-1.3789958,"('right', 'wrong')",0.59239024,0.61074245,0.3504072,0.28718835,0.023611449,-0.019646242,0.4132806,0.82795334,0.030875194072723388,0.06544842720031738,0.034573233127593986
32,-1.1788294,-1.0023173,"('benevolent', 'hardhearted')",-1.3610226,-1.2062914,-0.6568372,-0.40919644,-0.7837511,-0.6898905,-1.934588,-1.4184825,-1.1830057144165038,-0.9452356338500977,0.23777008056640614
88,-1.1757396,-1.2298346,"('impulsive', 'meek')",0.8227919,0.76638603,1.0969106,0.9630625,0.35409465,0.19982454,1.1574445,1.3646767,0.45110039710998534,0.4128230571746826,-0.038277339935302745
104,-1.1383932,-1.1667567,"('conventional', 'unconventional')",-0.053048223,0.09591849,-0.47633043,-0.2731191,-0.23888154,-0.08949685,-0.9262092,-0.6274983,-0.5665725231170654,-0.41219048500061034,0.15438203811645507
23,-1.1161907,-1.2992685,"('hospitable', 'inhospitable')",1.1948723,1.1263223,0.21861994,-0.04126811,0.4407865,0.10268599,-0.18970156,0.18495023,0.10967729091644288,0.01468437910079956,-0.09499291181564332
37,-1.0614818,-1.3070883,"('good', 'evil')",1.4184666,1.4478132,2.2139683,2.238707,1.3832175,0.94165415,0.6268013,1.0286651,0.9161943435668946,0.8699502944946289,-0.04624404907226565
26,1.0555279,1.2644739,"('trustworthy', 'untrustworthy')",-0.024499625,0.11511694,-0.55973744,-0.48547858,0.8759936,1.1780353,0.1483416,0.14995812,0.29912519454956055,0.4444211483001709,0.14529595375061033
47,1.034229,1.2374781,"('forgiving', 'unforgiving')",-0.8894774,-0.84924144,-0.55104315,-0.24545383,-0.55733037,-0.46949673,-0.93583846,-1.0006795,-0.37989206314086915,-0.26547865867614745,0.1144134044647217
77,-1.0087383,-1.1597716,"('active', 'inactive')",0.6388502,0.9275384,1.2259475,1.3343909,1.0247825,0.9407835,-0.13295946,0.31945342,0.3495764970779419,0.47247891426086425,0.12290241718292233
61,-0.9908362,-1.0640788,"('rational', 'irrational')",0.41374153,0.35052726,0.44435033,0.5396443,0.57334584,0.45443565,0.07032424,0.5773612,0.10218515396118164,0.17157793045043945,0.06939277648925782
31,-0.9783442,-1.3717985,"('altruistic', 'egoistic')",-0.20588097,-0.23064095,-0.6442001,-0.6200015,-0.30398,-0.46693558,-1.6616162,-1.1164116,-0.7588043212890625,-0.7611576080322265,-0.0023532867431640403
68,-0.9024263,-0.99303794,"('clever', 'inept')",-0.71502274,-0.78379494,-0.95885164,-1.2028756,-0.5084642,-0.60248744,-0.03172785,-0.5099127,-0.6232985496520996,-0.818421745300293,-0.19512319564819336
54,0.89064914,0.57625926,"('smart', 'stupid')",1.3130045,0.8945309,0.64390695,0.41244477,1.0662792,0.7646284,1.3197532,1.1105487,1.0467185974121094,0.7516824245452881,-0.29503617286682127
18,0.88923883,1.0195217,"('social', 'asocial')",-0.7545966,-0.67128545,-0.8683249,-0.8030361,-0.24760346,0.09446816,0.61198914,0.2101991,-0.07385939359664917,-0.03002651035785675,0.04383288323879242
20,-0.86435103,-1.1683611,"('popular', 'unpopular')",-0.12939498,0.0054826587,0.16321862,0.04654464,0.6997436,0.50852376,-0.4709092,-0.10527739,-0.12033860683441162,-0.14261746406555176,-0.022278857231140134
17,0.8578172,1.0837791,"('social', 'antisocial')",-0.3605038,-0.10687485,0.33157134,0.64470977,0.20340948,0.24771479,-0.24528581,-0.14136592,0.15740166902542113,0.3455925703048706,0.18819090127944949
60,0.8570992,0.980763,"('educated', 'uneducated')",-0.62528974,-0.1767488,-1.2993289,-1.0519685,0.081142545,0.48226184,-1.4678047,-1.0394053,-0.49083633422851564,-0.1610195517539978,0.32981678247451784
63,-0.82929033,-1.0204294,"('capable', 'incapable')",-1.066652,-0.9461502,-1.5367336,-1.5149089,-0.7965038,-0.8282484,-1.4278337,-1.1676528,-1.1314026832580566,-1.0954778671264649,0.03592481613159171
11,-0.80386245,-0.7366654,"('caring', 'unaffectionate')",-1.2262149,-1.3495404,-1.1759598,-1.2084239,-1.1204327,-1.1984833,-1.4914222,-1.7377765,-1.163578414916992,-1.246177864074707,-0.08259944915771489
105,-0.7966167,-0.657085,"('conventional', 'modern')",-0.84143084,-0.8158487,-0.5203739,-0.6052388,-0.56309664,-0.6400815,-1.1815541,-1.2392025,-0.7806144237518311,-0.7914913177490235,-0.010876893997192383
93,0.7895466,1.0691212,"('dominating', 'dominated')",-0.06718248,0.19005719,-0.6445349,-0.492137,0.08484955,0.61542535,1.3527229,0.89775056,0.3030803442001343,0.4560434818267822,0.15296313762664793
106,0.7321923,0.7001189,"('conventional', 'unconventional')",0.32935533,0.7655651,0.13079202,0.41825736,0.54511,0.5079052,0.19553313,0.5629586,0.38659656047821045,0.5909609794616699,0.20436441898345947
51,0.73063886,1.1544116,"('competent', 'incompetent')",-1.060906,-0.8818121,-1.955461,-1.8141505,-0.0971514,0.051427633,-1.5719814,-1.7175635,-0.7909722328186035,-0.6415373802185058,0.1494348526000977
110,-0.7299242,-0.57568324,"('narrow-minded', 'open-minded')",-0.023535728,-0.2380535,-0.41855544,-0.36213514,0.37102515,0.21359074,-0.015044719,-0.151997,-0.16320700645446778,-0.22285561561584472,-0.05964860916137693
10,-0.7285227,-0.7494778,"('affectionate', 'unaffectionate')",-0.6023419,-0.8883876,-0.18619193,-0.14431787,-0.6074018,-0.8958839,-1.0254054,-0.9458505,-0.6299727439880372,-0.7247835159301758,-0.0948107719421386
90,0.7278632,0.5403992,"('motivated', 'unmotivated')",0.7512663,0.5221849,0.0023189783,-0.39748672,1.0284966,1.131712,0.88683486,0.4631554,0.6793560028076172,0.4519929885864258,-0.22736301422119143
101,-0.72632766,-0.56311333,"('successful', 'unsuccessful')",-1.6475974,-1.5159872,-1.5985622,-1.5442379,-0.3345979,-0.31990492,-0.97439796,-1.0986803,-1.0562967300415038,-1.0083847045898438,0.04791202545166007
80,0.7234449,0.68961346,"('independent', 'dependent')",0.701337,0.9282615,0.35471374,0.41307446,0.40510702,0.5141028,-0.22150904,0.08995363,0.3926187038421631,0.527001142501831,0.13438243865966798
86,-0.7082703,-0.8064957,"('self-reliant', 'helpless')",2.9456134,2.732299,2.47682,2.1106932,2.5072718,2.3982942,3.3260617,3.5815513,2.1094993591308593,2.0032684326171877,-0.10623092651367161
96,0.6820157,0.7426829,"('powerful', 'powerless')",0.1755684,0.38870588,0.4201415,0.50990546,0.72694695,0.8713105,0.859948,0.8614838,0.5729240894317627,0.674817705154419,0.10189361572265632
19,-0.6759676,-0.743834,"('funny', 'boring')",0.060657263,0.14084172,0.2834016,0.30653,-0.3496105,-0.29332638,-0.048300505,0.26334304,-0.14596394300460816,-0.06528912782669068,0.08067481517791748
22,0.67144144,0.47158897,"('welcoming', 'disagreeable')",0.84785306,0.83736885,0.87979186,0.9348552,0.95293707,0.9314314,0.025854863,0.3800376,0.6755756855010986,0.7110563755035401,0.03548069000244147
95,-0.664826,-0.5454147,"('rich', 'poor')",-4.709774,-4.3928375,-5.706902,-5.5807667,-3.8157964,-4.123964,-5.479868,-5.6191688,-4.075433349609375,-4.05243034362793,0.02300300598144478
91,0.6591659,0.5371069,"('resilient', 'nonresilient')",0.35761294,0.15464199,0.35939875,0.22815424,1.0924797,0.78959453,0.25857636,0.13087648,0.5454467296600342,0.3680748462677002,-0.17737188339233395
24,0.65770924,0.68159306,"('thoughtful', 'rough')",-0.4244508,-0.1493265,-0.5407717,-0.42633662,-0.042649567,0.0123083,-1.0065714,-1.0147231,-0.2713468551635742,-0.17929697036743164,0.09204988479614257
84,-0.6320218,-0.70097876,"('self-confident', 'diffident')",0.26595366,0.15219511,0.44883958,0.3380797,0.7308886,0.3462717,-0.12764627,0.0051413774,0.13720275163650514,0.028141820430755617,-0.10906093120574953
27,0.630226,1.151234,"('sincere', 'insincere')",-4.560419,-4.096223,-6.160915,-5.7590666,-4.5534263,-4.313797,-4.7517776,-5.1137066,-3.8792625427246095,-3.6263118743896485,0.25295066833496094
102,0.58536875,0.59922814,"('eminent', 'low')",-0.23210663,-0.20516232,-0.15280616,-0.18947878,-0.24610305,-0.21945906,0.6910634,0.5920321,0.12908326387405394,0.11543201208114624,-0.013651251792907701
58,0.53945345,0.749186,"('able', 'clumsy')",-2.1228695,-1.98755,-2.0164592,-1.6322384,-1.4287505,-1.0149335,-1.6440129,-1.6706612,-1.3345276832580566,-1.1112394332885742,0.22328824996948238
46,0.51262397,0.56032443,"('generous', 'stingy')",1.0759709,1.0182403,1.4032638,1.5845408,1.3587766,1.4963453,0.67003673,1.3338847,1.004134464263916,1.198667049407959,0.19453258514404292
79,0.50913966,0.36438912,"('determined', 'doubtful')",0.30131972,0.5897725,0.40449,0.5444099,0.6980226,0.78205824,0.09141493,0.47716904,0.40087738037109377,0.5515597343444825,0.1506823539733887
29,0.4963808,0.48373383,"('honest', 'immoral')",-0.9815516,-0.6355256,-1.5647068,-1.4220953,-0.980427,-0.77961326,-1.4141594,-1.5294719,-0.8888928413391113,-0.7765944480895997,0.11229839324951163
87,-0.49637207,-0.3700096,"('dedicated', 'undedicated')",-1.7505406,-1.4999835,-1.3950016,-1.0939951,-0.8453499,-0.6999897,-1.054172,-1.303519,-1.108287239074707,-0.9934993743896484,0.11478786468505853
103,0.4937011,0.61140865,"('traditional', 'modern')",-0.35082743,-0.2795439,0.391774,0.39344957,0.5146476,0.69094896,0.11335313,-0.09229265,0.23252968788146972,0.264794135093689,0.03226444721221927
72,0.4895798,0.71996534,"('logical', 'illogical')",-1.3016224,-1.2856491,-1.09387,-0.9319147,-0.44210643,-0.28809988,-1.188091,-1.1853313,-0.7072220325469971,-0.5942059516906738,0.11301608085632331
59,-0.48501796,-0.40254205,"('skillful', 'clumsy')",0.21649392,0.12461406,-0.03958799,0.12415682,1.0334733,0.98551416,0.67356026,0.68403023,0.2797842979431152,0.30315465927124025,0.023370361328125033
67,0.48048022,0.64303046,"('discriminating', 'undiscriminating')",-0.89302665,-0.6660045,-0.7350701,-0.50808823,-0.08942813,0.0023300052,-1.5828335,-1.4993699,-0.5639756202697754,-0.4056204319000244,0.15835518836975104
38,0.46784973,0.7523154,"('kind', 'unkind')",-1.9193782,-1.6626798,-1.5609362,-1.1458026,-0.9668281,-0.65231144,-1.4987268,-1.6090522,-1.0956039428710938,-0.8635061264038086,0.2320978164672851
21,0.45009986,0.35539562,"('nice', 'nasty')",0.8174746,0.7158653,0.84037876,0.7347633,0.5317167,0.523316,1.7513738,1.5401767,0.8782087326049804,0.7739034652709961,-0.10430526733398438
6,-0.4500236,-0.64471364,"('liked', 'disliked')",5.2526674,4.816939,5.466017,4.890277,4.380621,4.413682,5.383968,5.969698,4.006649780273437,3.8891761779785154,-0.11747360229492188
50,-0.39659426,-0.45608628,"('unprejudiced', 'prejudiced')",2.544677,2.2689662,1.9629992,1.6871815,1.5814697,1.5846293,2.399356,2.6354666,1.6183815002441406,1.544031524658203,-0.07434997558593759
4,-0.39367282,-0.49795046,"('likable', 'unlikable')",-0.5452514,-0.61519635,-0.48615944,-0.47670433,-0.0950155,-0.3402263,-0.3952296,-0.32648358,-0.38306574821472167,-0.4513122081756592,-0.06824645996093753
56,-0.38583565,-0.40963435,"('intelligent', 'dumb')",0.90707767,1.0589147,1.0773711,1.1285052,1.4893773,1.5036407,0.6108488,1.0184989,0.7397678375244141,0.8599849700927734,0.12021713256835931
48,0.3805162,0.2269313,"('reliable', 'unreliable')",1.76903,1.6273861,2.1151795,1.8666317,2.618515,2.6134818,2.6342964,2.4865189,1.9035074234008789,1.7641899108886718,-0.13931751251220703
35,-0.37642783,-0.33403563,"('fair', 'unfair')",0.5763655,0.9499327,0.8966235,0.95150924,0.8833535,0.97003007,0.4208792,0.70837677,0.48015875816345216,0.6491626739501953,0.16900391578674318
3,0.37322602,0.42243946,"('likable', 'unlikable')",1.9811201,1.8463863,1.6730256,1.6386765,1.9337685,1.9220791,1.5928342,1.8165653,1.5107948303222656,1.5292293548583984,0.018434524536132812
57,0.24784864,0.11417062,"('able', 'unable')",-0.17136587,-0.1769141,-0.31972033,-0.46208858,-0.21019134,-0.22425398,-0.18133612,-0.27067477,-0.12695300579071045,-0.20395216941833497,-0.07699916362762452
78,-0.17650396,-0.58306056,"('active', 'inactive')",1.927015,1.7472706,1.6664348,1.3858862,1.6414421,1.402981,1.3017597,1.1508787,1.272029495239258,1.020791244506836,-0.251238250732422
45,-0.15279463,-0.1067768,"('cooperative', 'exploitative')",-1.2700481,-1.4606096,-0.7360647,-0.7901373,-0.41245463,-0.5309638,0.29684842,-0.10851078,-0.45490274429321287,-0.5993996143341065,-0.14449687004089362
43,-0.14730936,-0.0665662,"('genuine', 'fake')",-0.083728015,0.08015817,-0.42033017,-0.2589481,0.20166256,0.3524685,-0.074588075,-0.32946002,-0.1048586130142212,-0.044469529390335084,0.06038908362388611
1,-0.14491275,-0.1446675,"('friendly', 'unfriendly')",-1.4874613,-1.5227045,-0.8735565,-0.7967598,-0.4822332,-0.80074716,-2.3322873,-1.8175201,-1.0640901565551757,-1.0164798736572265,0.04761028289794922
34,-0.1411408,0.20784682,"('loyal', 'disloyal')",-1.4559505,-1.2664964,-2.2570477,-2.0077512,-1.3835347,-1.2079401,-1.9675052,-1.9153135,-1.441035842895508,-1.2379308700561524,0.20310497283935547
97,-0.14011884,-0.093106925,"('superior', 'inferior')",-0.90949726,-0.75521445,-0.18287301,-0.08201641,0.0859555,0.06175691,-1.2500647,-0.9392341,-0.4793196678161621,-0.36156299114227297,0.11775667667388912
33,-0.1340584,-0.09346172,"('softhearted', 'hardhearted')",-1.9317405,-1.7992115,-1.1736591,-0.98120743,-1.5594783,-1.4824241,-2.417898,-2.2093263,-1.443366813659668,-1.3131261825561524,0.13024063110351558
53,0.13247284,0.3647958,"('smart', 'stupid')",-3.6652572,-3.3121805,-4.2117777,-3.9047155,-3.35249,-3.442326,-4.4754753,-4.5984755,-3.114505386352539,-2.978580284118652,0.13592510223388699
70,0.11338329,0.120973766,"('wise', 'unwise')",1.22377,1.1664646,0.90705657,0.7309036,1.0577655,0.9478054,1.2195585,0.9981952,0.9043067932128906,0.7928685188293457,-0.11143827438354492
30,0.09156257,0.31679296,"('honest', 'dishonest')",-0.7217752,-0.4364494,-1.0857369,-1.0297502,-0.35779807,-0.20837957,0.08721955,-0.20165718,-0.39730560779571533,-0.31188867092132566,0.08541693687438967
40,-0.06275336,-0.16164488,"('honorable', 'mean')",-4.0719533,-3.8845499,-4.142684,-3.9778955,-4.3691044,-4.4408293,-4.940078,-5.010788,-3.5173145294189454,-3.4951416015625,0.022172927856445312
62,0.026604563,-0.21506688,"('creative', 'uncreative')",-0.42539924,-0.4462042,-0.32742125,-0.4785881,0.35159117,0.29914215,-1.3489985,-1.1784592,-0.3447246551513672,-0.40383524894714357,-0.05911059379577638
28,-0.020590484,0.21400416,"('honest', 'dishonest')",-2.0678496,-1.8777467,-2.168892,-1.8965827,-1.8083858,-1.5352211,-1.5845377,-1.61567,-1.530051040649414,-1.3422431945800781,0.18780784606933598
44,0.01729688,0.12133855,"('truthful', 'untruthful')",-0.11448999,-0.28867882,-1.122855,-1.172944,-0.6729491,-0.5682516,0.5426117,0.1183213,-0.2700770854949951,-0.35804290771484376,-0.08796582221984867
