,n_male,n_female,tuple,r_male,r_female,g_male,g_female,energy_male,energy_female,average_male,average_female,female-male
110,-0.34737712,-0.61357,"('narrow-minded', 'open-minded')",-0.2873136,-0.29825777,-0.19529924,-0.046885252,0.8593237,0.92003554,0.007333412766456604,-0.009669363498687744,-0.017002776265144348
35,0.31933513,0.6377343,"('fair', 'unfair')",0.42134112,0.63826513,0.4575247,0.63522416,0.523046,0.5529777,0.43031173944473267,0.6160503625869751,0.18573862314224243
30,-0.31252527,-0.12035388,"('honest', 'dishonest')",-1.1468859,-0.916372,-0.5919974,-0.48739418,-0.778649,-0.8185479,-0.7075144052505493,-0.5856670141220093,0.12184739112854004
20,-0.30489367,-0.026204497,"('popular', 'unpopular')",-0.14755212,-0.1409136,-0.01925455,-0.2621597,-0.10486728,-0.030290306,-0.14414191246032715,-0.11489202827215195,0.0292498841881752
45,-0.29586214,-0.35812694,"('cooperative', 'exploitative')",-0.78717357,-0.87578416,-0.6582213,-0.6641067,-0.23946713,-0.34826183,-0.49518102407455444,-0.5615699291229248,-0.06638890504837036
16,0.28526917,0.34129095,"('social', 'antisocial')",-0.6668645,-0.42807254,0.29026398,0.5817776,-0.8901634,-0.54829955,-0.2453736960887909,-0.013325892388820648,0.23204780369997025
107,-0.28328317,-0.30257583,"('conventional', 'modern')",-0.26483452,-0.25445843,-0.47005758,-0.5415595,1.303526,1.2869473,0.07133769989013672,0.0470883846282959,-0.02424931526184082
76,0.27645972,0.16707093,"('secure', 'insecure')",-0.761703,-0.53449583,-0.32127264,-0.0251351,-0.26303387,-0.1019059,-0.2673874497413635,-0.12361647188663483,0.1437709778547287
18,-0.2653707,-0.24461125,"('social', 'asocial')",-1.3991891,-1.2886174,-0.5694622,-0.2863091,-1.2283826,-1.0912683,-0.8656011819839478,-0.7277015447616577,0.13789963722229004
17,-0.2542705,-0.0795843,"('social', 'antisocial')",0.022711515,0.15872484,0.4961484,0.8508994,-0.6563835,-0.44496354,-0.09794852137565613,0.1212690994143486,0.21921762079000473
85,-0.23322535,-0.25190726,"('ambitious', 'unambitious')",-0.5132973,-0.3683449,-0.76410866,-0.59181577,-0.98706454,-0.84022045,-0.6244239807128906,-0.5130720734596252,0.11135190725326538
44,-0.23292196,-0.24472101,"('truthful', 'untruthful')",-0.7766986,-0.7038487,-0.68831867,-0.8152972,-1.2910852,-1.3307499,-0.7472561001777649,-0.7736542224884033,-0.026398122310638428
4,-0.22454652,-0.18274283,"('likable', 'unlikable')",-0.8078537,-0.83326316,-0.19265181,-0.26078475,-1.5519984,-1.378438,-0.6942626237869263,-0.6638071537017822,0.030455470085144043
39,-0.19673279,0.022598028,"('right', 'wrong')",0.3053809,0.28617004,0.2633528,0.30596524,-0.4186951,-0.26159558,-0.011673539876937866,0.0882844403386116,0.09995798021554947
55,-0.19392505,-0.037784398,"('intelligent', 'unintelligent')",-0.40794873,-0.2816605,-0.44915605,-0.41050854,-1.4579399,-1.3499066,-0.6272424459457397,-0.5199649930000305,0.10727745294570923
103,0.19083337,0.3384595,"('traditional', 'modern')",-0.7980172,-0.6409632,0.07262145,-0.001307983,1.4928405,1.5076072,0.2395695447921753,0.3009488880634308,0.06137934327125549
23,0.16845459,0.06215155,"('hospitable', 'inhospitable')",0.6540009,0.37159202,0.58990073,0.22771522,0.5184783,0.28793144,0.482708603143692,0.2373475581407547,-0.24536104500293732
19,-0.16570687,-0.11864668,"('funny', 'boring')",0.23116416,0.26845172,0.28081405,0.40299016,0.16994846,0.32816315,0.1290549486875534,0.2202395796775818,0.09118463099002838
57,0.16558108,0.04438296,"('able', 'unable')",-0.09373465,-0.22763538,-0.048870474,-0.2667297,-1.177836,-1.3267133,-0.2887150049209595,-0.4441738724708557,-0.15545886754989624
82,0.1582329,0.21645918,"('industrious', 'meek')",1.4276853,1.4357574,1.268778,1.2838628,0.16275325,0.31982812,0.7543624043464661,0.8139768838882446,0.059614479541778564
52,-0.1466785,0.040014148,"('competitive', 'uncompetitive')",-1.4592249,-1.3129916,-0.5435519,-0.585273,-0.19016273,-0.13958667,-0.5849044919013977,-0.49945929646492004,0.08544519543647766
102,-0.13914421,-0.1446411,"('eminent', 'low')",-0.28220147,-0.3149167,-0.24287286,-0.23328225,-0.76265794,-0.798442,-0.35671913623809814,-0.37282049655914307,-0.016101360321044922
92,-0.11866778,-0.1744563,"('unwavering', 'wavering')",0.41043442,0.19152169,-0.2692914,-0.54120123,0.11890273,-0.021496236,0.03534449264407158,-0.1364080160856247,-0.17175250872969627
106,-0.10856587,0.2827857,"('conventional', 'unconventional')",0.18668665,0.4503115,0.063323975,0.19932827,-0.0683441,0.13405475,0.01827516406774521,0.26662006974220276,0.24834490567445755
43,0.10280892,0.09875609,"('genuine', 'fake')",-0.43541825,-0.45702985,-0.5802894,-0.52206904,-0.8335165,-0.92764646,-0.4366038143634796,-0.451997309923172,-0.015393495559692383
61,0.039054103,0.26790458,"('rational', 'irrational')",0.24376237,0.43184757,0.5955394,0.75454855,0.15952143,0.42030174,0.25946933031082153,0.46865057945251465,0.20918124914169312
36,0.021776378,-0.14769857,"('tolerant', 'intolerant')",-1.3848639,-1.3508128,-0.45070884,-0.30285674,-1.3933492,-1.3336675,-0.8017863631248474,-0.7837588787078857,0.01802748441696167
71,0.005706072,-0.17421842,"('efficient', 'inefficient')",-2.0267534,-2.0790608,-0.68210757,-0.80037385,-1.7167315,-1.8953872,-1.1049716472625732,-1.237260103225708,-0.13228845596313477
