,eastman_male,eastman_female,tuple,kodak_male,kodak_female,average_male,average_female,female-male
26,0.4314345,0.52768767,"('trustworthy', 'untrustworthy')",1.1316323,1.0902578,0.781533420085907,0.8089727163314819,0.02743929624557495
20,-0.42291948,-0.4024864,"('popular', 'unpopular')",-1.2289174,-1.3314867,-0.825918436050415,-0.8669865727424622,-0.04106813669204712
13,-0.40965483,-0.22844833,"('helpful', 'unhelpful')",-0.22303402,-0.15902734,-0.3163444399833679,-0.19373783469200134,0.12260660529136658
88,0.40842497,0.29654837,"('impulsive', 'meek')",-0.13510096,-0.14839077,0.13666200637817383,0.07407879829406738,-0.06258320808410645
29,-0.4038288,-0.31165335,"('honest', 'immoral')",0.03140837,-0.05158806,-0.18621021509170532,-0.18162070214748383,0.004589512944221497
79,0.37232453,0.28552523,"('determined', 'doubtful')",-0.047794547,0.053775385,0.16226498782634735,0.16965031623840332,0.007385328412055969
77,-0.36366302,-0.4496316,"('active', 'inactive')",-0.18836951,-0.17701082,-0.2760162651538849,-0.31332120299339294,-0.03730493783950806
36,-0.32928538,-0.28520668,"('tolerant', 'intolerant')",0.29627323,0.4386857,-0.016506075859069824,0.07673950493335724,0.09324558079242706
105,-0.31208715,-0.2640933,"('conventional', 'modern')",-0.025063932,-0.053887755,-0.16857554018497467,-0.1589905321598053,0.009585008025169373
106,0.2826637,0.37633038,"('conventional', 'unconventional')",-0.21847436,-0.0425667,0.032094672322273254,0.16688182950019836,0.1347871571779251
43,0.2732926,0.24841587,"('genuine', 'fake')",0.71851444,0.8402772,0.49590352177619934,0.5443465113639832,0.048442989587783813
66,0.2689767,0.19054033,"('imaginative', 'unimaginative')",1.3376421,1.4254011,0.8033093810081482,0.8079707026481628,0.0046613216400146484
72,-0.26583195,-0.03720081,"('logical', 'illogical')",0.3569091,0.3726835,0.04553857445716858,0.1677413433790207,0.12220276892185211
58,-0.22559892,-0.14296599,"('able', 'clumsy')",-0.15076905,-0.0687691,-0.18818399310112,-0.10586754232645035,0.08231645077466965
54,0.22417831,0.07364628,"('smart', 'stupid')",0.100552484,-0.081295595,0.1623654067516327,-0.003824658691883087,-0.16619006544351578
9,0.22052637,0.22073948,"('sensitive', 'insensitive')",0.6282631,0.5688039,0.42439472675323486,0.3947716951370239,-0.029623031616210938
18,0.20259738,0.35660136,"('social', 'asocial')",0.8244772,0.9101913,0.5135372877120972,0.633396327495575,0.11985903978347778
14,0.15908708,0.22239095,"('supportive', 'unsupportive')",0.3445254,0.36939102,0.25180622935295105,0.2958909869194031,0.044084757566452026
41,0.14896786,-0.0659225,"('incorrupt', 'corrupt')",-0.98905253,-0.94540906,-0.42004233598709106,-0.5056657791137695,-0.08562344312667847
0,-0.11718613,0.098288774,"('sociable', 'unsociable')",0.75296515,0.95762765,0.3178895115852356,0.5279582142829895,0.2100687026977539
74,0.11149239,0.14860684,"('insightful', 'unperceptive')",0.2949483,0.27915233,0.20322035253047943,0.21387958526611328,0.01065923273563385
38,0.09692161,0.45981517,"('kind', 'unkind')",-0.37097675,-0.28393027,-0.1370275616645813,0.0879424512386322,0.2249700129032135
60,0.095662236,0.38153487,"('educated', 'uneducated')",0.0015105009,0.22331697,0.048586368560791016,0.30242592096328735,0.25383955240249634
23,0.09182575,0.042506456,"('hospitable', 'inhospitable')",-0.1964907,-0.27541372,-0.052332475781440735,-0.1164536327123642,-0.06412115693092346
44,0.081082106,0.14302802,"('truthful', 'untruthful')",-0.45814624,-0.43697,-0.18853206932544708,-0.1469709873199463,0.04156108200550079
73,-0.07936126,-0.16594505,"('brilliant', 'incompetent')",0.27108812,0.2372278,0.09586343169212341,0.035641372203826904,-0.06022205948829651
70,-0.064543426,-0.13549978,"('wise', 'unwise')",0.062482715,0.0823535,-0.00103035569190979,-0.02657313644886017,-0.02554278075695038
85,0.05155453,0.045161396,"('ambitious', 'unambitious')",0.43629846,0.45707053,0.2439264953136444,0.25111597776412964,0.0071894824504852295
96,0.038189396,0.1569875,"('powerful', 'powerless')",0.16952625,0.26341927,0.10385782271623611,0.2102033793926239,0.10634555667638779
37,0.033899546,-0.25284246,"('good', 'evil')",0.3785088,0.09387833,0.20620417594909668,-0.0794820636510849,-0.2856862396001816
28,0.008005232,0.12926641,"('honest', 'dishonest')",-0.19096214,-0.105051875,-0.09147845208644867,0.01210726797580719,0.10358572006225586
