,orion_male,orion_female,tuple,office_male,office_female,reit_male,reit_female,average_male,average_female,female-male
109,1.5770555,1.6224165,"('conservative', 'liberal')",-0.22423181,-0.19741534,-0.013523571,0.03725896,0.4464333454767863,0.4874200423558553,0.04098669687906897
108,1.5770555,1.6224165,"('conservative', 'liberal')",-0.22423181,-0.19741534,-0.013523571,0.03725896,0.4464333454767863,0.4874200423558553,0.04098669687906897
1,-1.5115794,-1.3603002,"('friendly', 'unfriendly')",-0.8485774,-0.86864066,0.13017026,0.19200747,-0.7433288097381592,-0.6789778073628744,0.0643510023752848
58,-1.3934443,-1.178299,"('able', 'clumsy')",-1.039426,-0.83456624,-1.1238352,-1.1920594,-1.1855684916178386,-1.0683081944783528,0.11726029713948583
38,-1.3804305,-1.1502321,"('kind', 'unkind')",-2.1322641,-2.2016575,-1.1284776,-0.91121954,-1.5470574696858723,-1.4210364023844402,0.12602106730143214
55,-1.348604,-1.2760822,"('intelligent', 'unintelligent')",-0.04003024,0.09020236,0.29976094,0.36373496,-0.36295775572458905,-0.27404828866322833,0.08890946706136071
3,1.3369005,1.2392292,"('likable', 'unlikable')",0.5722931,0.41359907,0.46138114,0.5543226,0.7901915709177653,0.735716978708903,-0.054474592208862305
105,-1.3245171,-1.1392369,"('conventional', 'modern')",-0.19267374,-0.21954241,-0.257819,-0.109052524,-0.5916699568430582,-0.48927728335062665,0.10239267349243159
46,1.3239499,1.3547877,"('generous', 'stingy')",2.2241483,2.549482,1.2643566,1.2303385,1.6041515668233235,1.7115360895792644,0.1073845227559409
100,-1.3229847,-1.084647,"('influential', 'uninfluential')",-1.192704,-0.9572494,0.9503219,1.080791,-0.5217889149983724,-0.3203684488932292,0.20142046610514325
90,1.2619388,0.990721,"('motivated', 'unmotivated')",0.41345325,0.47680733,0.4323298,0.34960195,0.7025739351908366,0.6057101090749105,-0.09686382611592603
107,1.241167,1.6049943,"('conventional', 'modern')",-0.74958223,-0.8127287,0.14031023,0.18539552,0.21063164869944254,0.3258870442708333,0.11525539557139078
15,1.1934538,1.3455151,"('polite', 'impolite')",-0.4827006,-0.39251506,0.17945439,0.3795675,0.29673586289087933,0.444189190864563,0.14745332797368366
33,-1.1925473,-1.3602502,"('softhearted', 'hardhearted')",0.11980328,0.2955178,-0.13223991,-0.09292984,-0.40166131655375165,-0.3858874241511027,0.015773892402648926
81,1.1763624,0.8847877,"('industrious', 'lazy')",1.2688305,1.2124641,1.0270221,0.903862,1.1574049790700276,1.0003712972005208,-0.15703368186950684
85,-1.1542104,-1.0097457,"('ambitious', 'unambitious')",-0.87571514,-0.8623444,0.34252742,0.18397221,-0.5624660650889078,-0.5627059539159139,-0.00023988882700609615
93,1.0772021,1.2048781,"('dominating', 'dominated')",0.09408355,0.40667468,-0.5552919,-0.4538439,0.20533124605814615,0.38590296109517414,0.18057171503702799
37,1.0608041,0.94051474,"('good', 'evil')",2.4289818,2.5375566,1.5285323,1.5701828,1.672772725423177,1.6827513376871746,0.009978612263997544
21,1.0557116,0.76749456,"('nice', 'nasty')",0.14061856,-0.106983244,0.033171713,-0.06641775,0.40983398755391437,0.19803118705749512,-0.21180280049641925
44,-1.0388392,-0.9522282,"('truthful', 'untruthful')",-1.3780426,-1.6553717,-0.0874387,-0.0909853,-0.8347735404968262,-0.8995283444722494,-0.06475480397542321
74,-1.0369519,-1.0035942,"('insightful', 'unperceptive')",-1.8232816,-1.8810053,-0.27463976,-0.31252012,-1.0449577967325847,-1.065706491470337,-0.020748694737752205
16,1.0263525,0.8925898,"('social', 'antisocial')",-0.6495801,-0.4786772,0.1766853,0.087166965,0.18448591232299805,0.16702651977539062,-0.017459392547607422
103,0.97755826,0.7872677,"('traditional', 'modern')",1.6631075,1.7971921,0.5643828,0.69211346,1.0683495203653972,1.0921910603841145,0.0238415400187173
94,0.97653556,1.0764418,"('aggressive', 'submissive')",-1.1526917,-1.0657465,0.27475607,0.22803974,0.03286663691202799,0.07957832018534343,0.04671168327331544
104,-0.97479033,-0.9011023,"('conventional', 'unconventional')",1.1542466,1.4609581,-0.163908,0.13115951,0.005182743072509766,0.230338454246521,0.22515571117401123
102,-0.9398955,-0.8016157,"('eminent', 'low')",-1.6997077,-1.5479736,0.2942503,0.10381873,-0.7817842960357666,-0.7485902309417725,0.03319406509399414
67,-0.9335873,-0.79112023,"('discriminating', 'undiscriminating')",-1.0894475,-0.9565836,-0.050215162,0.03594248,-0.6910833517710367,-0.5705871184666952,0.12049623330434156
61,0.9238138,0.9463795,"('rational', 'irrational')",0.96782625,1.200419,0.5267874,0.6073152,0.8061424891153971,0.9180378913879395,0.11189540227254235
26,0.92334783,0.8222842,"('trustworthy', 'untrustworthy')",0.63578117,0.6891495,-0.17093396,-0.044028305,0.46273167928059894,0.48913514614105225,0.026403466860453306
34,-0.90785575,-0.61073023,"('loyal', 'disloyal')",-1.3482114,-1.0681541,-0.81348264,-0.6013043,-1.0231833457946777,-0.7600628534952799,0.2631204922993978
110,0.8940145,0.8246459,"('narrow-minded', 'open-minded')",0.9745338,0.88489866,-0.30050138,-0.4032492,0.5226823091506958,0.4354317982991536,-0.08725051085154217
65,-0.8786154,-0.8925595,"('practical', 'impractical')",-2.824329,-2.8638837,-0.96757126,-1.0928574,-1.5568385124206543,-1.6164334615071614,-0.05959494908650709
76,0.87180316,0.6289479,"('secure', 'insecure')",0.70458496,0.7572638,0.024572402,-0.01795625,0.5336534976959229,0.4560851256052653,-0.07756837209065753
36,-0.8630856,-0.8030398,"('tolerant', 'intolerant')",-0.77379143,-0.8336131,-0.3283565,-0.5892421,-0.655077854792277,-0.7419649759928385,-0.08688712120056152
84,-0.8354229,-0.940942,"('self-confident', 'diffident')",0.15969235,0.014811873,0.5140258,0.5586107,-0.05390157302220663,-0.12250647942225139,-0.06860490640004477
29,-0.8319036,-1.0431316,"('honest', 'immoral')",-1.6855266,-1.702951,-1.0518482,-0.84933025,-1.1897594928741455,-1.198470910390218,-0.008711417516072517
12,-0.7807664,-0.78547895,"('sympathetic', 'unsympathetic')",-1.4836562,-1.3586395,-0.5572707,-0.48715878,-0.9405644734700521,-0.8770923614501953,0.06347211201985681
35,0.76897365,0.88992965,"('fair', 'unfair')",1.9108382,1.9365289,0.6390628,0.8578193,1.1062916119893391,1.2280925909678142,0.12180097897847508
22,0.75541717,0.71113384,"('welcoming', 'disagreeable')",1.04884,1.146161,0.7982916,0.72425336,0.867516279220581,0.8605160713195801,-0.0070002079010009766
9,-0.7546111,-0.9430095,"('sensitive', 'insensitive')",-0.6069675,-0.72136414,-0.1027024,-0.1645374,-0.48809365431467694,-0.6096370220184326,-0.12154336770375568
91,0.7462685,0.45428258,"('resilient', 'nonresilient')",0.13611698,-0.005970031,0.15641554,0.19838393,0.34626702467600506,0.21556548277537027,-0.1307015419006348
2,0.7283976,0.7884399,"('friendly', 'unfriendly')",-0.9414775,-0.776976,0.16771021,0.14352804,-0.015123218297958374,0.051663994789123535,0.06678721308708191
63,-0.7240964,-0.6240699,"('capable', 'incapable')",-0.7740984,-0.8859175,-0.12708211,-0.10314497,-0.5417589743932089,-0.5377107858657837,0.004048188527425167
87,-0.7117528,-0.54463094,"('dedicated', 'undedicated')",-1.220604,-1.1040984,-0.4979065,-0.674762,-0.8100877602895101,-0.7744971116383871,0.03559064865112305
59,0.69682217,0.9066239,"('skillful', 'clumsy')",-0.047730938,0.052602828,-0.5788107,-0.48488957,0.02342685063680013,0.15811238686243692,0.13468553622563678
56,0.6940818,0.6666355,"('intelligent', 'dumb')",0.040280044,0.18874758,0.40387678,0.4801855,0.3794128894805908,0.4451895554860433,0.06577666600545246
4,-0.67064977,-0.83418316,"('likable', 'unlikable')",-0.68503785,-0.85014343,-0.49773932,-0.7219213,-0.617808977762858,-0.8020826975504557,-0.18427371978759766
97,-0.61803657,-0.53853095,"('superior', 'inferior')",-0.7933593,-0.6199966,-0.31161234,-0.11706278,-0.574336051940918,-0.4251968065897624,0.14913924535115558
41,0.5976137,0.6333841,"('incorrupt', 'corrupt')",1.9225698,2.0281785,-0.032384247,0.24417385,0.8292664686838785,0.9685787359873453,0.1393122673034668
78,0.59497595,0.35061148,"('active', 'inactive')",1.7472849,1.6560533,2.1379428,1.8390759,1.4934012095133464,1.2819135983784993,-0.21148761113484715
66,0.53211224,0.4606846,"('imaginative', 'unimaginative')",0.30640405,0.5539103,1.2607597,1.3636882,0.6997586886088053,0.7927610079447428,0.0930023193359375
51,0.5190625,0.3256346,"('competent', 'incompetent')",-0.5158435,-0.36526448,0.19043976,0.17649898,0.06455292304356892,0.04562303423881531,-0.018929888804753617
23,0.5134635,0.37837374,"('hospitable', 'inhospitable')",0.17026961,-0.054654434,0.59456396,0.6297418,0.4260990222295125,0.31782037019729614,-0.10827865203221637
69,-0.51246303,-0.432004,"('wise', 'foolish')",0.22368532,0.29523924,-0.43844298,-0.3341641,-0.24240688482920328,-0.1569762925306956,0.08543059229850769
43,-0.44253817,-0.44547778,"('genuine', 'fake')",0.045925558,0.060359,-0.3470301,-0.23745532,-0.24788089593251547,-0.20752469698588052,0.04035619894663495
88,0.43613937,0.65156585,"('impulsive', 'meek')",1.1094656,0.96273434,0.79298985,0.8147872,0.7795316378275553,0.8096958001454672,0.030164162317911858
8,-0.42438513,-0.6932449,"('open', 'distant')",0.82068783,0.83787334,0.8738471,0.7481344,0.42338327566782635,0.29758761326471966,-0.1257956624031067
7,0.41988814,0.22445697,"('outgoing', 'distant')",1.153957,0.9975981,1.1628497,0.97139424,0.9122316042582194,0.7311497529347738,-0.18108185132344556
82,0.39001536,0.33157086,"('industrious', 'meek')",0.2514122,0.3330919,0.46179807,0.5246979,0.3677419026692708,0.3964535395304362,0.0287116368611654
42,0.3812142,0.56483835,"('amicable', 'hostile')",0.99949485,1.124918,0.5947784,0.8762353,0.658495823542277,0.8553305466969808,0.19683472315470385
19,-0.3636626,-0.24796009,"('funny', 'boring')",-0.253007,-0.18851984,-0.3958248,-0.26616007,-0.33749810854593915,-0.2342133323351542,0.10328477621078494
98,0.34692279,0.34124872,"('prestigious', 'insignificant')",0.24918914,0.26992592,-0.4617492,-0.41814578,0.04478756586710612,0.06434295574824016,0.01955538988113404
68,-0.3364482,-0.8334657,"('clever', 'inept')",-0.032940254,-0.1415082,-0.56557536,-0.71479046,-0.31165460745493573,-0.5632547934850057,-0.25160018603007
73,-0.3255379,-0.59388375,"('brilliant', 'incompetent')",-1.1674016,-1.3056841,-0.097021714,-0.46796829,-0.5299870570500692,-0.7891786893208822,-0.259191632270813
92,-0.32296178,-0.15785041,"('unwavering', 'wavering')",-0.35843635,-0.19527912,0.39436665,0.4145974,-0.09567716717720032,0.020489285389582317,0.11616645256678264
101,0.32122186,0.12453372,"('successful', 'unsuccessful')",-1.0995605,-0.9982854,-0.20269446,-0.06296143,-0.3270110487937927,-0.3122376998265584,0.014773348967234312
80,0.30618834,0.36028016,"('independent', 'dependent')",1.0651941,0.9594588,0.95327854,1.1590098,0.7748870054880778,0.8262495994567871,0.05136259396870935
0,0.29448563,0.355385,"('sociable', 'unsociable')",-1.28793,-0.84632504,0.1469675,0.29980087,-0.2821589708328247,-0.06371305386225383,0.21844591697057086
54,-0.2518544,-0.63574964,"('smart', 'stupid')",0.13496166,0.12704551,1.4363698,1.1735162,0.43982569376627606,0.2216040094693502,-0.21822168429692587
31,-0.22863646,-0.35827282,"('altruistic', 'egoistic')",-0.45276535,-0.21189414,0.21632013,0.19433415,-0.15502722064654031,-0.12527759869893393,0.029749621947606386
20,-0.21440068,-0.21265322,"('popular', 'unpopular')",-0.059224144,-0.26673713,-0.19675584,0.02430956,-0.15679355462392172,-0.15169360240300497,0.005099952220916748
39,-0.21435428,-0.1588976,"('right', 'wrong')",0.13457523,0.26764694,-0.124571025,0.05456564,-0.06811668972174327,0.05443832774957021,0.12255501747131348
17,0.21360514,0.20252697,"('social', 'antisocial')",-0.72405565,-0.65415025,0.13877857,0.43617046,-0.12389063835144043,-0.005150934060414632,0.1187397042910258
96,-0.20304778,-0.08302504,"('powerful', 'powerless')",-1.760489,-1.3796782,-0.19640714,-0.1321736,-0.7199812730153402,-0.5316255887349447,0.1883556842803955
99,-0.18659729,-0.26208317,"('prestigious', 'insignificant')",0.5919113,0.6195593,-0.47303316,-0.4037879,-0.022573043902715046,-0.015437265237172445,0.007135778665542601
71,-0.18060505,-0.4857551,"('efficient', 'inefficient')",-1.7183113,-1.9551626,-0.11891085,-0.41741705,-0.6726090908050537,-0.9527782599131266,-0.2801691691080729
5,0.14979179,0.032316327,"('pleasant', 'repellent')",-0.02137889,-0.22073941,0.2037237,0.0046932697,0.1107122004032135,-0.06124327083428701,-0.17195547123750052
47,-0.1405499,-0.11421791,"('forgiving', 'unforgiving')",-0.5929116,-0.4837943,-0.24806431,-0.2020268,-0.3271752595901489,-0.26667966445287067,0.06049559513727826
14,0.12972608,0.10598399,"('supportive', 'unsupportive')",0.15512903,0.20216951,1.0218601,0.90453213,0.43557175000508624,0.40422852834065753,-0.03134322166442871
25,-0.1286152,-0.37010086,"('moral', 'immoral')",-1.4619688,-1.4718852,-0.6610591,-0.7066103,-0.750547726949056,-0.8495321273803711,-0.09898440043131507
64,-0.12672853,-0.31678653,"('clever', 'incompetent')",-0.7066829,-0.58156157,-0.17949674,-0.24740717,-0.3376360734303792,-0.38191843032836914,-0.04428235689798993
45,-0.12080248,-0.46258575,"('cooperative', 'exploitative')",-0.033333182,-0.08409792,-0.55193806,-0.8361913,-0.23535790046056113,-0.4609583218892415,-0.2256004214286804
70,0.11658912,0.16493954,"('wise', 'unwise')",-0.25343356,-0.25125778,0.9592011,1.0357759,0.27411890029907227,0.3164858818054199,0.042366981506347656
52,0.1084255,0.07004285,"('competitive', 'uncompetitive')",-1.7770917,-1.7157985,0.3141383,0.38482183,-0.4515093167622884,-0.42031129201253253,0.03119802474975586
77,-0.09509966,0.010900706,"('active', 'inactive')",0.5351337,0.82964385,1.5439807,1.5889652,0.6613382498423258,0.8098365465799967,0.1484982967376709
57,-0.064027205,-0.32815695,"('able', 'unable')",0.44323277,0.2867738,0.103660196,0.030312523,0.16095526019732156,-0.0036902079979578653,-0.16464546819527942
24,0.06382336,-0.05177498,"('thoughtful', 'rough')",-0.30068147,-0.2506431,-0.8204552,-0.80770224,-0.3524377743403117,-0.3700400988260905,-0.01760232448577881
83,0.062219635,0.1253433,"('energetic', 'lethargic')",-1.2132074,-1.0878624,0.014477432,-0.09285629,-0.37883679072062176,-0.351791779200236,0.027045011520385742
30,-0.053066373,-0.24687685,"('honest', 'dishonest')",-1.1128863,-1.2253492,0.043987095,0.09765762,-0.3739885489145915,-0.4581894874572754,-0.0842009385426839
106,0.044150837,-0.07460512,"('conventional', 'unconventional')",1.0135206,1.1076746,0.5181584,0.45136303,0.5252765814463297,0.4948108196258545,-0.030465761820475223
89,-0.04173863,-0.060542405,"('daring', 'anxious')",-0.26894048,-0.09442636,-0.66660464,-0.83840597,-0.3257612387339274,-0.3311249017715454,-0.005363663037617983
18,0.040024422,0.17414656,"('social', 'asocial')",-1.0269756,-0.90816057,-0.13265723,-0.24807663,-0.3732028007507324,-0.3273635506629944,0.04583925008773804
60,-0.039930284,0.3297069,"('educated', 'uneducated')",-1.0911819,-1.0039482,0.27679196,0.4660622,-0.28477338949839276,-0.06939303874969482,0.21538035074869794
72,0.021826118,0.0445756,"('logical', 'illogical')",-0.5886452,-0.5037762,-0.078703314,-0.051440477,-0.21517411867777506,-0.1702136993408203,0.04496041933695474
79,-0.0043262914,0.13288559,"('determined', 'doubtful')",-0.8019955,-0.58992475,-0.64907235,-0.59053755,-0.4851313829421997,-0.34919222195943195,0.13593916098276776
