,j_male,j_female,tuple,b_male,b_female,g_male,g_female,smith_male,smith_female,properties_male,properties_female,average_male,average_female,female-male
58,-1.3677905,-1.3160226,"('able', 'clumsy')",-2.0164592,-1.6322384,-2.2680674,-2.001434,-1.8274727,-1.529036,-2.1146393,-1.9000065,-1.9188858032226563,-1.6757474899291993,0.24313831329345703
29,-1.366729,-1.2559829,"('honest', 'immoral')",-1.5647068,-1.4220953,-0.9749376,-1.0689347,-1.4868681,-1.581508,-0.85030484,-0.9273514,-1.2487092971801759,-1.2511744499206543,-0.002465152740478427
87,-1.2957903,-1.038101,"('dedicated', 'undedicated')",-1.3950016,-1.0939951,-1.2642896,-1.0253353,-1.0296897,-0.79634607,-0.84035015,-0.83383936,-1.1650242805480957,-0.9575233459472656,0.20750093460083008
77,1.2726817,1.6313412,"('active', 'inactive')",1.2259475,1.3343909,0.91783345,1.113715,0.98047066,0.9425943,0.38892785,0.4274498,0.9571722030639649,1.0898982048034669,0.132726001739502
33,-1.2080632,-1.055902,"('softhearted', 'hardhearted')",-1.1736591,-0.98120743,-1.2252917,-1.0314966,-0.16449916,-0.13053662,-0.56807005,-0.64037335,-0.8679166793823242,-0.7679031372070313,0.1000135421752929
82,1.1905928,1.2586536,"('industrious', 'meek')",1.3268371,1.2311803,1.268778,1.2838628,0.57678,0.25374258,0.96609235,1.0452747,1.0658159255981445,1.0145427703857421,-0.05127315521240239
105,-1.1081593,-0.8112272,"('conventional', 'modern')",-0.5203739,-0.6052388,-1.0484657,-1.1090662,-0.8949101,-0.8773755,-0.39214545,-0.7870011,-0.7928108692169189,-0.8379817962646484,-0.045170927047729514
14,1.0811955,0.76381737,"('supportive', 'unsupportive')",0.905868,0.68216586,1.1609747,1.0481464,0.5655743,0.6438923,0.18834054,-0.16800377,0.7803906440734864,0.5940036296844482,-0.18638701438903815
74,-1.0752475,-1.2213883,"('insightful', 'unperceptive')",-1.562226,-1.5833604,-0.83017945,-1.1086295,-0.4345495,-0.28739923,-1.7456455,-1.9286261,-1.1295696258544923,-1.2258807182312013,-0.09631109237670898
1,-1.0732529,-0.9685752,"('friendly', 'unfriendly')",-0.8735565,-0.7967598,-1.2664798,-1.36274,-1.1312401,-1.1765437,-0.7271242,-0.8731348,-1.0143306732177735,-1.0355506896972657,-0.021220016479492232
25,-1.0571727,-1.1833907,"('moral', 'immoral')",-1.415171,-1.3988961,-0.5131384,-0.57920027,-0.025263608,-0.40191576,-1.0203526,-0.77906704,-0.8062196731567383,-0.8684940338134766,-0.0622743606567383
49,-1.0309014,-0.889426,"('responsible', 'irresponsible')",-1.5819976,-1.5012579,-1.0456283,-0.98076755,-1.2305775,-0.85973483,-1.5261756,-1.8509095,-1.2830560684204102,-1.2164192199707031,0.06663684844970708
0,-0.9923867,-0.66322047,"('sociable', 'unsociable')",-0.95488715,-0.68590146,-0.43296582,-0.04804051,-0.10469246,0.3870425,-0.83256954,-0.41742212,-0.6635003566741944,-0.285508394241333,0.3779919624328614
63,-0.99209285,-0.93813276,"('capable', 'incapable')",-1.5367336,-1.5149089,-1.1163616,-1.1562645,-0.3746008,-0.7511612,-0.42729816,-0.48739818,-0.8894173622131347,-0.9695731163024902,-0.08015575408935549
44,-0.975459,-1.0365434,"('truthful', 'untruthful')",-1.122855,-1.172944,-0.68831867,-0.8152972,-0.99353135,-0.9372388,-1.2181623,-1.2992584,-0.9996652603149414,-1.0522562980651855,-0.052591037750244096
51,-0.97004414,-0.91669846,"('competent', 'incompetent')",-1.955461,-1.8141505,-0.790077,-0.65050906,-0.43958914,0.010731161,-1.3501754,-1.2050841,-1.1010693550109862,-0.9151421546936035,0.18592720031738275
71,-0.9456273,-1.0518491,"('efficient', 'inefficient')",-1.1501919,-1.2575928,-0.68210757,-0.80037385,0.10973337,0.16830444,-1.145095,-1.2799008,-0.7626577377319336,-0.8442824363708497,-0.08162469863891608
100,-0.94136053,-0.7809183,"('influential', 'uninfluential')",-1.1524792,-1.0277016,-0.98890734,-0.7295034,-1.2425809,-0.92152,-0.79805696,-0.36800623,-1.0246769905090332,-0.7655299186706543,0.2591470718383788
22,0.91822517,0.84933627,"('welcoming', 'disagreeable')",0.87979186,0.9348552,1.2077543,1.2336497,2.0513344,1.7631031,1.3635443,1.3771195,1.2841300010681151,1.231612777709961,-0.05251722335815412
9,-0.89169854,-0.9234469,"('sensitive', 'insensitive')",-1.0783403,-1.1104263,-0.8102921,-0.8734444,-0.68455845,-0.48858425,-1.2816458,-1.416956,-0.9493070602416992,-0.9625715255737305,-0.013264465332031294
104,-0.8831358,-0.592151,"('conventional', 'unconventional')",-0.47633043,-0.2731191,-0.7787729,-0.51928514,-0.8713018,-0.80109125,0.2301956,0.32036605,-0.5558691024780273,-0.3730561017990112,0.18281300067901612
83,-0.8756627,-0.7579707,"('energetic', 'lethargic')",-1.3879737,-1.3041875,-0.8215417,-0.68706656,-0.7250044,-0.2897071,-0.8134278,-0.8779827,-0.9247220993041992,-0.7833828926086426,0.14133920669555666
30,-0.87165606,-0.7074395,"('honest', 'dishonest')",-1.0857369,-1.0297502,-0.5919974,-0.48739418,-0.6745337,-0.31733486,-0.5001038,-0.75161624,-0.7448055744171143,-0.6587069988250732,0.08609857559204104
64,-0.8546387,-0.8584427,"('clever', 'incompetent')",-1.3888204,-1.2064309,-0.83409107,-0.67761266,-0.3796301,-0.27854222,-1.0410619,-0.6975428,-0.8996484756469727,-0.7437143325805664,0.1559341430664063
54,0.80816406,0.44386595,"('smart', 'stupid')",0.64390695,0.41244477,1.0069065,0.87613374,0.37706506,-0.15379125,-0.0033973455,-0.3449959,0.5665289878845214,0.24673149585723878,-0.3197974920272827
31,-0.79888344,-0.7853662,"('altruistic', 'egoistic')",-0.6442001,-0.6200015,-0.8779713,-0.94406784,-0.23109171,-0.60003984,0.026233107,0.21056187,-0.5051826953887939,-0.5477827072143555,-0.04260001182556161
18,-0.7957493,-0.74457103,"('social', 'asocial')",-0.8683249,-0.8030361,-0.5694622,-0.2863091,-0.43947893,-0.2822433,-0.40163773,-0.32865322,-0.6149305820465087,-0.48896255493164065,0.1259680271148681
70,0.79471135,0.8210784,"('wise', 'unwise')",0.90705657,0.7309036,0.6694135,0.5758811,0.0107361525,0.033681333,1.0792736,0.97892284,0.6922382354736328,0.6280934810638428,-0.06414475440979006
5,-0.78812224,-0.6737645,"('pleasant', 'repellent')",-0.5924959,-0.5502205,-0.7833272,-0.88145447,-0.031853467,-0.03891191,-0.24976897,-0.1840064,-0.48911352157592775,-0.4656715393066406,0.02344198226928712
59,0.7445065,0.64628327,"('skillful', 'clumsy')",-0.03958799,0.12415682,0.23235947,0.16496716,0.49863774,0.46836287,-0.034404963,0.35463566,0.2803021430969238,0.35168118476867677,0.07137904167175296
42,0.7251836,0.7589539,"('amicable', 'hostile')",1.0376753,1.0743988,0.53053117,0.64485127,0.66857564,0.41154385,1.6725032,1.6488936,0.9268938064575195,0.9077282905578613,-0.019165515899658203
94,0.7046653,0.64178705,"('aggressive', 'submissive')",-0.1956662,-0.11453688,0.683088,0.9222765,0.9348273,1.250533,-0.15962337,0.20325635,0.3934582233428955,0.5806632041931152,0.18720498085021975
80,0.70096046,0.8918854,"('independent', 'dependent')",0.35471374,0.41307446,0.9470507,1.0551472,1.5854478,1.5355098,1.655842,1.470441,1.048802947998047,1.0732115745544433,0.024408626556396307
67,-0.6931894,-0.40511376,"('discriminating', 'undiscriminating')",-0.7350701,-0.50808823,-0.5590217,-0.34177774,-0.048361488,0.13152653,-0.84045213,-0.8994385,-0.5752189636230469,-0.40457830429077146,0.17064065933227546
65,-0.6924291,-0.74457407,"('practical', 'impractical')",-1.7059805,-1.7051802,-0.8582104,-0.74121,-0.99721575,-0.86879605,-1.6721513,-1.6391046,-1.1851974487304688,-1.1397729873657227,0.045424461364746094
35,0.67492706,0.99477226,"('fair', 'unfair')",0.8966235,0.95150924,0.4575247,0.63522416,0.7587577,1.0766296,1.146867,0.75845325,0.786940050125122,0.8833176612854003,0.09637761116027832
47,-0.6700586,-0.5564056,"('forgiving', 'unforgiving')",-0.55104315,-0.24545383,-0.47654572,-0.2565773,-0.87984914,-0.6854867,-0.47436878,-0.3847757,-0.610373067855835,-0.42573981285095214,0.18463325500488287
45,-0.6572871,-0.7797463,"('cooperative', 'exploitative')",-0.7360647,-0.7901373,-0.6582213,-0.6641067,-0.2885033,-0.6449347,-0.30818048,-0.29475123,-0.529651403427124,-0.6347352027893066,-0.1050837993621826
61,0.6353286,0.7907096,"('rational', 'irrational')",0.44435033,0.5396443,0.5955394,0.75454855,1.0019677,0.909976,1.2019978,1.3311548,0.7758367538452149,0.8652067184448242,0.08936996459960933
41,0.62209064,0.7594095,"('incorrupt', 'corrupt')",1.4726729,1.5054833,1.1122627,1.1070817,0.8173182,0.87361187,2.0571692,1.8650037,1.2163026809692383,1.2221179962158204,0.005815315246582076
24,-0.61767215,-0.38478947,"('thoughtful', 'rough')",-0.5407717,-0.42633662,-0.6962917,-0.72609055,-0.75205636,-0.91149575,-0.15317723,-0.042253703,-0.5519938468933105,-0.49819321632385255,0.053800630569458
52,-0.61325645,-0.65377617,"('competitive', 'uncompetitive')",-0.87743187,-0.7447358,-0.5435519,-0.585273,-0.33670467,0.2258575,-1.1241325,-0.8213976,-0.6990155220031739,-0.5158649921417237,0.1831505298614502
20,-0.60950154,-0.6159937,"('popular', 'unpopular')",0.16321862,0.04654464,-0.01925455,-0.2621597,1.1041031,1.1364632,-0.23615675,0.26851127,0.08048176765441895,0.11467313766479492,0.03419137001037598
96,0.5886022,0.82131016,"('powerful', 'powerless')",0.4201415,0.50990546,-0.05460918,0.25577012,0.05815409,0.08229546,-0.96422416,-0.6445353,0.009612882137298584,0.20494916439056396,0.19533628225326538
62,-0.5868681,-0.62922364,"('creative', 'uncreative')",-0.32742125,-0.4785881,-0.47754455,-0.605693,-0.9047681,-0.9924754,-0.4674378,-0.895578,-0.5528079509735108,-0.7203116416931152,-0.16750369071960447
85,-0.58072525,-0.6008816,"('ambitious', 'unambitious')",-0.7872126,-0.7292234,-0.76410866,-0.59181577,-0.3977335,-0.35143483,-1.2007688,-1.0238845,-0.7461097717285157,-0.6594480037689209,0.0866617679595948
98,-0.57486475,-0.6919712,"('prestigious', 'insignificant')",-0.83592534,-1.0284861,-0.7676127,-1.081466,-0.3137863,-0.67274976,0.20216745,-0.060465068,-0.4580043315887451,-0.7070276260375976,-0.24902329444885252
15,0.57068944,0.48743016,"('polite', 'impolite')",0.18000188,0.28670406,0.76075125,0.943059,-0.006861806,0.47499081,-0.23489136,0.31429893,0.2539378643035889,0.5012965679168702,0.24735870361328127
60,-0.5563817,-0.3994161,"('educated', 'uneducated')",-1.2993289,-1.0519685,-0.7541682,-0.5177208,-0.32706985,-0.2974773,-0.7753732,-0.13364273,-0.7424643516540528,-0.4800450801849365,0.26241927146911626
43,-0.54297334,-0.38659817,"('genuine', 'fake')",-0.42033017,-0.2589481,-0.5802894,-0.52206904,-0.7307244,-0.7287851,-0.8749583,-0.90213275,-0.6298551082611084,-0.5597066402435302,0.07014846801757812
2,-0.5280374,-0.41137904,"('friendly', 'unfriendly')",-0.9851281,-0.68479824,-0.7287791,-0.3914387,-0.6464242,-0.22981757,-0.63281524,-0.031446666,-0.7042367935180665,-0.3497760772705078,0.35446071624755865
68,-0.4937332,-0.7336796,"('clever', 'inept')",-0.95885164,-1.2028756,-0.6838181,-0.93786204,-0.8512262,-1.2624354,-0.8044758,-1.1291891,-0.7584210395812988,-1.053208351135254,-0.2947873115539551
97,-0.47961745,-0.28274098,"('superior', 'inferior')",-0.18287301,-0.08201641,-1.2306579,-1.1117764,-1.2958094,-0.95868784,0.23389012,-0.02682972,-0.5910135269165039,-0.4924102783203125,0.0986032485961914
10,-0.4762227,-0.6255503,"('affectionate', 'unaffectionate')",-0.18619193,-0.14431787,-0.69088143,-0.6851759,-0.50005716,-0.44141415,-0.60605407,-0.54933596,-0.4918814659118652,-0.48915882110595704,0.00272264480590817
7,0.4731989,0.38115656,"('outgoing', 'distant')",0.77852696,0.45304936,1.0823724,0.72853005,0.7849557,0.36038202,1.4786358,0.59059304,0.9195379257202149,0.5027422428131103,-0.41679568290710456
21,0.46618402,0.28125644,"('nice', 'nasty')",0.84037876,0.7347633,0.5306081,0.382892,0.41871727,0.39938855,0.46735054,0.31256115,0.5446476936340332,0.42217230796813965,-0.12247538566589355
79,0.40430576,0.57237977,"('determined', 'doubtful')",0.40449,0.5444099,-0.14468962,-0.007828653,-0.15040243,-0.12546115,-0.3044703,-0.3722977,0.04184668064117432,0.12224040031433106,0.08039371967315674
32,-0.3887757,-0.15572733,"('benevolent', 'hardhearted')",-0.6568372,-0.40919644,-1.2758682,-0.8172261,-1.1225772,-0.8705962,-1.5359819,-1.2411616,-0.9960081100463867,-0.6987815380096436,0.2972265720367431
19,0.3649938,0.4076658,"('funny', 'boring')",0.2834016,0.30653,0.28081405,0.40299016,0.08591324,0.2578221,0.015638173,-0.043531775,0.20615215301513673,0.26629526615142823,0.060143113136291504
39,0.3536382,0.37615192,"('right', 'wrong')",0.3504072,0.28718835,0.2633528,0.30596524,0.0687068,-0.1302203,0.36344182,0.32342532,0.2799093723297119,0.23250210285186768,-0.04740726947784424
92,-0.34890622,-0.3795511,"('unwavering', 'wavering')",-0.4898828,-0.70865226,-0.2692914,-0.54120123,0.051475257,-0.012457028,0.27062726,0.0026210248,-0.1571955680847168,-0.32784812450408934,-0.17065255641937255
69,0.33686703,0.36789474,"('wise', 'foolish')",0.1529213,0.12814856,-0.18999529,-0.16425142,-0.1287266,-0.18802792,0.38725668,0.26103115,0.11166462898254395,0.0809590220451355,-0.030705606937408453
76,0.33601618,0.4890862,"('secure', 'insecure')",-0.35083777,-0.18886438,-0.32127264,-0.0251351,0.36157212,0.6719162,0.06481135,0.22177178,0.018057847023010255,0.23375492095947265,0.2156970739364624
91,0.32876134,0.1702478,"('resilient', 'nonresilient')",0.35939875,0.22815424,0.8023002,0.47213113,-0.054436114,-0.07072586,-0.5703444,-0.6430256,0.1731359601020813,0.03135634660720825,-0.14177961349487306
16,0.31018537,0.41192698,"('social', 'antisocial')",-0.083566815,0.10708791,0.29026398,0.5817776,0.5532893,0.871504,-0.9889282,-0.592095,0.0162487268447876,0.2760402917861938,0.2597915649414062
36,0.30745906,0.21148391,"('tolerant', 'intolerant')",-0.9137445,-0.8541354,-0.45070884,-0.30285674,-1.0374141,-0.9803282,-1.6654601,-1.5985916,-0.7519737243652344,-0.7048855781555176,0.0470881462097168
107,-0.30173668,-0.22469789,"('conventional', 'modern')",-0.5309595,-0.40021747,-0.47005758,-0.5415595,0.37601703,0.8803044,-0.17889684,0.07398963,-0.22112672328948973,-0.04243615865707397,0.17869056463241575
90,0.29616502,0.0697307,"('motivated', 'unmotivated')",0.0023189783,-0.39748672,0.40488464,0.061765492,0.2527956,-0.2641275,0.8272935,0.61357296,0.3566915512084961,0.016690993309020997,-0.3400005578994751
106,-0.2675382,0.022001445,"('conventional', 'unconventional')",0.13079202,0.41825736,0.063323975,0.19932827,0.3842038,0.4398322,0.2504047,0.56646353,0.11223726272583008,0.3291765689849854,0.2169393062591553
109,0.23729813,0.19847897,"('conservative', 'liberal')",0.09888503,0.13363901,0.42665127,0.4322971,0.40033317,0.46133354,0.0018482506,0.18667978,0.23300316333770751,0.2824856758117676,0.049482512474060075
108,0.23729813,0.19847897,"('conservative', 'liberal')",0.09888503,0.13363901,0.42665127,0.4322971,0.40033317,0.46133354,0.0018482506,0.18667978,0.23300316333770751,0.2824856758117676,0.049482512474060075
23,0.23384124,0.020419955,"('hospitable', 'inhospitable')",0.21861994,-0.04126811,0.58990073,0.22771522,0.46726164,0.0873746,0.8903779,0.6870148,0.48000030517578124,0.1962512969970703,-0.28374900817871096
110,0.22467887,0.17949474,"('narrow-minded', 'open-minded')",-0.41855544,-0.36213514,-0.19529924,-0.046885252,-0.38154483,-0.4634213,0.26777166,0.30951074,-0.1005897879600525,-0.07668723464012146,0.023902553319931033
99,-0.22217318,-0.33459878,"('prestigious', 'insignificant')",-0.050380886,-0.23653877,-0.4366922,-0.75585914,0.269428,-0.19861227,-0.022365406,-0.050824597,-0.09243673086166382,-0.3152867317199707,-0.22285000085830686
55,-0.2127519,-0.37715444,"('intelligent', 'unintelligent')",-0.42337245,-0.36233056,-0.44915605,-0.41050854,-0.44897944,-0.31192183,-0.8065738,-0.4833059,-0.46816673278808596,-0.3890442609786987,0.07912247180938725
4,-0.2063405,-0.36528745,"('likable', 'unlikable')",-0.48615944,-0.47670433,-0.19265181,-0.26078475,0.2420659,-0.13963199,-0.9171295,-0.8765949,-0.31204307079315186,-0.4238006591796875,-0.11175758838653566
26,0.19190232,0.21247692,"('trustworthy', 'untrustworthy')",-0.55973744,-0.48547858,0.0832995,0.28664398,0.11156115,0.30376655,0.5642391,0.5544598,0.07825292944908142,0.17437373399734496,0.09612080454826354
103,-0.17776968,0.003079243,"('traditional', 'modern')",0.391774,0.39344957,0.07262145,-0.001307983,0.65523094,0.560349,0.7415574,0.6148095,0.3366828441619873,0.3140758514404297,-0.022606992721557584
57,0.09012309,-0.015129507,"('able', 'unable')",-0.31972033,-0.46208858,-0.048870474,-0.2667297,0.5903346,0.45671964,-0.0444555,-0.09544988,0.053482276201248166,-0.07653560638427734,-0.1300178825855255
102,-0.052470088,-0.17696598,"('eminent', 'low')",-0.15280616,-0.18947878,-0.24287286,-0.23328225,0.3289208,0.17789286,-0.42926997,0.16885412,-0.1096996545791626,-0.05059601068496704,0.05910364389419556
93,0.048190713,0.175396,"('dominating', 'dominated')",-0.6445349,-0.492137,0.08763093,0.3267231,-0.48454478,-0.10337728,-0.014606699,0.42587253,-0.20157294273376464,0.06649546623229981,0.26806840896606443
17,-0.03647557,0.092258155,"('social', 'antisocial')",0.33157134,0.64470977,0.4961484,0.8508994,-0.16935712,0.06647915,-1.1665264,-0.8142843,-0.10892788171768189,0.1680124282836914,0.2769403100013733
8,-0.014424115,0.025948942,"('open', 'distant')",0.47173813,0.2775717,0.5069059,0.23980924,0.45470902,0.012094498,1.5699992,0.68325603,0.5977856636047363,0.2477360725402832,-0.3500495910644531
89,-0.013561934,0.026220828,"('daring', 'anxious')",-0.35284913,-0.2850413,0.012247622,0.06825355,-0.112623274,0.05541581,-0.5809822,-0.5429682,-0.20955379009246827,-0.13562386035919188,0.07392992973327639
84,0.0011095554,-0.13676065,"('self-confident', 'diffident')",0.44883958,0.3380797,0.037226193,-0.09773268,-0.26343793,-0.27485287,-0.7825162,-1.0371943,-0.11175575256347656,-0.2416921615600586,-0.12993640899658204
