,donnelley_male,donnelley_female,tuple,r_male,r_female,&_male,&_female,sons_male,sons_female,average_male,average_female,female-male
28,-0.627911,-0.31717232,"('honest', 'dishonest')",-2.2002091,-1.9643273,-2.4815605,-2.3089046,-2.071231,-1.9165988,-1.8452279567718506,-1.6267508268356323,0.21847712993621826
21,0.608426,0.8713674,"('nice', 'nasty')",1.1697125,1.198152,0.865172,1.0441111,0.53332084,0.6719364,0.794157862663269,0.9463917016983032,0.15223383903503418
67,-0.6022105,-0.48105174,"('discriminating', 'undiscriminating')",-0.98165905,-0.7770956,-0.9230713,-0.78169817,-0.07217532,0.06665492,-0.6447790265083313,-0.49329763650894165,0.15148138999938965
61,0.59040976,0.78975636,"('rational', 'irrational')",0.24376237,0.43184757,0.19487056,0.09538987,1.163605,1.361594,0.5481619238853455,0.6696469187736511,0.12148499488830566
56,0.5877727,0.6230636,"('intelligent', 'dumb')",0.6803543,0.67462134,0.74053323,0.7549103,1.0537555,1.1906013,0.7656039595603943,0.8107991218566895,0.045195162296295166
45,0.5809969,0.16132161,"('cooperative', 'exploitative')",-0.78717357,-0.87578416,0.0488908,-0.1737825,-1.0054334,-0.99938554,-0.29067984223365784,-0.4719076156616211,-0.18122777342796326
63,-0.5375526,-0.72733045,"('capable', 'incapable')",-1.0171629,-1.0816913,-0.80940247,-1.0181079,-0.6438735,-0.78869975,-0.7519978880882263,-0.9039573669433594,-0.15195947885513306
15,0.53596157,0.7611895,"('polite', 'impolite')",-0.28689027,-0.029371908,0.7157667,0.84402835,-0.13180122,0.050735265,0.2082591950893402,0.4066452980041504,0.19838610291481018
60,0.522423,0.25041506,"('educated', 'uneducated')",-1.3673105,-1.0002425,-1.7056144,-1.5260056,-1.2817321,-1.0773606,-0.9580584764480591,-0.8382984399795532,0.11976003646850586
74,-0.49911946,-0.56393003,"('insightful', 'unperceptive')",-1.3271606,-1.2288857,-2.2165906,-2.3376427,-0.8456309,-0.8761403,-1.2221252918243408,-1.2516496181488037,-0.02952432632446289
107,0.49637604,1.0719844,"('conventional', 'modern')",-0.26483452,-0.25445843,0.44311655,0.51828825,-0.14415425,0.090155125,0.13262595236301422,0.3564923405647278,0.22386638820171356
86,0.48935917,0.15082657,"('self-reliant', 'helpless')",2.6314495,2.476997,3.6254056,3.315715,3.5858386,3.6479414,2.5830130577087402,2.3978700637817383,-0.18514299392700195
104,-0.47955453,-0.2529783,"('conventional', 'unconventional')",-0.050702006,0.19798887,-0.45263612,-0.33058608,-0.554636,-0.4818614,-0.3843821585178375,-0.21685922145843506,0.16752293705940247
44,-0.4471051,-0.268797,"('truthful', 'untruthful')",-0.7766986,-0.7038487,-0.52573866,-0.6208297,-0.8998238,-0.8637007,-0.6623415946960449,-0.6142940521240234,0.048047542572021484
35,0.4345107,0.726171,"('fair', 'unfair')",0.42134112,0.63826513,0.016712442,-0.0033596903,1.5017617,1.5832783,0.59358149766922,0.7360886931419373,0.14250719547271729
8,0.43370286,0.20584872,"('open', 'distant')",0.90309715,0.5884938,-1.4330556,-1.7748258,0.9310247,0.80114913,0.2086922526359558,-0.04483354091644287,-0.2535257935523987
33,-0.41916722,-0.41260076,"('softhearted', 'hardhearted')",-0.98709214,-0.9631077,-0.60674417,-0.23359776,-1.3821126,-1.2888263,-0.8487789630889893,-0.7245331406593323,0.12424582242965698
71,0.41737336,-0.032104433,"('efficient', 'inefficient')",-2.0267534,-2.0790608,-0.68018186,-0.549804,-1.3555379,-1.6793226,-0.9112749099731445,-1.0850729942321777,-0.1737980842590332
26,-0.41001672,0.057792827,"('trustworthy', 'untrustworthy')",-0.51307434,-0.33856344,-0.35686257,-0.40186012,0.4149489,0.50438786,-0.2162511646747589,-0.044560715556144714,0.1716904491186142
1,-0.409646,-0.3152615,"('friendly', 'unfriendly')",-1.1563015,-0.96764356,-1.8073549,-1.9302442,-0.7997239,-0.61135817,-1.0432566404342651,-0.956126868724823,0.08712977170944214
85,-0.4013816,-0.25399807,"('ambitious', 'unambitious')",-0.5132973,-0.3683449,0.2667089,0.29304048,-0.58550334,-0.5629302,-0.3083683252334595,-0.22305816411972046,0.08531016111373901
84,-0.40073878,-0.5656289,"('self-confident', 'diffident')",0.3057918,0.25927255,0.07232165,-0.23763105,0.3191767,0.37269256,0.074137844145298,-0.042823709547519684,-0.11696155369281769
77,0.38613987,0.32061854,"('active', 'inactive')",0.80157644,0.9824271,-0.078360364,-0.27548856,1.0634861,1.1307017,0.543210506439209,0.5395647287368774,-0.003645777702331543
13,-0.37716535,-0.19386041,"('helpful', 'unhelpful')",-2.864157,-2.7873993,-1.4792297,-1.5617889,-3.0659091,-2.9369402,-1.946615219116211,-1.869997262954712,0.07661795616149902
38,-0.3550079,-0.41767898,"('kind', 'unkind')",-1.937482,-1.6237364,-1.8781213,-1.696897,-2.389601,-1.9643301,-1.6400530338287354,-1.4256606101989746,0.21439242362976074
94,0.3463117,0.54747045,"('aggressive', 'submissive')",-0.67477906,-0.67090726,0.45391607,0.68634987,0.16705027,0.100104004,0.07312474399805069,0.1657542586326599,0.09262951463460922
42,0.34357774,0.65449333,"('amicable', 'hostile')",1.3348227,1.4744849,0.81864345,0.653674,1.6948857,1.7752569,1.0479824542999268,1.139477252960205,0.09149479866027832
76,0.33899528,0.5397977,"('secure', 'insecure')",-0.761703,-0.53449583,-0.3842275,0.030869126,-0.57407767,-0.7807178,-0.34525322914123535,-0.18613669276237488,0.15911653637886047
87,-0.3362255,-0.6103896,"('dedicated', 'undedicated')",-1.5366907,-1.227913,-1.3853477,-1.4120058,-1.2074478,-0.93807787,-1.1164278984069824,-1.047096610069275,0.06933128833770752
73,-0.33466893,-0.5307286,"('brilliant', 'incompetent')",-1.9734893,-2.2427495,0.13757253,-0.0800339,-1.4429214,-1.7343333,-0.9033767580986023,-1.1469612121582031,-0.24358445405960083
30,-0.33326155,-0.11795327,"('honest', 'dishonest')",-1.1468859,-0.916372,-1.5715175,-1.6089077,-0.5822673,-0.53419614,-0.9084830284118652,-0.7943572402000427,0.11412578821182251
81,0.31263837,-0.37648344,"('industrious', 'lazy')",2.6868715,2.4653378,1.1508373,0.8324736,3.092925,3.049364,1.810818076133728,1.4926729202270508,-0.31814515590667725
0,0.2952972,0.57551885,"('sociable', 'unsociable')",-1.2008522,-0.79460233,-0.19430423,0.21850747,-1.0946066,-0.8069323,-0.5486164689064026,-0.20187707245349884,0.34673939645290375
20,0.28565505,0.47679117,"('popular', 'unpopular')",-0.14755212,-0.1409136,-0.035845406,-0.20082489,0.62194026,0.7755689,0.18104945123195648,0.22765539586544037,0.04660594463348389
98,-0.28071016,-0.36196822,"('prestigious', 'insignificant')",-0.16061237,-0.2903478,-1.0710076,-1.416075,0.37880275,0.17812462,-0.283381849527359,-0.4725666046142578,-0.1891847550868988
9,-0.27780896,-0.25637,"('sensitive', 'insensitive')",-1.2602549,-1.3189692,-0.51400375,-0.43757707,-0.8947145,-0.96035516,-0.7366955280303955,-0.7433178424835205,-0.006622314453125
96,0.27206737,0.23333593,"('powerful', 'powerless')",0.22954178,0.39549822,1.6995502,1.6951721,0.09631334,0.1940434,0.5743681192398071,0.629512369632721,0.05514425039291382
93,-0.2713802,-0.037420154,"('dominating', 'dominated')",-0.13317555,-0.020570159,1.3259864,1.607507,-0.28233838,-0.27320665,0.1597730666399002,0.3190774917602539,0.1593044251203537
31,0.26920128,0.035938993,"('altruistic', 'egoistic')",-0.57858217,-0.5834407,-0.6022098,-0.7353118,0.1868754,0.19459361,-0.18117882311344147,-0.2720549702644348,-0.09087614715099335
72,-0.26334783,0.12454778,"('logical', 'illogical')",-1.3066187,-1.162188,-2.088004,-1.9749874,-0.6497364,-0.59808254,-1.0769267082214355,-0.9026775360107422,0.17424917221069336
89,0.25802112,0.41075107,"('daring', 'anxious')",-0.51452935,-0.6384046,-0.92452294,-0.85655177,-0.787527,-0.85598546,-0.4921395778656006,-0.48504769802093506,0.007091879844665527
34,-0.24261127,0.13552214,"('loyal', 'disloyal')",-1.4885316,-1.2581139,-1.7068768,-1.3924224,-2.0909655,-2.0151129,-1.3822462558746338,-1.132531762123108,0.24971449375152588
69,0.22898436,0.25282115,"('wise', 'foolish')",0.1245002,0.2212955,-0.6729833,-0.9875402,0.67148566,0.62631965,0.08799673616886139,0.028224021196365356,-0.05977271497249603
55,0.22741854,0.15669534,"('intelligent', 'unintelligent')",-0.40794873,-0.2816605,-0.23286712,0.08165854,-0.9091065,-0.8701321,-0.3306259512901306,-0.2283596694469452,0.10226628184318542
7,0.2016095,-0.009462938,"('outgoing', 'distant')",1.1658508,0.795208,-0.88669884,-1.2293333,1.68505,1.5249848,0.5414528846740723,0.2703491449356079,-0.27110373973846436
23,0.20151766,0.028829351,"('hospitable', 'inhospitable')",0.6540009,0.37159202,-0.26044792,-0.5826237,0.8027781,0.73116386,0.3494621813297272,0.13724038004875183,-0.21222180128097534
29,-0.19874784,-0.5007307,"('honest', 'immoral')",-2.141028,-1.9384382,-2.492492,-2.3022342,-2.1101685,-2.0169768,-1.7356090545654297,-1.6895949840545654,0.04601407051086426
91,0.18731353,0.07015597,"('resilient', 'nonresilient')",0.06667578,-0.088091135,0.63446367,0.73370516,0.00049743056,-0.013999596,0.22223761677742004,0.17544260621070862,-0.046795010566711426
62,0.1782762,0.4391576,"('creative', 'uncreative')",-1.2084829,-1.2416365,-2.2511616,-2.446728,-0.25644666,-0.28841463,-0.8844537138938904,-0.8844054341316223,4.8279762268066406e-05
36,0.17512953,0.1359788,"('tolerant', 'intolerant')",-1.3848639,-1.3508128,-0.61836326,-0.68739563,-1.7040005,-1.8143809,-0.8830245137214661,-0.9291526079177856,-0.04612809419631958
83,-0.15604004,0.13764527,"('energetic', 'lethargic')",-1.344444,-1.3169491,-0.78670347,-0.7935468,-0.9085929,-0.89054704,-0.7989451289176941,-0.7158493995666504,0.0830957293510437
99,-0.1330573,-0.22735107,"('prestigious', 'insignificant')",0.5634799,0.47224465,-0.7048128,-1.1830682,0.9355813,0.96288913,0.16529777646064758,0.006178632378578186,-0.1591191440820694
43,-0.13022938,-0.38655525,"('genuine', 'fake')",-0.43541825,-0.45702985,0.49274534,0.51856124,-1.06055,-1.0976584,-0.2833630442619324,-0.3556705713272095,-0.0723075270652771
2,-0.11901344,0.07662064,"('friendly', 'unfriendly')",-1.5162221,-1.2417101,0.10653454,0.399545,-1.0227895,-0.9996122,-0.6378726363182068,-0.44128912687301636,0.19658350944519043
12,-0.109987095,0.35082942,"('sympathetic', 'unsympathetic')",-2.3745077,-2.1522553,-0.79287094,-0.35618746,-2.123434,-2.132185,-1.3501999378204346,-1.0724495649337769,0.2777503728866577
92,0.10811356,0.4002052,"('unwavering', 'wavering')",0.41043442,0.19152169,-1.371525,-1.4627593,0.24297449,0.20194916,-0.15250062942504883,-0.16727079451084137,-0.014770165085792542
59,-0.09656206,-0.2675302,"('skillful', 'clumsy')",0.42438394,0.457255,0.059923977,-0.009785771,0.8326459,0.8739555,0.30509793758392334,0.26347362995147705,-0.04162430763244629
47,0.09390764,0.512899,"('forgiving', 'unforgiving')",-0.38095683,-0.14821336,-0.74930066,-0.5109968,-0.6703838,-0.48602256,-0.4266833961009979,-0.15808343887329102,0.2685999572277069
4,0.087519884,-0.20142075,"('likable', 'unlikable')",-0.8078537,-0.83326316,-0.74760413,-1.01613,0.18331185,0.0067017227,-0.3211565315723419,-0.5110280513763428,-0.18987151980400085
52,-0.08171907,0.02919507,"('competitive', 'uncompetitive')",-1.4592249,-1.3129916,-0.019819617,0.035560608,-0.60043335,-0.6387918,-0.5402992367744446,-0.4717569351196289,0.06854230165481567
100,-0.06499922,0.21118233,"('influential', 'uninfluential')",-1.1529554,-0.9628501,-0.7749443,-0.5667411,-1.1159204,-0.8411723,-0.7772048711776733,-0.5398952960968018,0.23730957508087158
97,-0.055556387,-0.194513,"('superior', 'inferior')",-0.37680084,-0.29770994,-0.8253244,-0.8584398,-0.43974176,-0.50612843,-0.4243558347225189,-0.4641977846622467,-0.03984194993972778
58,-0.055384174,0.2413643,"('able', 'clumsy')",-1.7822595,-1.4934201,-1.5622277,-1.5301608,-2.141099,-2.1409273,-1.3852425813674927,-1.2307859659194946,0.15445661544799805
82,0.05349028,-0.514675,"('industrious', 'meek')",1.4276853,1.4357574,0.93378353,0.7895844,2.0593755,2.0673676,1.1185836791992188,0.9445085525512695,-0.17407512664794922
24,-0.052520186,-0.13662304,"('thoughtful', 'rough')",-0.9299782,-0.7012042,-0.23848522,-0.14970952,-0.75384545,-0.7211248,-0.4937072694301605,-0.4271653890609741,0.0665418803691864
39,0.046709493,-0.13124117,"('right', 'wrong')",0.3053809,0.28617004,0.75070196,0.51270443,0.7154284,0.9561181,0.4545552134513855,0.4059378504753113,-0.04861736297607422
64,-0.03582427,-0.07453418,"('clever', 'incompetent')",-1.8874316,-1.7763953,-0.2842232,-0.120973915,-1.3941705,-1.4048599,-0.900412380695343,-0.8441908359527588,0.05622154474258423
19,-0.020999074,0.07251829,"('funny', 'boring')",0.23116416,0.26845172,0.20886248,0.038226932,0.18283764,0.34498385,0.15046629309654236,0.18104520440101624,0.030578911304473877
65,0.019902442,-0.33234227,"('practical', 'impractical')",-1.7163599,-1.6003369,-0.5269672,-0.39912766,-1.7007239,-1.7657943,-0.9810371398925781,-1.024400234222412,-0.043363094329833984
57,0.011921942,-0.24261633,"('able', 'unable')",-0.09373465,-0.22763538,0.14282426,-0.0006297827,0.01818423,-0.32040945,0.019798945635557175,-0.19782273471355438,-0.21762168034911156
49,-0.010244608,-0.11259806,"('responsible', 'irresponsible')",-1.5768903,-1.5474977,-0.61115694,-0.70318985,-1.4354388,-1.5610198,-0.9084326028823853,-0.9810763597488403,-0.07264375686645508
