,hillshire_male,hillshire_female,tuple,brands_male,brands_female,average_male,average_female,female-male
44,-1.1353407,-1.024928,"('truthful', 'untruthful')",-1.0456365,-1.1038735,-1.0904886722564697,-1.0644006729125977,0.02608799934387207
58,-1.0324749,-1.048959,"('able', 'clumsy')",-1.5556748,-1.3350875,-1.2940747737884521,-1.1920232772827148,0.1020514965057373
43,-1.0223793,-1.0480063,"('genuine', 'fake')",-0.68500185,-0.6833764,-0.8536905646324158,-0.8656913042068481,-0.012000739574432373
90,0.9595921,0.80984676,"('motivated', 'unmotivated')",0.9313622,0.769919,0.9454771280288696,0.7898828983306885,-0.15559422969818115
105,-0.9214496,-0.78783476,"('conventional', 'modern')",-1.0275881,-1.0367632,-0.974518895149231,-0.9122989773750305,0.06221991777420044
78,0.8566288,0.8114176,"('active', 'inactive')",1.6156986,1.0228752,1.23616361618042,0.9171463847160339,-0.319017231464386
62,-0.84069526,-0.45287892,"('creative', 'uncreative')",-0.9551126,-1.1584728,-0.8979039192199707,-0.8056758642196655,0.09222805500030518
30,-0.834252,-0.8535775,"('honest', 'dishonest')",-0.7107812,-0.717477,-0.7725166082382202,-0.785527229309082,-0.013010621070861816
68,-0.8284196,-0.9983298,"('clever', 'inept')",-1.1548022,-1.4061495,-0.9916108846664429,-1.2022396326065063,-0.21062874794006348
32,-0.80337286,-0.7775488,"('benevolent', 'hardhearted')",-1.5679216,-1.4310837,-1.1856472492218018,-1.104316234588623,0.08133101463317871
16,0.796398,0.3232589,"('social', 'antisocial')",0.3954144,0.48089787,0.5959061980247498,0.40207839012145996,-0.1938278079032898
86,0.7959417,0.7401779,"('self-reliant', 'helpless')",3.2539961,3.0132523,2.0249688625335693,1.876715064048767,-0.14825379848480225
104,-0.75242263,-0.3736423,"('conventional', 'unconventional')",-1.0287832,-0.7899064,-0.8906029462814331,-0.5817743539810181,0.30882859230041504
48,0.7465963,0.56772524,"('reliable', 'unreliable')",2.9743083,2.6920805,1.8604522943496704,1.6299028396606445,-0.23054945468902588
15,0.7147941,0.5009384,"('polite', 'impolite')",0.6085446,0.74417776,0.6616693735122681,0.6225581169128418,-0.03911125659942627
94,0.69653517,0.42774168,"('aggressive', 'submissive')",0.90456104,1.133668,0.8005480766296387,0.7807047963142395,-0.01984328031539917
64,0.6762195,0.30013418,"('clever', 'incompetent')",-0.9059556,-0.8795094,-0.11486804485321045,-0.2896876037120819,-0.17481955885887146
109,0.6749891,0.30284148,"('conservative', 'liberal')",0.69668734,0.5344842,0.6858382225036621,0.4186628460884094,-0.2671753764152527
108,0.6749891,0.30284148,"('conservative', 'liberal')",0.69668734,0.5344842,0.6858382225036621,0.4186628460884094,-0.2671753764152527
82,0.6685342,0.9651169,"('industrious', 'meek')",0.56828165,0.55896956,0.6184079647064209,0.7620432376861572,0.14363527297973633
38,-0.66293216,-0.64485735,"('kind', 'unkind')",-2.067081,-1.840206,-1.3650065660476685,-1.242531657218933,0.12247490882873535
13,-0.6311123,-0.94413555,"('helpful', 'unhelpful')",-2.7866843,-2.7949538,-1.7088983058929443,-1.8695447444915771,-0.1606464385986328
23,0.6284067,0.6565479,"('hospitable', 'inhospitable')",0.65100706,0.47756082,0.6397068500518799,0.5670543909072876,-0.07265245914459229
18,0.61422765,0.28307164,"('social', 'asocial')",-0.23698005,-0.026392125,0.1886238008737564,0.1283397525548935,-0.060284048318862915
66,0.5954981,0.6914537,"('imaginative', 'unimaginative')",2.6981292,2.6370654,1.6468136310577393,1.6642595529556274,0.017445921897888184
74,-0.58988816,-0.8211472,"('insightful', 'unperceptive')",-1.0899773,-1.5052136,-0.8399326801300049,-1.1631803512573242,-0.32324767112731934
37,0.5881915,0.9501473,"('good', 'evil')",2.054334,1.8022245,1.3212627172470093,1.3761858940124512,0.054923176765441895
99,-0.5783757,-0.12952289,"('prestigious', 'insignificant')",-1.0370398,-1.039835,-0.8077077269554138,-0.5846789479255676,0.2230287790298462
57,0.5713111,0.3763469,"('able', 'unable')",-0.20974201,-0.44165844,0.18078455328941345,-0.03265577554702759,-0.21344032883644104
7,0.5642197,0.6589845,"('outgoing', 'distant')",0.8267393,0.25108537,0.6954795122146606,0.45503491163253784,-0.2404446005821228
54,0.5389308,0.45420906,"('smart', 'stupid')",0.29964635,0.02021259,0.4192885756492615,0.23721082508563995,-0.18207775056362152
47,-0.51836216,-0.6421958,"('forgiving', 'unforgiving')",-0.7952581,-0.70522314,-0.6568101644515991,-0.673709511756897,-0.01689934730529785
80,0.51592195,0.38165385,"('independent', 'dependent')",0.7578194,0.46359006,0.6368706822395325,0.4226219654083252,-0.21424871683120728
81,0.49805278,0.598767,"('industrious', 'lazy')",1.7018545,1.432023,1.0999536514282227,1.0153950452804565,-0.08455860614776611
92,-0.49617282,-0.056757465,"('unwavering', 'wavering')",0.023409039,-0.17221849,-0.2363818883895874,-0.11448797583580017,0.12189391255378723
20,-0.4906909,0.098164715,"('popular', 'unpopular')",-0.26260996,-0.3263086,-0.3766504228115082,-0.11407195031642914,0.26257847249507904
87,-0.4815639,-0.5928202,"('dedicated', 'undedicated')",-1.4560244,-1.339778,-0.9687941670417786,-0.9662990570068359,0.002495110034942627
73,0.48115608,-0.17517927,"('brilliant', 'incompetent')",-0.9730207,-1.1322204,-0.24593229591846466,-0.6536998152732849,-0.40776751935482025
26,-0.48050582,-0.62635064,"('trustworthy', 'untrustworthy')",0.87704414,0.6954516,0.19826915860176086,0.034550487995147705,-0.16371867060661316
10,-0.46774375,-0.21143445,"('affectionate', 'unaffectionate')",-1.0204144,-0.90321386,-0.744079053401947,-0.5573241710662842,0.18675488233566284
102,0.4629426,0.46884093,"('eminent', 'low')",-1.1150723,-1.0758249,-0.3260648250579834,-0.3034919500350952,0.022572875022888184
8,0.46000022,0.6775274,"('open', 'distant')",0.4102513,-0.062788844,0.43512576818466187,0.30736929178237915,-0.12775647640228271
69,-0.45316905,-0.28336164,"('wise', 'foolish')",-0.006576717,-0.05290772,-0.22987288236618042,-0.1681346893310547,0.06173819303512573
106,0.45240894,0.47699773,"('conventional', 'unconventional')",-0.5510607,-0.31283647,-0.04932586848735809,0.08208063244819641,0.1314065009355545
97,0.45143282,0.4300419,"('superior', 'inferior')",-0.930251,-0.920183,-0.23940908908843994,-0.24507054686546326,-0.005661457777023315
14,0.44798452,0.27077,"('supportive', 'unsupportive')",0.80641186,0.63992786,0.6271982192993164,0.455348938703537,-0.17184928059577942
88,-0.44422534,-0.12544268,"('impulsive', 'meek')",1.2984375,1.1836932,0.4271060824394226,0.5291252136230469,0.10201913118362427
9,-0.42174706,-0.73648864,"('sensitive', 'insensitive')",-0.8120123,-1.0621495,-0.6168797016143799,-0.899319052696228,-0.28243935108184814
84,-0.41674876,-0.31531128,"('self-confident', 'diffident')",-0.4988926,-0.7638631,-0.45782068371772766,-0.5395871996879578,-0.0817665159702301
98,-0.40927052,-0.18664967,"('prestigious', 'insignificant')",-0.6287781,-0.6678305,-0.5190243124961853,-0.4272401034832001,0.09178420901298523
110,-0.40693453,-0.47109294,"('narrow-minded', 'open-minded')",0.4669041,0.5492246,0.029984787106513977,0.03906583786010742,0.009081050753593445
72,-0.40629977,-0.37937075,"('logical', 'illogical')",-0.8272003,-0.7134589,-0.6167500019073486,-0.546414852142334,0.07033514976501465
33,-0.40192595,-0.44629496,"('softhearted', 'hardhearted')",-1.6031294,-1.4725528,-1.0025277137756348,-0.9594238996505737,0.043103814125061035
29,-0.39876488,-0.43215325,"('honest', 'immoral')",-1.2569898,-1.2911563,-0.8278773427009583,-0.8616547584533691,-0.03377741575241089
5,0.38120496,0.14742059,"('pleasant', 'repellent')",0.4133092,0.2989989,0.39725708961486816,0.22320973873138428,-0.1740473508834839
3,0.37634408,0.49849966,"('likable', 'unlikable')",1.7352214,1.5954614,1.0557827949523926,1.0469805002212524,-0.008802294731140137
65,-0.3730236,-0.71223545,"('practical', 'impractical')",-1.1058087,-1.078631,-0.7394161820411682,-0.895433247089386,-0.15601706504821777
79,0.35007387,0.29901797,"('determined', 'doubtful')",0.17184441,0.24215461,0.2609591484069824,0.2705862820148468,0.00962713360786438
83,-0.34870774,-0.6660003,"('energetic', 'lethargic')",-0.27545017,-0.44629043,-0.31207895278930664,-0.5561453700065613,-0.24406641721725464
4,-0.34246093,-0.4725019,"('likable', 'unlikable')",-0.666726,-0.75186735,-0.5045934915542603,-0.6121846437454224,-0.10759115219116211
85,-0.3385563,-0.32625967,"('ambitious', 'unambitious')",-0.1612534,-0.051787317,-0.2499048411846161,-0.18902349472045898,0.060881346464157104
25,0.33250508,-0.07698972,"('moral', 'immoral')",-0.36253908,-0.3746986,-0.015017002820968628,-0.22584415972232819,-0.21082715690135956
60,0.33074218,0.28549945,"('educated', 'uneducated')",-0.5951277,-0.34269732,-0.13219276070594788,-0.028598934412002563,0.10359382629394531
36,-0.31865507,-0.7475175,"('tolerant', 'intolerant')",-1.1300046,-1.1636031,-0.7243298292160034,-0.9555603265762329,-0.2312304973602295
12,-0.31180674,-0.4547374,"('sympathetic', 'unsympathetic')",-1.3808513,-1.1635431,-0.8463289737701416,-0.8091402649879456,0.037188708782196045
63,-0.30890614,-0.18830301,"('capable', 'incapable')",-1.2168884,-1.258724,-0.762897253036499,-0.7235134840011597,0.039383769035339355
96,0.2998919,0.19586453,"('powerful', 'powerless')",-0.65578264,-0.42257354,-0.17794537544250488,-0.11335450410842896,0.06459087133407593
31,-0.29406095,-0.049553245,"('altruistic', 'egoistic')",-0.6092651,-0.5158224,-0.4516630172729492,-0.28268784284591675,0.16897517442703247
91,0.29305422,0.4321308,"('resilient', 'nonresilient')",-0.311144,-0.34847134,-0.009044885635375977,0.04182973504066467,0.05087462067604065
67,-0.28652912,-0.44018412,"('discriminating', 'undiscriminating')",-1.1336383,-1.2484097,-0.7100837230682373,-0.844296932220459,-0.13421320915222168
2,0.28453243,-0.088782385,"('friendly', 'unfriendly')",-0.67582643,-0.4188184,-0.1956470012664795,-0.2538003921508789,-0.058153390884399414
56,-0.27759063,-0.324383,"('intelligent', 'dumb')",1.0626276,0.9946784,0.39251846075057983,0.3351476788520813,-0.057370781898498535
61,0.259489,0.67745435,"('rational', 'irrational')",0.4428974,0.6992283,0.3511931896209717,0.6883413195610046,0.33714812994003296
42,0.2511134,0.7439597,"('amicable', 'hostile')",0.7271538,0.77348936,0.4891335964202881,0.758724570274353,0.26959097385406494
45,0.24678949,-0.26506856,"('cooperative', 'exploitative')",-0.43129134,-0.3694068,-0.09225092828273773,-0.3172376751899719,-0.2249867469072342
41,-0.24602169,0.26438808,"('incorrupt', 'corrupt')",1.1654556,1.2876594,0.45971694588661194,0.7760237455368042,0.31630679965019226
89,0.24095173,-0.071190916,"('daring', 'anxious')",-0.44257948,-0.5971991,-0.10081387311220169,-0.33419498801231384,-0.23338111490011215
46,0.23885843,0.39306659,"('generous', 'stingy')",1.8724949,1.8934252,1.0556766986846924,1.1432459354400635,0.0875692367553711
70,0.22988896,0.4584077,"('wise', 'unwise')",0.6714643,0.6634088,0.45067664980888367,0.5609082579612732,0.11023160815238953
71,0.21934003,-0.38743436,"('efficient', 'inefficient')",-0.7052022,-0.9471908,-0.24293109774589539,-0.6673126220703125,-0.4243815243244171
0,0.21925241,0.13793202,"('sociable', 'unsociable')",-0.43011144,-0.3182998,-0.1054295152425766,-0.09018389135599136,0.015245623886585236
51,-0.21293789,-0.3897873,"('competent', 'incompetent')",-0.15688622,-0.23622917,-0.1849120557308197,-0.31300821900367737,-0.12809616327285767
52,0.17313427,-0.20908032,"('competitive', 'uncompetitive')",-0.59792525,-0.5246098,-0.21239548921585083,-0.3668450713157654,-0.15444958209991455
49,-0.1721335,-0.5479866,"('responsible', 'irresponsible')",-1.5336701,-1.8523724,-0.852901816368103,-1.2001795768737793,-0.34727776050567627
59,0.16495393,0.34552062,"('skillful', 'clumsy')",0.18242249,0.124936685,0.17368820309638977,0.23522865772247314,0.061540454626083374
24,0.12407747,0.046493232,"('thoughtful', 'rough')",-1.2588966,-1.2555156,-0.5674095749855042,-0.6045111417770386,-0.037101566791534424
100,-0.12016702,-0.03705901,"('influential', 'uninfluential')",-0.75816023,-0.49341136,-0.4391636252403259,-0.26523518562316895,0.17392843961715698
77,0.11726968,0.39882767,"('active', 'inactive')",0.21257743,0.20313832,0.1649235486984253,0.3009830117225647,0.1360594630241394
93,0.107020244,0.021347135,"('dominating', 'dominated')",0.24007225,0.4887038,0.17354625463485718,0.2550254464149475,0.08147919178009033
21,0.08611685,0.042570293,"('nice', 'nasty')",1.0917124,1.0313308,0.5889146327972412,0.5369505882263184,-0.05196404457092285
55,0.07600063,0.1660158,"('intelligent', 'unintelligent')",-0.5553756,-0.42174554,-0.2396874725818634,-0.12786486744880676,0.11182260513305664
19,-0.046255916,0.16464037,"('funny', 'boring')",0.039273858,-0.075547755,-0.003491029143333435,0.044546306133270264,0.0480373352766037
101,-0.041272856,-0.02893854,"('successful', 'unsuccessful')",-1.1254332,-1.1926155,-0.5833530426025391,-0.6107770204544067,-0.027423977851867676
39,-0.03459701,0.055111997,"('right', 'wrong')",-0.23728687,-0.10750392,-0.13594193756580353,-0.026195961982011795,0.10974597558379173
17,0.029048413,0.058035016,"('social', 'antisocial')",-0.12831414,-0.04335469,-0.04963286221027374,0.007340162992477417,0.05697302520275116
107,0.015164018,0.11189927,"('conventional', 'modern')",0.4807641,0.56243074,0.2479640543460846,0.3371649980545044,0.0892009437084198
35,-0.011417344,0.11568878,"('fair', 'unfair')",0.9512622,0.8491137,0.46992242336273193,0.4824012517929077,0.012478828430175781
