,smith_male,smith_female,tuple,international_male,international_female,average_male,average_female,female-male
97,-1.2958094,-0.95868784,"('superior', 'inferior')",-1.2022979,-0.99935764,-1.249053716659546,-0.979022741317749,0.2700309753417969
100,-1.2425809,-0.92152,"('influential', 'uninfluential')",-0.82501674,-0.46806818,-1.0337988138198853,-0.6947940587997437,0.3390047550201416
49,-1.2305775,-0.85973483,"('responsible', 'irresponsible')",-1.7443471,-1.6050742,-1.4874622821807861,-1.2324044704437256,0.25505781173706055
56,1.1521432,1.2538013,"('intelligent', 'dumb')",0.5737123,0.574834,0.8629277944564819,0.9143176674842834,0.051389873027801514
1,-1.1312401,-1.1765437,"('friendly', 'unfriendly')",-1.1255764,-1.0788525,-1.1284081935882568,-1.1276981830596924,0.0007100105285644531
32,-1.1225772,-0.8705962,"('benevolent', 'hardhearted')",-1.9611683,-1.8494701,-1.5418727397918701,-1.3600331544876099,0.18183958530426025
20,1.1041031,1.1364632,"('popular', 'unpopular')",-0.09411006,0.030417264,0.5049965381622314,0.5834401845932007,0.07844364643096924
36,-1.0374141,-0.9803282,"('tolerant', 'intolerant')",-1.4221469,-1.1436408,-1.2297804355621338,-1.0619845390319824,0.16779589653015137
87,-1.0296897,-0.79634607,"('dedicated', 'undedicated')",-1.5840076,-1.4616315,-1.3068486452102661,-1.1289887428283691,0.17785990238189697
12,-1.0191199,-0.7038937,"('sympathetic', 'unsympathetic')",-1.2716076,-0.97232556,-1.1453638076782227,-0.8381096124649048,0.30725419521331787
61,1.0019677,0.909976,"('rational', 'irrational')",1.2416413,1.0383806,1.1218044757843018,0.9741783142089844,-0.14762616157531738
65,-0.99721575,-0.86879605,"('practical', 'impractical')",-2.3834305,-2.0585659,-1.6903231143951416,-1.4636809825897217,0.22664213180541992
44,-0.99353135,-0.9372388,"('truthful', 'untruthful')",-0.91262245,-0.89397854,-0.9530768990516663,-0.9156086444854736,0.03746825456619263
77,0.98047066,0.9425943,"('active', 'inactive')",0.46500355,0.31371045,0.7227370738983154,0.6281523704528809,-0.09458470344543457
38,-0.9804449,-0.61766714,"('kind', 'unkind')",-1.8160008,-1.3723699,-1.3982229232788086,-0.995018482208252,0.40320444107055664
94,0.9348273,1.250533,"('aggressive', 'submissive')",-0.13143872,0.30075985,0.40169429779052734,0.775646448135376,0.37395215034484863
62,-0.9047681,-0.9924754,"('creative', 'uncreative')",-0.098593056,-0.18771952,-0.5016806125640869,-0.5900974273681641,-0.08841681480407715
105,-0.8949101,-0.8773755,"('conventional', 'modern')",1.1424013,1.0702004,0.1237456202507019,0.09641247987747192,-0.02733314037322998
47,-0.87984914,-0.6854867,"('forgiving', 'unforgiving')",-0.67771614,-0.5561573,-0.7787826061248779,-0.6208219528198242,0.1579606533050537
104,-0.8713018,-0.80109125,"('conventional', 'unconventional')",-0.39736626,-0.4205701,-0.6343340277671814,-0.6108306646347046,0.023503363132476807
73,-0.8686061,-1.0230155,"('brilliant', 'incompetent')",-1.6141058,-1.5568221,-1.2413558959960938,-1.2899187803268433,-0.04856288433074951
68,-0.8512262,-1.2624354,"('clever', 'inept')",-1.4584932,-1.5369847,-1.1548597812652588,-1.3997100591659546,-0.2448502779006958
81,0.8481675,0.31924194,"('industrious', 'lazy')",0.8034052,0.49967223,0.8257863521575928,0.40945708751678467,-0.4163292646408081
41,0.8173182,0.87361187,"('incorrupt', 'corrupt')",1.1222132,0.96130174,0.9697657227516174,0.9174568057060242,-0.05230891704559326
7,0.7849557,0.36038202,"('outgoing', 'distant')",0.99279284,0.48027906,0.8888742923736572,0.4203305244445801,-0.46854376792907715
35,0.7587577,1.0766296,"('fair', 'unfair')",0.7962006,0.9641938,0.7774791717529297,1.020411729812622,0.24293255805969238
24,-0.75205636,-0.91149575,"('thoughtful', 'rough')",-1.3453565,-1.2281961,-1.0487064123153687,-1.0698459148406982,-0.02113950252532959
43,-0.7307244,-0.7287851,"('genuine', 'fake')",-0.114418864,-0.1124223,-0.4225716292858124,-0.4206036925315857,0.0019679367542266846
83,-0.7250044,-0.2897071,"('energetic', 'lethargic')",-0.89610374,-0.7211351,-0.810554027557373,-0.5054211020469666,0.3051329255104065
9,-0.68455845,-0.48858425,"('sensitive', 'insensitive')",-1.1136655,-0.8509408,-0.8991119861602783,-0.6697625517845154,0.22934943437576294
30,-0.6745337,-0.31733486,"('honest', 'dishonest')",-1.0175533,-0.7693776,-0.8460435271263123,-0.5433562397956848,0.30268728733062744
42,0.66857564,0.41154385,"('amicable', 'hostile')",0.34724063,0.20905173,0.5079081058502197,0.31029778718948364,-0.19761031866073608
103,0.65523094,0.560349,"('traditional', 'modern')",1.0115128,1.1095326,0.8333718776702881,0.8349407911300659,0.001568913459777832
2,-0.6464242,-0.22981757,"('friendly', 'unfriendly')",-1.4845258,-1.0125425,-1.0654749870300293,-0.6211800575256348,0.44429492950439453
57,0.5903346,0.45671964,"('able', 'unable')",-0.80721974,-0.8104011,-0.10844257473945618,-0.17684072256088257,-0.06839814782142639
82,0.57678,0.25374258,"('industrious', 'meek')",0.40768737,0.374795,0.4922336935997009,0.3142687678337097,-0.1779649257659912
14,0.5655743,0.6438923,"('supportive', 'unsupportive')",0.025962263,0.073874116,0.29576826095581055,0.35888320207595825,0.0631149411201477
16,0.5532893,0.871504,"('social', 'antisocial')",-0.59562755,-0.26417544,-0.02116912603378296,0.30366426706314087,0.32483339309692383
10,-0.50005716,-0.44141415,"('affectionate', 'unaffectionate')",-0.20973197,-0.30440617,-0.35489457845687866,-0.37291014194488525,-0.018015563488006592
59,0.49863774,0.46836287,"('skillful', 'clumsy')",-0.2745158,-0.1149542,0.11206096410751343,0.17670433223247528,0.06464336812496185
93,-0.48454478,-0.10337728,"('dominating', 'dominated')",-0.5671986,-0.32848465,-0.5258716940879822,-0.2159309685230255,0.30994072556495667
72,-0.46856648,-0.04900995,"('logical', 'illogical')",-0.45527747,-0.2069935,-0.4619219899177551,-0.12800171971321106,0.33392027020454407
23,0.46726164,0.0873746,"('hospitable', 'inhospitable')",0.6887044,0.4909879,0.577983021736145,0.2891812324523926,-0.28880178928375244
8,0.45470902,0.012094498,"('open', 'distant')",0.50583357,-0.00076802075,0.48027127981185913,0.00566323846578598,-0.47460804134607315
55,-0.44897944,-0.31192183,"('intelligent', 'unintelligent')",-1.1294755,-0.8415381,-0.7892274856567383,-0.576729953289032,0.2124975323677063
51,-0.43958914,0.010731161,"('competent', 'incompetent')",-0.8389757,-0.6886757,-0.6392824649810791,-0.338972270488739,0.3003101944923401
18,-0.43947893,-0.2822433,"('social', 'asocial')",-0.7477702,-0.55296695,-0.5936245918273926,-0.41760513186454773,0.17601945996284485
74,-0.4345495,-0.28739923,"('insightful', 'unperceptive')",-1.8090441,-1.6322012,-1.1217968463897705,-0.9598002433776855,0.16199660301208496
21,0.41871727,0.39938855,"('nice', 'nasty')",1.0501921,1.0101808,0.7344546914100647,0.7047846913337708,-0.029670000076293945
109,0.40033317,0.46133354,"('conservative', 'liberal')",-0.34464288,-0.07558623,0.027845144271850586,0.19287365674972534,0.16502851247787476
108,0.40033317,0.46133354,"('conservative', 'liberal')",-0.34464288,-0.07558623,0.027845144271850586,0.19287365674972534,0.16502851247787476
85,-0.3977335,-0.35143483,"('ambitious', 'unambitious')",0.21648605,0.21595848,-0.09062372893095016,-0.06773817539215088,0.022885553538799286
106,0.3842038,0.4398322,"('conventional', 'unconventional')",-0.23191574,-0.030936249,0.0761440247297287,0.20444798469543457,0.12830395996570587
110,-0.38154483,-0.4634213,"('narrow-minded', 'open-minded')",0.9867214,0.7465326,0.3025882840156555,0.14155566692352295,-0.16103261709213257
64,-0.3796301,-0.27854222,"('clever', 'incompetent')",-0.85765785,-0.55732083,-0.6186439990997314,-0.41793152689933777,0.20071247220039368
54,0.37706506,-0.15379125,"('smart', 'stupid')",0.86132634,0.65840745,0.6191956996917725,0.25230810046195984,-0.3668875992298126
107,0.37601703,0.8803044,"('conventional', 'modern')",1.7484398,2.117013,1.0622284412384033,1.4986586570739746,0.4364302158355713
63,-0.3746008,-0.7511612,"('capable', 'incapable')",-1.3205578,-1.2962096,-0.847579300403595,-1.0236854553222656,-0.17610615491867065
76,0.36157212,0.6719162,"('secure', 'insecure')",-1.1052368,-0.76828873,-0.37183231115341187,-0.048186272382736206,0.32364603877067566
52,-0.33670467,0.2258575,"('competitive', 'uncompetitive')",-0.823648,-0.44145668,-0.5801763534545898,-0.10779958963394165,0.4723767638206482
102,0.3289208,0.17789286,"('eminent', 'low')",-1.8707274,-1.5728991,-0.7709032893180847,-0.6975030899047852,0.07340019941329956
60,-0.32706985,-0.2974773,"('educated', 'uneducated')",-1.350304,-0.994953,-0.8386869430541992,-0.6462151408195496,0.19247180223464966
98,-0.3137863,-0.67274976,"('prestigious', 'insignificant')",-0.04390247,-0.36697432,-0.1788443922996521,-0.5198620557785034,-0.3410176634788513
45,-0.2885033,-0.6449347,"('cooperative', 'exploitative')",-1.4416611,-1.3255475,-0.8650822043418884,-0.9852410554885864,-0.120158851146698
99,0.269428,-0.19861227,"('prestigious', 'insignificant')",-0.7292119,-1.0639325,-0.22989195585250854,-0.6312724351882935,-0.4013804793357849
84,-0.26343793,-0.27485287,"('self-confident', 'diffident')",-0.5107722,-0.52280045,-0.3871050775051117,-0.3988266587257385,-0.011721581220626831
90,0.2527956,-0.2641275,"('motivated', 'unmotivated')",0.106437355,0.17302895,0.17961648106575012,-0.04554927349090576,-0.22516575455665588
4,0.2420659,-0.13963199,"('likable', 'unlikable')",-0.82478666,-0.8439507,-0.29136037826538086,-0.49179133772850037,-0.2004309594631195
31,-0.23109171,-0.60003984,"('altruistic', 'egoistic')",0.18531752,0.2359178,-0.02288709580898285,-0.18206101655960083,-0.15917392075061798
17,-0.16935712,0.06647915,"('social', 'antisocial')",0.03538558,0.2455725,-0.06698577105998993,0.15602582693099976,0.22301159799098969
33,-0.16449916,-0.13053662,"('softhearted', 'hardhearted')",-0.67043316,-0.6018776,-0.4174661636352539,-0.3662071228027344,0.05125904083251953
79,-0.15040243,-0.12546115,"('determined', 'doubtful')",-0.31663656,-0.18557051,-0.23351949453353882,-0.15551581978797913,0.07800367474555969
101,-0.13150847,0.13187441,"('successful', 'unsuccessful')",-1.7151933,-1.4365993,-0.9233508706092834,-0.6523624062538147,0.27098846435546875
69,-0.1287266,-0.18802792,"('wise', 'foolish')",0.10337828,-0.035898,-0.012674160301685333,-0.11196295917034149,-0.09928879886865616
89,-0.112623274,0.05541581,"('daring', 'anxious')",-1.4468725,-1.3584311,-0.7797478437423706,-0.6515076160430908,0.12824022769927979
26,0.11156115,0.30376655,"('trustworthy', 'untrustworthy')",-0.26996118,-0.11237903,-0.07920001447200775,0.09569375962018967,0.17489377409219742
71,0.10973337,0.16830444,"('efficient', 'inefficient')",-1.0418648,-0.70072407,-0.4660657048225403,-0.26620981097221375,0.19985589385032654
0,-0.10469246,0.3870425,"('sociable', 'unsociable')",-1.2653099,-0.813823,-0.6850011944770813,-0.21339024603366852,0.4716109484434128
19,0.08591324,0.2578221,"('funny', 'boring')",-0.052633524,0.0795832,0.01663985848426819,0.1687026470899582,0.15206278860569
39,0.0687068,-0.1302203,"('right', 'wrong')",0.21793544,0.28164324,0.14332112669944763,0.07571147382259369,-0.06760965287685394
96,0.05815409,0.08229546,"('powerful', 'powerless')",-0.87530464,-0.73072636,-0.40857526659965515,-0.32421544194221497,0.08435982465744019
91,-0.054436114,-0.07072586,"('resilient', 'nonresilient')",-0.559612,-0.4650722,-0.3070240318775177,-0.2678990364074707,0.039124995470047
92,0.051475257,-0.012457028,"('unwavering', 'wavering')",-0.2225452,-0.460274,-0.0855349749326706,-0.23636552691459656,-0.15083055198192596
67,-0.048361488,0.13152653,"('discriminating', 'undiscriminating')",-0.9257226,-0.8969815,-0.48704203963279724,-0.3827274739742279,0.10431456565856934
5,-0.031853467,-0.03891191,"('pleasant', 'repellent')",-0.11495739,-0.03350295,-0.0734054297208786,-0.03620743006467819,0.03719799965620041
25,-0.025263608,-0.40191576,"('moral', 'immoral')",-1.7042415,-1.387457,-0.8647525310516357,-0.8946864008903503,-0.0299338698387146
70,0.0107361525,0.033681333,"('wise', 'unwise')",1.1806103,1.0229962,0.5956732034683228,0.5283387899398804,-0.06733441352844238
15,-0.006861806,0.47499081,"('polite', 'impolite')",-0.56793356,-0.093961895,-0.28739768266677856,0.1905144602060318,0.47791214287281036
