,wachovia_male,wachovia_female,tuple,corp_male,corp_female,2nd_male,2nd_female,new_male,new_female,average_male,average_female,female-male
67,-0.76867473,-0.7442417,"('discriminating', 'undiscriminating')",-0.98974335,-0.78308094,-0.87709385,-0.77046967,0.70384866,0.7983501,-0.48291581869125366,-0.37486058473587036,0.1080552339553833
27,0.7668528,0.62865293,"('sincere', 'insincere')",-6.6364894,-6.431673,-5.225802,-5.2005444,-4.0693674,-4.2187166,-3.79120135307312,-3.805570363998413,-0.014369010925292969
80,0.75710815,0.7504576,"('independent', 'dependent')",0.50642145,0.6569986,0.28888452,0.50337344,0.56695527,0.6444183,0.5298423171043396,0.6388119459152222,0.10896962881088257
66,0.7124499,0.78619134,"('imaginative', 'unimaginative')",3.0494213,3.0358052,1.1385262,1.3092752,0.34587073,0.7209271,1.3115670680999756,1.4630497694015503,0.1514827013015747
1,-0.7013508,-0.4467802,"('friendly', 'unfriendly')",-1.3676949,-1.0302336,-0.83633065,-0.7231469,0.03334117,0.025989413,-0.7180087566375732,-0.5435428619384766,0.17446589469909668
21,0.6770977,0.6829861,"('nice', 'nasty')",0.38468748,0.27212715,0.535727,0.5899762,0.35453856,0.31382322,0.4880127012729645,0.4647281765937805,-0.02328452467918396
38,0.66459525,0.67083657,"('kind', 'unkind')",-2.3757577,-1.9031388,-2.8804402,-2.5547247,-1.1115729,-0.71509457,-1.4257938861846924,-1.1255303621292114,0.30026352405548096
45,0.6628232,0.42094725,"('cooperative', 'exploitative')",-1.1704645,-0.9724724,-0.7026099,-0.8960806,-1.0277846,-0.9165996,-0.5595089197158813,-0.5910513401031494,-0.031542420387268066
33,-0.65061736,-0.5143707,"('softhearted', 'hardhearted')",-1.0268513,-0.9268272,-0.89427304,-0.84936976,-0.62816787,-0.6920396,-0.7999773621559143,-0.7456518411636353,0.05432552099227905
60,0.6132517,0.8277873,"('educated', 'uneducated')",-0.94098175,-0.8681323,-1.6279372,-1.1170733,-0.794942,-0.4889455,-0.6876523494720459,-0.41159093379974365,0.27606141567230225
13,0.60882753,0.675478,"('helpful', 'unhelpful')",-3.0271235,-3.0961032,-2.8483822,-2.8058267,-2.575208,-2.4277782,-1.9604713916778564,-1.913557529449463,0.046913862228393555
40,-0.5919222,-0.73281354,"('honorable', 'mean')",-5.858739,-5.9650583,-3.41042,-3.7716038,-2.9068136,-3.3330858,-3.1919736862182617,-3.4506404399871826,-0.2586667537689209
22,0.5744452,0.4883299,"('welcoming', 'disagreeable')",1.6342537,1.9070294,0.46038863,0.40797824,0.5636344,0.47769773,0.8081805109977722,0.8202588558197021,0.012078344821929932
47,0.5686183,0.44240367,"('forgiving', 'unforgiving')",-0.80979,-0.5174874,-1.2478974,-1.1021192,-0.45840046,-0.068962395,-0.48686739802360535,-0.3115413188934326,0.17532607913017273
102,-0.5606963,-0.4319861,"('eminent', 'low')",-0.53147554,-0.3426346,-1.350732,-0.9229964,-0.2643765,-0.27766025,-0.6768200993537903,-0.49381932616233826,0.18300077319145203
11,-0.5592375,-0.35305098,"('caring', 'unaffectionate')",-1.484493,-1.4917997,-0.7379139,-0.6698575,-0.39734697,-0.45263273,-0.7947478294372559,-0.7418351769447327,0.05291265249252319
81,-0.54638374,-0.6848089,"('industrious', 'lazy')",2.0935724,2.177915,2.6338172,2.4492865,2.0022373,2.030965,1.5458108186721802,1.4933394193649292,-0.05247139930725098
86,-0.52982724,-0.49624497,"('self-reliant', 'helpless')",2.751844,2.6451762,2.4252462,2.204352,1.5905108,1.749958,1.559443473815918,1.5258102416992188,-0.03363323211669922
58,-0.51715815,-0.5148442,"('able', 'clumsy')",-2.2373161,-1.8838849,-2.052034,-1.9146589,-1.5659094,-1.5201012,-1.593104362487793,-1.4583722352981567,0.13473212718963623
77,-0.50292146,-0.42621338,"('active', 'inactive')",1.3215332,1.4822655,0.7507638,0.8745762,0.7132806,0.8810775,0.5706640481948853,0.7029264569282532,0.13226240873336792
55,0.49191448,0.55910844,"('intelligent', 'unintelligent')",-1.5241168,-1.5656445,-0.70106924,-0.53515273,-0.3138889,-0.4464134,-0.5117900967597961,-0.4970255196094513,0.014764577150344849
50,0.4253683,0.31785154,"('unprejudiced', 'prejudiced')",2.2759738,2.2260273,2.5292063,2.2566214,1.2686491,1.0383911,1.624799370765686,1.4597227573394775,-0.1650766134262085
85,0.3701154,0.31173173,"('ambitious', 'unambitious')",-0.31822163,-0.35626906,-0.70790803,-0.56649566,0.013987601,0.106343,-0.16050666570663452,-0.1261724829673767,0.03433418273925781
14,0.3492842,0.45339328,"('supportive', 'unsupportive')",1.4877679,1.4867378,0.60351264,0.56806326,-0.059206426,-0.05194989,0.5953395366668701,0.6140611171722412,0.018721580505371094
106,0.34917438,0.3132556,"('conventional', 'unconventional')",-0.62033725,-0.33703667,0.30052698,0.4758933,1.2797227,0.963664,0.3272716999053955,0.3539440631866455,0.02667236328125
34,0.34258398,0.5178424,"('loyal', 'disloyal')",-2.017921,-1.7827404,-2.1607363,-1.772545,-1.179813,-0.9404594,-1.2539715766906738,-0.9944756031036377,0.25949597358703613
43,0.3417403,0.3826369,"('genuine', 'fake')",-0.23435366,-0.21506564,-0.016410768,-0.014150798,0.3768835,0.38788807,0.11696484684944153,0.13532713055610657,0.01836228370666504
70,-0.33433256,-0.051445127,"('wise', 'unwise')",1.1597657,1.1573492,1.4275861,1.4995828,1.675778,1.6813757,0.9821993112564087,1.0717155933380127,0.089516282081604
37,0.3197207,0.22149843,"('good', 'evil')",1.9438914,2.0353565,2.8831756,2.850427,2.5303283,2.428041,1.9192789793014526,1.8838306665420532,-0.035448312759399414
4,0.30189928,0.03155832,"('likable', 'unlikable')",-0.6973594,-0.49110615,-0.7866617,-0.88743466,0.38617718,0.37986428,-0.19898614287376404,-0.24177955090999603,-0.042793408036231995
44,0.28800964,0.33843336,"('truthful', 'untruthful')",-0.6980455,-0.76625013,-0.6169739,-0.65599054,-0.44683415,-0.3493275,-0.3684609532356262,-0.3582836985588074,0.010177254676818848
56,0.28035152,0.26740593,"('intelligent', 'dumb')",1.6987584,1.7227203,1.0700575,1.1456014,0.690233,1.0119772,0.9348500967025757,1.0369261503219604,0.10207605361938477
63,-0.2629637,-0.17197873,"('capable', 'incapable')",-1.1376256,-1.0196587,-1.1416812,-1.1247224,-0.33474922,-0.53823125,-0.7192549109458923,-0.713647723197937,0.005607187747955322
93,0.24418497,0.14526397,"('dominating', 'dominated')",-0.022973418,-0.17457613,-0.9659008,-0.8071071,-1.2408098,-0.70492834,-0.4963747560977936,-0.38533687591552734,0.11103788018226624
101,-0.2051575,-0.24653022,"('successful', 'unsuccessful')",-1.2861463,-1.4652822,-2.0986416,-1.6911129,-0.6508886,-0.41667444,-1.0602084398269653,-0.9548999071121216,0.10530853271484375
28,0.19003516,0.10952783,"('honest', 'dishonest')",-2.0855794,-2.0146995,-1.7549433,-1.7101041,-1.27389,-0.99179226,-1.2310943603515625,-1.1517670154571533,0.07932734489440918
57,-0.1896646,-0.2706254,"('able', 'unable')",-0.52577424,-0.47968864,-0.40375966,-0.41761425,-0.46497375,-0.62447196,-0.396043062210083,-0.44810009002685547,-0.05205702781677246
35,-0.1863719,-0.1282253,"('fair', 'unfair')",0.6981856,0.740138,0.9868299,1.1683252,0.53877056,0.72886944,0.509353518486023,0.6272768378257751,0.1179233193397522
110,0.17172147,0.058949307,"('narrow-minded', 'open-minded')",0.15512341,0.24599168,0.5652279,0.5331047,-0.38863587,-0.16592145,0.12585923075675964,0.16803106665611267,0.04217183589935303
96,-0.17102066,-0.034096956,"('powerful', 'powerless')",-0.0942453,0.08052668,-0.64848614,-0.5020095,-0.45298013,-0.42514718,-0.3416830599308014,-0.22018173336982727,0.12150132656097412
53,0.14626849,-0.11058144,"('smart', 'stupid')",-4.4504747,-4.3025694,-3.4780521,-3.6007779,-3.3546703,-3.2368484,-2.7842321395874023,-2.8126940727233887,-0.028461933135986328
68,0.13463672,0.0041560903,"('clever', 'inept')",-0.914963,-0.89569235,-0.87577724,-0.88875544,-0.6454199,-0.8717228,-0.5753808617591858,-0.6630036234855652,-0.0876227617263794
105,-0.13277979,-0.18112046,"('conventional', 'modern')",-0.48005888,-0.4712868,0.19926703,0.12360911,0.8306431,0.5736888,0.10426786541938782,0.011222660541534424,-0.0930452048778534
91,0.09653385,0.33907694,"('resilient', 'nonresilient')",-0.1504333,-0.20740606,0.7391863,0.782019,0.2389951,-0.08850193,0.23107048869132996,0.20629699528217316,-0.0247734934091568
31,-0.08892581,-0.11308065,"('altruistic', 'egoistic')",-0.277474,-0.047681987,0.332574,0.4765157,0.63122517,0.40067068,0.14934983849525452,0.1791059374809265,0.029756098985671997
36,0.08658457,-0.048543483,"('tolerant', 'intolerant')",-1.3469197,-1.1648283,-1.2162485,-1.3398196,-0.8488381,-0.593192,-0.8313553929328918,-0.7865958213806152,0.04475957155227661
97,-0.0520328,0.07009666,"('superior', 'inferior')",-1.0777923,-1.0853717,-1.2812881,-1.2325048,-0.99121296,-0.8188501,-0.8505815267562866,-0.7666574716567993,0.0839240550994873
87,0.048701033,-0.081532165,"('dedicated', 'undedicated')",-0.80255353,-0.59696186,-1.4864002,-1.4425482,-0.63571346,-0.37742674,-0.7189915180206299,-0.6246172189712524,0.09437429904937744
95,-0.042510152,-0.19294165,"('rich', 'poor')",-6.034153,-6.116641,-4.316089,-4.452139,-2.7676091,-3.1545284,-3.2900900840759277,-3.479062557220459,-0.18897247314453125
46,0.04184133,0.102246106,"('generous', 'stingy')",2.3762202,2.3003333,1.9633126,2.0249233,0.83456933,0.996935,1.3039859533309937,1.356109380722046,0.052123427391052246
