,norwegian_male,norwegian_female,tuple,cruise_male,cruise_female,line_male,line_female,hldgs_male,hldgs_female,average_male,average_female,female-male
31,-1.2917601,-1.1054126,"('altruistic', 'egoistic')",-0.99695134,-0.8998085,-1.0732982,-0.8542704,-0.15051341,-0.1620205,-0.8781307935714722,-0.755378007888794,0.12275278568267822
80,1.2602413,1.2749152,"('independent', 'dependent')",0.79234457,0.9637982,0.8207694,0.92479825,1.0834194,1.0691241,0.9891936779022217,1.0581589937210083,0.06896531581878662
90,1.2358947,1.0829263,"('motivated', 'unmotivated')",1.2418462,0.9399496,0.8526584,0.7089522,1.1637504,1.1056055,1.123537302017212,0.9593583345413208,-0.1641789674758911
81,1.2213411,1.1689873,"('industrious', 'lazy')",2.0655022,1.511698,0.71795017,0.70421934,0.32247454,0.16110963,1.0818170309066772,0.8865035772323608,-0.1953134536743164
44,-1.2103746,-1.2252828,"('truthful', 'untruthful')",-1.0241739,-0.837632,-0.9490565,-0.8851987,0.58999646,0.49726778,-0.648402214050293,-0.6127114295959473,0.0356907844543457
105,-1.1906826,-1.2041639,"('conventional', 'modern')",-1.0470898,-1.5373812,-0.5716222,-0.6430207,-0.23485696,-0.25044757,-0.7610628604888916,-0.9087533354759216,-0.14769047498703003
92,-1.1793045,-1.0639943,"('unwavering', 'wavering')",0.2868048,0.12359828,0.6358812,0.48450714,0.21380371,-0.00906688,-0.010703697800636292,-0.11623893678188324,-0.10553523898124695
29,-1.146798,-1.3839488,"('honest', 'immoral')",-0.8000046,-0.45034277,-0.678503,-0.911308,0.44043636,0.6005558,-0.5462173223495483,-0.5362609624862671,0.00995635986328125
88,1.0859196,1.2214265,"('impulsive', 'meek')",1.1451898,0.89753664,0.8536992,1.044024,-0.1861842,-0.28538716,0.7246561050415039,0.7194000482559204,-0.005256056785583496
76,1.0827725,0.7733648,"('secure', 'insecure')",0.0533714,0.22797918,0.03422658,0.041058287,0.8892714,0.99472713,0.5149104595184326,0.5092823505401611,-0.005628108978271484
63,-1.0592444,-0.96628904,"('capable', 'incapable')",-2.053676,-1.8375292,-0.42553848,-0.7279589,-0.4182353,-0.4972218,-0.9891735315322876,-1.0072497129440308,-0.018076181411743164
45,-0.9729481,-1.1215196,"('cooperative', 'exploitative')",-0.58192515,-0.5445732,-0.76391274,-1.0307558,-0.3943849,-0.45128614,-0.6782926917076111,-0.7870336174964905,-0.1087409257888794
35,0.9681024,1.1619208,"('fair', 'unfair')",0.65076816,0.5434659,0.35427603,0.49106675,0.5050373,0.612483,0.6195459365844727,0.7022340893745422,0.08268815279006958
98,-0.9534893,-0.7949593,"('prestigious', 'insignificant')",-0.5265477,-0.7103553,-0.12549424,0.048875853,-0.8264519,-1.0404052,-0.6079957485198975,-0.6242109537124634,-0.016215205192565918
62,-0.9183825,-0.8318999,"('creative', 'uncreative')",-1.0232229,-1.2519026,-0.12075508,-0.15917554,-0.08174863,-0.105804525,-0.5360273122787476,-0.587195634841919,-0.05116832256317139
17,0.88598186,1.0567743,"('social', 'antisocial')",-0.37314564,-0.27567482,-0.32010603,-0.12725972,0.039488286,0.33934024,0.058054618537425995,0.24829497933387756,0.19024036079645157
102,-0.8812821,-0.8208686,"('eminent', 'low')",-1.0398439,-0.6581534,-0.23587228,-0.10460034,0.07592109,0.032429546,-0.5202693343162537,-0.3877981901168823,0.13247114419937134
14,0.8792189,0.83065265,"('supportive', 'unsupportive')",0.5002718,0.012724996,0.64251435,0.4874574,0.96047455,0.86595345,0.7456198930740356,0.5491971373558044,-0.1964227557182312
84,-0.87366915,-0.8182961,"('self-confident', 'diffident')",-1.168678,-1.5818546,-0.5493047,-0.6665733,-0.055147514,0.003526017,-0.6616998314857483,-0.7657995223999023,-0.10409969091415405
97,-0.8671923,-0.87417716,"('superior', 'inferior')",-1.0127307,-1.0677903,-0.6257314,-0.4388162,-0.12324299,-0.06406209,-0.6572244167327881,-0.6112114191055298,0.0460129976272583
33,-0.85622483,-0.5727625,"('softhearted', 'hardhearted')",-1.4878784,-1.4863905,-0.32436806,-0.55105126,-0.15269515,-0.1009399,-0.7052916288375854,-0.6777860522270203,0.027505576610565186
71,0.8549712,0.5142914,"('efficient', 'inefficient')",-0.24432814,-0.00025439262,-0.9358876,-1.2896874,0.7341551,0.7234344,0.10222764313220978,-0.013053998351097107,-0.11528164148330688
96,-0.83986986,-0.8653139,"('powerful', 'powerless')",-0.16830376,0.16659246,-0.24058518,0.0004924238,-0.046949506,0.10900138,-0.3239270746707916,-0.147306889295578,0.17662018537521362
15,0.81220424,0.7752144,"('polite', 'impolite')",-0.8890594,-0.5517014,0.004904017,0.09535904,1.1194046,1.3330697,0.2618633508682251,0.4129854142665863,0.1511220633983612
65,-0.7973932,-1.0078309,"('practical', 'impractical')",-1.0320199,-0.8774292,-1.6722934,-1.8572202,-0.5581364,-0.4679333,-1.014960765838623,-1.0526033639907837,-0.037642598152160645
103,0.77468044,0.883131,"('traditional', 'modern')",1.7537128,1.7477767,1.07745,0.9297931,0.46324244,0.6542709,1.0172713994979858,1.0537428855895996,0.03647148609161377
36,-0.76573396,-0.9792893,"('tolerant', 'intolerant')",-1.4888899,-1.1742331,-0.46082562,-0.41501296,0.42518634,0.44816676,-0.5725657939910889,-0.5300921201705933,0.042473673820495605
26,0.7445241,0.60265917,"('trustworthy', 'untrustworthy')",0.24155295,0.3409141,0.099484526,0.12339269,0.09625545,0.16928299,0.2954542636871338,0.30906224250793457,0.013607978820800781
0,0.73753333,0.730003,"('sociable', 'unsociable')",-1.1841384,-0.8738029,0.3034904,0.3047897,0.8572688,0.9974075,0.17853853106498718,0.28959932923316956,0.11106079816818237
22,0.7215681,0.62560755,"('welcoming', 'disagreeable')",-0.45836613,-0.71466124,1.34724,1.1945715,0.48960268,0.23672184,0.5250111818313599,0.3355599343776703,-0.18945124745368958
7,0.64621735,0.5754417,"('outgoing', 'distant')",0.5888209,-0.14862454,1.3011347,1.0283632,0.16559261,-0.09721023,0.6754413843154907,0.3394925594329834,-0.3359488248825073
51,0.64126605,0.62915593,"('competent', 'incompetent')",-0.49582356,-0.565678,0.09740046,-0.0117889345,0.6222771,0.6282562,0.2162800133228302,0.1699863076210022,-0.046293705701828
12,-0.6277535,-0.719239,"('sympathetic', 'unsympathetic')",-1.0046858,-0.70858276,-0.7159894,-0.8284482,1.4381398,1.4532614,-0.2275722324848175,-0.2007521390914917,0.026820093393325806
52,0.6161055,0.567764,"('competitive', 'uncompetitive')",0.29678828,0.49758732,-0.15421546,-0.16158181,1.0125262,1.0754433,0.4428011178970337,0.49480319023132324,0.05200207233428955
82,0.61050814,0.78225327,"('industrious', 'meek')",0.99757105,0.922205,0.8703646,1.0620507,-0.10100269,-0.117150456,0.5943602919578552,0.6623396277427673,0.06797933578491211
93,0.6068132,0.6184467,"('dominating', 'dominated')",0.565508,0.9351546,-0.18805952,0.20757559,0.04288441,0.28075972,0.2567865252494812,0.5104841589927673,0.25369763374328613
68,-0.5892149,-0.6641242,"('clever', 'inept')",-1.00274,-1.1229463,0.048151165,-0.248617,-0.13246705,-0.35818893,-0.41906771063804626,-0.598469078540802,-0.17940136790275574
79,0.56783736,0.51841223,"('determined', 'doubtful')",-0.16448866,0.06171777,-0.37247923,-0.059970513,-0.76353216,-0.6775495,-0.18316566944122314,-0.03934749960899353,0.14381816983222961
24,-0.55553114,-0.6142381,"('thoughtful', 'rough')",-0.31328082,-0.20116222,-0.726405,-0.92569333,0.27535915,0.3849192,-0.32996445894241333,-0.33904361724853516,-0.009079158306121826
87,-0.54869616,-0.45828372,"('dedicated', 'undedicated')",-0.7054739,-0.7338712,-0.6485087,-0.84488,-0.1877126,-0.29427648,-0.5225978493690491,-0.5828278660774231,-0.06023001670837402
19,-0.48955315,-0.3374704,"('funny', 'boring')",-1.1113726,-1.219444,-0.4892264,-0.20943025,-0.46967116,-0.37308428,-0.6399558186531067,-0.5348572134971619,0.10509860515594482
56,0.48658478,0.547781,"('intelligent', 'dumb')",1.5442274,1.6400342,1.0735021,1.1130449,0.25054628,0.19541211,0.838715136051178,0.874068021774292,0.035352885723114014
67,0.48167086,0.39960316,"('discriminating', 'undiscriminating')",-0.4194368,-0.7244292,-0.61421716,-0.46169108,0.18577802,0.10702859,-0.091551274061203,-0.16987213492393494,-0.07832086086273193
20,-0.47437006,-0.27402404,"('popular', 'unpopular')",-0.9360519,-0.8086401,0.06383073,0.38535154,-0.11405514,-0.18200333,-0.36516159772872925,-0.21982897818088531,0.14533261954784393
8,-0.4630256,-0.51956564,"('open', 'distant')",0.4934199,-0.2183266,0.9373671,0.63491607,0.049027197,-0.27384466,0.2541971504688263,-0.09420521557331085,-0.34840236604213715
69,-0.46141833,-0.3785817,"('wise', 'foolish')",-0.48068714,-0.49259743,-0.20642781,0.024536043,-0.7564263,-0.8406074,-0.4762399196624756,-0.42181262373924255,0.05442729592323303
18,-0.44083232,-0.4245593,"('social', 'asocial')",-1.0194275,-0.8058982,-0.76141334,-0.74570054,0.10057706,0.16301517,-0.5302740335464478,-0.45328575372695923,0.07698827981948853
73,0.42823696,0.10504365,"('brilliant', 'incompetent')",-0.9749782,-0.8153994,-0.52348137,-0.7530795,0.06681487,-0.0037240982,-0.25085192918777466,-0.3667898178100586,-0.11593788862228394
39,-0.4219975,-0.2034841,"('right', 'wrong')",-0.5999057,-0.81873035,-0.48504204,-0.21968465,-0.18264788,-0.11275637,-0.42239832878112793,-0.33866384625434875,0.08373448252677917
49,-0.39834732,-0.7423244,"('responsible', 'irresponsible')",-1.883531,-1.7993388,-0.70852596,-0.9044539,0.5063812,0.33813936,-0.6210057139396667,-0.7769944071769714,-0.1559886932373047
55,-0.3972243,-0.42007202,"('intelligent', 'unintelligent')",-1.2918079,-1.1788942,-0.08751854,-0.19367087,1.11191,1.123167,-0.1661601960659027,-0.16736748814582825,-0.0012072920799255371
77,0.3952693,0.51068586,"('active', 'inactive')",0.5063697,0.26405406,1.2323015,1.5514625,0.4424339,0.32338697,0.6440935730934143,0.6623973250389099,0.018303751945495605
47,-0.35176992,-0.329914,"('forgiving', 'unforgiving')",-1.4091548,-1.4158149,-0.88513875,-0.8844483,0.41036534,0.34948575,-0.5589244961738586,-0.5701727867126465,-0.011248290538787842
42,-0.3483237,-0.19191116,"('amicable', 'hostile')",0.5922289,0.050272524,0.46698162,0.6444081,0.6127556,0.5541804,0.3309106230735779,0.2642374634742737,-0.0666731595993042
25,0.32281798,0.26564354,"('moral', 'immoral')",-0.49702185,-0.3058005,-0.96495914,-1.0096582,0.59276056,0.72234684,-0.13660061359405518,-0.08186708390712738,0.054733529686927795
101,0.3109082,0.49841073,"('successful', 'unsuccessful')",-0.7079263,-0.6806553,-0.0036552846,-0.040817052,-0.6649685,-0.5648173,-0.2664104700088501,-0.19696973264217377,0.06944073736667633
54,0.30974787,0.11950777,"('smart', 'stupid')",0.5554843,0.4397706,0.9263029,0.5826006,1.2123425,0.9970784,0.750969409942627,0.5347393751144409,-0.21623003482818604
106,-0.28653127,-0.30295843,"('conventional', 'unconventional')",-0.36177355,-0.37082294,-0.8189738,-0.7556336,0.24034923,0.28813365,-0.3067323565483093,-0.28532034158706665,0.021412014961242676
43,-0.28558463,-0.2957682,"('genuine', 'fake')",-0.5942258,-0.4054368,-0.7554821,-0.69616187,0.44622162,0.46892443,-0.29726773500442505,-0.2321106195449829,0.06515711545944214
70,0.2692265,0.30700186,"('wise', 'unwise')",0.5031731,0.41597894,0.9048085,0.8101088,1.3564423,1.2977619,0.7584125995635986,0.7077128887176514,-0.050699710845947266
72,-0.26038012,-0.14447062,"('logical', 'illogical')",-0.8113551,-0.7473707,-0.41950902,-0.31675667,0.23567882,0.38416415,-0.31389138102531433,-0.2061084657907486,0.10778291523456573
74,-0.25865632,-0.38740253,"('insightful', 'unperceptive')",-0.9514861,-0.85995746,-0.6687807,-0.66089344,-0.132511,-0.24026944,-0.5028585195541382,-0.5371307134628296,-0.034272193908691406
5,0.24575908,0.26627815,"('pleasant', 'repellent')",0.6990812,0.88170564,-0.3004128,-0.44804034,0.52155185,0.582136,0.29149481654167175,0.3205198645591736,0.02902504801750183
85,0.22369903,0.23200905,"('ambitious', 'unambitious')",-0.3687244,-0.024748385,-0.12121993,0.07006645,-0.12734202,-0.13934107,-0.09839683026075363,0.03449651226401329,0.13289334252476692
89,0.21631575,0.06580955,"('daring', 'anxious')",-0.09086235,0.07657263,0.59884125,0.38573104,0.38048935,0.2924962,0.2761960029602051,0.20515236258506775,-0.07104364037513733
83,0.21629792,0.10329449,"('energetic', 'lethargic')",-0.0076574534,0.09196809,-0.58367604,-0.3755234,0.14106639,0.11517592,-0.05849229916930199,-0.01627122238278389,0.0422210767865181
41,-0.19958806,-0.037443817,"('incorrupt', 'corrupt')",1.4626082,1.2775192,0.7998284,0.7651513,-0.11162019,-0.10912031,0.48780709505081177,0.47402656078338623,-0.013780534267425537
2,0.18332034,0.14140642,"('friendly', 'unfriendly')",-0.3476013,0.09401572,-0.016471356,0.0561893,1.3650494,1.520882,0.2960742712020874,0.4531233608722687,0.15704908967018127
60,-0.1575245,0.04745534,"('educated', 'uneducated')",-0.7274457,-0.17089671,0.48484838,0.7809104,0.15839191,0.44801947,-0.06043247506022453,0.27637213468551636,0.3368046097457409
110,-0.1326735,-0.041654706,"('narrow-minded', 'open-minded')",0.5909306,0.5357136,-0.47567213,-0.5988448,-0.39707118,-0.4809463,-0.10362155735492706,-0.1464330554008484,-0.042811498045921326
30,0.12339574,0.10214448,"('honest', 'dishonest')",-0.22547805,-0.20944887,0.19331771,0.117902614,0.39722753,0.45652694,0.12211573123931885,0.11678128689527512,-0.005334444344043732
64,-0.11876464,-0.29803717,"('clever', 'incompetent')",-0.5954066,-0.37605855,-0.48554093,-0.61748517,0.52871275,0.588009,-0.16774985194206238,-0.17589297890663147,-0.008143126964569092
61,-0.114376485,0.18395129,"('rational', 'irrational')",0.14891788,-0.018926725,0.6375391,0.9377023,-0.009150535,0.0140131265,0.1657325029373169,0.2791849970817566,0.1134524941444397
4,0.113993205,-0.020618282,"('likable', 'unlikable')",-1.9620326,-2.1335814,-0.6497115,-0.718971,-0.646859,-0.82664704,-0.7861524224281311,-0.9249544143676758,-0.13880199193954468
100,-0.101299286,0.104555875,"('influential', 'uninfluential')",-0.27355087,0.15059477,-0.43199614,-0.1861226,0.6210103,0.75605094,-0.04645898938179016,0.2062697410583496,0.25272873044013977
21,0.09689945,0.13069463,"('nice', 'nasty')",0.036058128,-0.105305195,0.10184556,-0.000101327896,0.5830737,0.51848936,0.2044692039489746,0.13594436645507812,-0.06852483749389648
59,0.081511825,0.3308722,"('skillful', 'clumsy')",-0.29601255,-0.04297629,0.4226569,0.805226,-0.31806117,-0.23916584,-0.027476251125335693,0.21348904073238373,0.24096529185771942
91,-0.07037276,-0.16309088,"('resilient', 'nonresilient')",0.35450006,0.12316264,0.64675796,0.4337589,1.1799401,1.1178256,0.5277063250541687,0.37791407108306885,-0.14979225397109985
57,0.06559107,-0.04431036,"('able', 'unable')",-0.5482414,-0.62178934,0.43286386,0.21160308,0.19061211,0.12792262,0.03520641475915909,-0.0816434919834137,-0.11684990674257278
23,0.0405097,0.0043199062,"('hospitable', 'inhospitable')",0.13611686,-0.048840344,0.50621355,0.34187165,-0.09697899,-0.32193413,0.1464652717113495,-0.00614573061466217,-0.15261100232601166
9,-0.020259917,-0.19216317,"('sensitive', 'insensitive')",-1.3129498,-1.592785,-1.0728676,-1.1591467,0.502056,0.54664457,-0.47600534558296204,-0.5993624925613403,-0.1233571469783783
