,western_male,western_female,tuple,digital_male,digital_female,corp_male,corp_female,average_male,average_female,female-male
78,-0.90622425,-0.8182632,"('nonresilient', 'resilient')",-0.5348774,-0.41756114,-0.04607541,0.11778656,-0.4957257,-0.3726793,0.1230464
79,-0.09230113,-0.22288303,"('wavering', 'unwavering')",-0.5042136,-0.7244581,-0.42844453,-0.5021179,-0.3416531,-0.483153,-0.1414999
80,0.310738,0.43640792,"('dominated', 'dominating')",-0.123522654,0.113004126,-0.35566193,-0.054782294,-0.0561489,0.1648766,0.2210255
81,-0.5193542,-0.48406154,"('submissive', 'aggressive')",0.27859572,0.51072943,-0.48044503,-0.34815472,-0.2404012,-0.1071623,0.1332389
82,-0.18703893,-0.19676644,"('poor', 'rich')",-0.02998212,0.07951483,4.877861,4.969271,1.5536133,1.6173399,0.0637266
83,0.008112177,-0.04355468,"('powerless', 'powerful')",0.29291758,0.32701412,-0.6198253,-0.6495955,-0.1062652,-0.1220454,-0.0157802
84,0.19974323,0.13523616,"('inferior', 'superior')",0.73945034,0.725152,0.76764804,0.7658654,0.5689472,0.5420845,-0.0268627
85,0.22192131,0.110907435,"('insignificant', 'prestigious')",-0.08017881,-0.36538127,-0.06996129,-0.3426211,0.0239271,-0.1990316,-0.2229587
86,-0.7911515,-0.8725808,"('uninfluential', 'influential')",-0.077350706,-0.06567314,-0.40508175,-0.58980674,-0.424528,-0.5093536,-0.0848256
87,0.10638897,0.10760589,"('unsuccessful', 'successful')",0.14308536,0.1668852,0.63623655,0.78178734,0.295237,0.3520928,0.0568558
88,-0.39874294,-0.5012173,"('low', 'eminent')",0.083710894,0.12246929,-0.13604084,-0.34348953,-0.1503576,-0.2407458,-0.0903882
