,royal_male,royal_female,tuple,caribbean_male,caribbean_female,cruises_male,cruises_female,ltd_male,ltd_female,average_male,average_female,female-male
59,-0.12885354,-0.1486547,"('foolish', 'wise')",0.071534544,0.0845296,0.3067052,0.15233955,-0.114785224,-0.16533056,0.0336502,-0.019279,-0.0529292
60,0.25384092,0.259137,"('inefficient', 'efficient')",-0.2896443,-0.2822926,-0.102576725,0.0839224,-0.021827834,0.22105199,-0.040052,0.0704547,0.1105067
61,0.61801356,0.57180125,"('illogical', 'logical')",0.013482074,-0.05360389,0.045353483,0.029565819,0.3572861,0.23577926,0.2585338,0.1958856,-0.0626482
62,0.30610213,0.29223636,"('incompetent', 'brilliant')",0.30858764,0.35114658,0.5261858,0.6764319,0.20462286,0.36242905,0.3363746,0.420561,0.0841864
63,0.38241965,0.40740436,"('unperceptive', 'insightful')",1.0270107,1.0124437,0.19921233,0.39295483,0.7110794,0.8308946,0.5799305,0.6609243,0.0809938
64,0.75700474,0.82096714,"('shy', 'confident')",0.7830322,0.8273376,-0.3488611,-0.38314345,-5.2031336,-4.80579,-1.0029894,-0.8851572,0.1178322
65,1.055581,0.9361544,"('insecure', 'secure')",-0.022418797,-0.05875573,-0.09721339,-0.033266738,0.8065537,1.0000786,0.4356256,0.4610526,0.025427
66,1.2308451,1.2928622,"('inactive', 'active')",0.35787725,0.380044,0.48627892,0.4528046,1.2029836,1.0798122,0.8194962,0.8013808,-0.0181154
67,0.36759079,0.3551492,"('doubtful', 'determined')",-0.69077027,-0.7165622,-0.4881621,-0.49539128,-0.6018696,-0.5498081,-0.3533028,-0.3516531,0.0016497
68,-0.4652689,-0.49003667,"('dependent', 'independent')",-0.7883534,-0.8369499,-1.2476472,-1.2609358,-0.6096334,-0.5924621,-0.7777257,-0.7950961,-0.0173704
69,-0.33712184,-0.29204202,"('lazy', 'industrious')",-0.27859566,-0.24971013,-0.4644471,-0.7394177,-0.5250351,-0.5583596,-0.4013,-0.4598824,-0.0585824
70,0.100698054,0.06228329,"('lethargic', 'energetic')",-0.4519273,-0.55271614,-1.0983914,-1.0579822,0.7085206,0.81256557,-0.185275,-0.1839624,0.0013126
71,1.0720962,1.1082065,"('diffident', 'self-confident')",1.8856372,1.9559487,1.9015696,1.9654347,0.16757312,0.09508395,1.256719,1.2811685,0.0244495
72,1.0209556,0.9703505,"('unambitious', 'ambitious')",-0.0869118,-0.12720227,0.3676132,0.28553748,-0.19804396,-0.146752,0.2759033,0.2454834,-0.0304199
73,1.0818764,1.1459024,"('helpless', 'self-reliant')",0.8334225,0.8625317,0.2392374,0.1871005,-3.249403,-3.0997462,-0.2737167,-0.2260529,0.0476638
74,1.1787606,1.2168634,"('undedicated', 'dedicated')",1.4245425,1.4258708,0.048156988,0.19752179,0.20595957,0.17528936,0.7143549,0.7538863,0.0395314
75,0.0819391,0.10278506,"('meek', 'impulsive')",0.034743175,0.025961537,-0.09854847,-0.18182567,-0.17596695,-0.15480117,-0.0394583,-0.0519701,-0.0125118
76,1.3831714,1.3977616,"('anxious', 'daring')",0.3658427,0.3539627,0.7622587,0.9144337,0.6184402,0.7180833,0.7824283,0.8460603,0.063632
77,-0.5672004,-0.44149345,"('unmotivated', 'motivated')",0.49890128,0.57419896,-0.2985433,-0.06301668,-0.66142285,-0.48589703,-0.2570663,-0.1040521,0.1530142
78,-0.5327708,-0.53523576,"('nonresilient', 'resilient')",-0.25034627,-0.3049267,-0.15466121,-0.09577327,-0.0924218,-0.12298352,-0.25755,-0.2647298,-0.0071798
79,0.059471823,0.14232194,"('wavering', 'unwavering')",0.34075716,0.37984398,-0.3646179,-0.33902854,-0.16430512,-0.26707736,-0.0321735,-0.020985,0.0111885
80,0.63466513,0.45872462,"('dominated', 'dominating')",-0.24721132,-0.30835235,-0.895945,-1.0543374,-0.4455526,-0.30072248,-0.238511,-0.3011719,-0.0626609
81,-0.26211393,-0.43538764,"('submissive', 'aggressive')",-0.7265823,-0.8156303,-0.4546951,-0.35628286,-0.48767436,-0.20305985,-0.4827664,-0.4525902,0.0301762
82,0.13591096,0.20175645,"('poor', 'rich')",-0.39238417,-0.32371575,0.7957325,1.1357622,5.596308,5.447257,1.5338919,1.615265,0.0813731
83,0.47771776,0.53567064,"('powerless', 'powerful')",0.26999483,0.2831128,0.14169466,0.25307631,-1.3967766,-1.3669554,-0.1268423,-0.0737739,0.0530684
84,0.8809039,0.8810387,"('inferior', 'superior')",0.59820944,0.5930998,0.42731133,0.46193832,0.5410121,0.5169627,0.6118592,0.6132599,0.0014007
85,0.66359216,0.7785018,"('insignificant', 'prestigious')",0.8412159,0.9316007,1.2186095,1.2240461,-0.011853516,-0.20196366,0.677891,0.6830463,0.0051553
86,-0.38634416,-0.39072764,"('uninfluential', 'influential')",-0.51390594,-0.5284159,-0.7530319,-0.71020806,-0.40301993,-0.42045242,-0.5140755,-0.512451,0.0016245
87,0.4336345,0.4439504,"('unsuccessful', 'successful')",0.10398795,0.16367309,0.030109573,0.06721904,0.8771379,1.0284418,0.3612175,0.4258211,0.0646036
88,0.14739358,0.1316456,"('low', 'eminent')",-0.014860063,-0.0049432404,0.39917582,0.5513029,-0.3651884,-0.3409742,0.0416302,0.0842578,0.0426276
