,marathon_male,marathon_female,tuple,petroleum_male,petroleum_female,corp_male,corp_female,average_male,average_female,female-male
55,-0.5381954,-0.5755427,"('incompetent', 'clever')",0.7745701,0.8228784,0.23074229,0.26744998,0.1557057,0.1715952,0.0158895
56,-0.68106294,-0.7060517,"('impractical', 'practical')",0.7972108,0.8240268,-0.9565293,-0.9151108,-0.2801271,-0.2657119,0.0144152
57,-0.34955898,-0.45720568,"('unimaginative', 'imaginative')",0.516778,0.37063408,-2.5343664,-2.6044106,-0.7890491,-0.8969941,-0.107945
58,-0.93664,-0.980091,"('undiscriminating', 'discriminating')",0.7816359,0.6911772,0.15946215,0.1293747,0.001486,-0.0531797,-0.0546657
59,0.57894546,0.5256044,"('foolish', 'wise')",0.7770836,0.63261217,-0.0082556605,0.028015463,0.4492578,0.3954107,-0.0538471
60,0.46842498,0.53058237,"('inefficient', 'efficient')",0.7874337,0.9981617,-0.26929563,-0.12521864,0.3288543,0.4678418,0.1389875
61,0.805913,0.6975555,"('illogical', 'logical')",1.3150456,1.2339373,0.6301719,0.48855904,0.9170435,0.8066839,-0.1103596
62,0.46543956,0.5145147,"('incompetent', 'brilliant')",1.1810056,1.3961005,0.31810758,0.49858367,0.6548509,0.8030663,0.1482154
63,0.3856526,0.26452088,"('unperceptive', 'insightful')",1.3926781,1.2776177,0.5317354,0.5291387,0.7700221,0.6904257,-0.0795964
64,0.07061531,0.0005076602,"('shy', 'confident')",1.0571405,1.0796083,-5.442096,-5.4743967,-1.4381135,-1.4647601,-0.0266466
65,-0.32195103,-0.33536866,"('insecure', 'secure')",0.73963535,0.7912961,0.21505672,0.27887785,0.2109137,0.2449351,0.0340214
66,-0.34503138,-0.29854333,"('inactive', 'active')",-1.0522015,-1.0930771,0.4097271,0.30794615,-0.3291686,-0.3612247,-0.0320561
67,0.44842756,0.4485214,"('doubtful', 'determined')",-0.3341092,-0.21916594,-0.5336417,-0.50429136,-0.1397744,-0.0916453,0.0481291
68,-0.11229143,-0.20323245,"('dependent', 'independent')",-0.9849274,-1.0204544,-0.99082154,-1.0038259,-0.6960135,-0.7425043,-0.0464908
69,-0.30038506,-0.2314724,"('lazy', 'industrious')",0.5386412,0.50447947,-0.82776684,-0.81259716,-0.1965036,-0.1798634,0.0166402
70,-0.19204709,-0.20232259,"('lethargic', 'energetic')",0.20625521,0.2949128,0.27543867,0.27578124,0.0965489,0.1227905,0.0262416
71,1.0241184,0.9488285,"('diffident', 'self-confident')",0.65996397,0.574492,-0.008227974,-0.06593509,0.5586181,0.4857951,-0.072823
72,1.2800967,1.323503,"('unambitious', 'ambitious')",0.39927715,0.42960578,-0.38171986,-0.36284024,0.4325513,0.4634229,0.0308716
73,1.1027796,1.1507723,"('helpless', 'self-reliant')",1.3141763,1.1919693,-3.1759894,-3.12339,-0.2530111,-0.2602162,-0.0072051
74,1.5857,1.6028339,"('undedicated', 'dedicated')",0.29737106,0.22056949,-0.3643913,-0.45929998,0.5062266,0.4547011,-0.0515255
75,-0.22737485,-0.16366315,"('meek', 'impulsive')",-0.8589684,-0.91311276,-0.6445461,-0.5970027,-0.5769631,-0.5579262,0.0190369
76,0.58237433,0.73055655,"('anxious', 'daring')",0.18061188,0.34981194,-0.18160133,-0.12890884,0.1937949,0.3171532,0.1233583
77,0.14792648,0.1332691,"('unmotivated', 'motivated')",0.47178632,0.3866603,-1.229971,-1.0906515,-0.2034194,-0.1902407,0.0131787
