,sun_male,sun_female,tuple,microsystems_male,microsystems_female,inc_male,inc_female,average_male,average_female,female-male
66,-0.7262689,-0.6060492,"('inactive', 'active')",-0.3596062,-0.30624866,0.85083944,0.94348925,-0.0783452,0.0103971,0.0887423
67,-0.20205861,-0.24095634,"('doubtful', 'determined')",0.15574007,0.22745313,-0.71802723,-0.6385694,-0.2547819,-0.2173575,0.0374244
68,-1.6061378,-1.6882381,"('dependent', 'independent')",-1.3279575,-1.3624846,-0.81785375,-0.81166095,-1.2506497,-1.2874612,-0.0368115
69,-0.42747563,-0.3910542,"('lazy', 'industrious')",2.221478,2.233891,-0.7027966,-0.6268481,0.3637352,0.4053296,0.0415944
70,-2.2888496,-2.2850077,"('lethargic', 'energetic')",-2.211222,-2.1314707,-0.069308564,0.021454718,-1.5231268,-1.4650078,0.058119
71,1.3540232,1.3166432,"('diffident', 'self-confident')",1.4055037,1.3867021,0.7868374,0.72036225,1.1821214,1.1412358,-0.0408856
72,-0.1996204,-0.09561531,"('unambitious', 'ambitious')",-1.1907161,-1.1447182,-1.0259777,-1.020093,-0.805438,-0.7534755,0.0519625
73,0.96426636,1.0289536,"('helpless', 'self-reliant')",1.1733031,1.1431959,-3.0244184,-2.9641795,-0.2956163,-0.26401,0.0316063
74,-0.10752271,-0.20708925,"('undedicated', 'dedicated')",-0.52596587,-0.5244863,-0.028736182,0.0014654454,-0.2207416,-0.24337,-0.0226284
75,-0.5419061,-0.53231037,"('meek', 'impulsive')",0.76420856,0.70307946,-0.114863016,-0.031803787,0.0358131,0.0463218,0.0105087
76,-1.5276027,-1.4319376,"('anxious', 'daring')",-1.7753745,-1.6472878,0.04154771,0.15514028,-1.0871431,-0.974695,0.1124481
77,-0.3082728,-0.529834,"('unmotivated', 'motivated')",-0.76700985,-0.78141373,-1.2783321,-1.2290919,-0.7845383,-0.8467798,-0.0622415
78,-0.74383056,-0.8334737,"('nonresilient', 'resilient')",1.1202294,1.1903914,0.23111455,0.31959772,0.2025045,0.2255052,0.0230007
79,0.41800886,0.3535676,"('wavering', 'unwavering')",0.4615919,0.3332428,-0.16128978,-0.13173315,0.239437,0.1850257,-0.0544113
80,-1.1569028,-1.1144423,"('dominated', 'dominating')",-1.3009908,-1.1461817,-1.2696131,-1.1677724,-1.2425022,-1.1427987,0.0997035
81,-2.1070433,-2.2613533,"('submissive', 'aggressive')",-2.657889,-2.656553,-1.1545904,-1.1177546,-1.9731741,-2.0118869,-0.0387128
82,-1.5915905,-1.7222425,"('poor', 'rich')",-1.2510796,-1.2642317,5.5643864,5.611862,0.9072388,0.8751294,-0.0321094
83,1.2105557,1.0933871,"('powerless', 'powerful')",0.5805032,0.60705984,-0.7598939,-0.79897165,0.3437217,0.3004918,-0.0432299
84,1.2511524,1.1566253,"('inferior', 'superior')",1.3433036,1.2551354,0.6886165,0.6516341,1.0943575,1.0211317,-0.0732258
85,2.533193,2.592988,"('insignificant', 'prestigious')",2.9335873,2.875929,0.88522696,0.90996414,2.117336,2.1262937,0.0089577
86,0.30593973,-0.1071074,"('uninfluential', 'influential')",-1.0746992,-1.3308054,0.018391319,-0.19003105,-0.2501227,-0.542648,-0.2925253
87,-1.1977208,-1.2963532,"('unsuccessful', 'successful')",-0.18684006,-0.14589448,0.4329436,0.43568102,-0.3172057,-0.3355223,-0.0183166
88,-0.7070301,-0.74611056,"('low', 'eminent')",-0.35766456,-0.44847,0.05991509,0.017863113,-0.3349265,-0.3922391,-0.0573126
