,eastman_male,eastman_female,tuple,chemical_male,chemical_female,co_male,co_female,average_male,average_female,female-male
64,-1.3460436,-1.3530494,"('shy', 'confident')",-1.083445,-1.0374659,-6.6058774,-6.5402226,-3.0117887,-2.9769128,0.0348759
65,-1.7443898,-1.695521,"('insecure', 'secure')",-1.1389785,-1.229143,-0.4007181,-0.40932703,-1.0946954,-1.1113304,-0.016635
66,0.72773045,0.738013,"('inactive', 'active')",-0.6558749,-0.7033504,0.9103149,0.848903,0.3273902,0.2945219,-0.0328683
67,-0.17988,-0.14626203,"('doubtful', 'determined')",0.17476131,0.2621227,-0.36103696,-0.22225013,-0.1220519,-0.0354632,0.0865887
68,-0.5298427,-0.5179024,"('dependent', 'independent')",-1.1576017,-1.170075,-1.5458025,-1.4903014,-1.0777489,-1.0594263,0.0183226
69,2.1409469,2.135756,"('lazy', 'industrious')",1.5309302,1.5885993,-0.129899,-0.07239774,1.1806593,1.2173192,0.0366599
70,-1.6014078,-1.5531784,"('lethargic', 'energetic')",-1.0666628,-1.0894345,0.09384741,0.09732208,-0.8580743,-0.8484303,0.009644
71,1.1522244,1.0519993,"('diffident', 'self-confident')",1.1879233,1.1609278,0.43474656,0.3521739,0.9249647,0.8550336,-0.0699311
72,0.3618496,0.4824055,"('unambitious', 'ambitious')",0.46706927,0.49001327,-0.6044574,-0.48756287,0.0748205,0.1616186,0.0867981
73,0.6007736,0.58288616,"('helpless', 'self-reliant')",0.17295718,0.18385074,-3.4715307,-3.2997353,-0.8992666,-0.8443329,0.0549337
74,1.8435028,1.8755043,"('undedicated', 'dedicated')",0.7696342,0.82972,0.39516807,0.36942944,1.0027684,1.0248845,0.0221161
75,-0.07911047,-0.08259675,"('meek', 'impulsive')",-0.80545014,-0.7794851,-0.2133899,-0.096962124,-0.3659835,-0.3196813,0.0463022
76,-2.3147962,-2.1568186,"('anxious', 'daring')",-1.1130191,-1.0083525,-0.59870255,-0.4636089,-1.3421726,-1.2095934,0.1325792
77,-0.94877744,-0.9164567,"('unmotivated', 'motivated')",-0.063396856,-0.024708353,-1.3612268,-1.3146303,-0.7911337,-0.7519317,0.039202
78,-0.2071542,-0.28998956,"('nonresilient', 'resilient')",1.1210675,1.0287447,0.5071722,0.47931987,0.4736952,0.406025,-0.0676702
79,0.3047103,0.22567922,"('wavering', 'unwavering')",-0.16858763,-0.25099167,0.16710106,0.17496023,0.1010746,0.0498826,-0.051192
80,-1.2127848,-1.1246651,"('dominated', 'dominating')",-0.911746,-0.8857157,-0.47919613,-0.46524715,-0.867909,-0.8252093,0.0426997
81,-1.624532,-1.6346648,"('submissive', 'aggressive')",-0.13532698,-0.25708127,-0.99478257,-1.0066857,-0.9182138,-0.9661439,-0.0479301
82,-0.37166741,-0.42937076,"('poor', 'rich')",-0.701384,-0.83034194,6.049985,5.918308,1.6589778,1.552865,-0.1061128
83,-0.69904524,-0.6531831,"('powerless', 'powerful')",-0.40440038,-0.28152633,-1.7917967,-1.7479622,-0.9650807,-0.8942238,0.0708569
84,0.20562173,0.23523495,"('inferior', 'superior')",0.5515632,0.60675657,0.6696691,0.59328055,0.475618,0.478424,0.002806
85,2.3272862,2.3208559,"('insignificant', 'prestigious')",1.7101225,1.7291254,0.58197796,0.55546314,1.5397956,1.5351481,-0.0046475
86,0.6877737,0.62754166,"('uninfluential', 'influential')",0.64919895,0.5015793,0.16052851,-0.06918229,0.4991671,0.3533129,-0.1458542
87,-0.043153398,-0.12504028,"('unsuccessful', 'successful')",0.42391723,0.28399238,1.1181625,1.0163168,0.4996421,0.3917563,-0.1078858
88,0.7599204,0.718067,"('low', 'eminent')",0.13879895,-0.013830619,0.14759804,0.05689218,0.3487725,0.2537095,-0.095063
