,ingevity_male,ingevity_female,tuple,corp_male,corp_female,average_male,average_female,female-male
77,-0.4098891,-0.33167654,"('unmotivated', 'motivated')",-1.4655188,-1.2736104,-0.937704,-0.8026434,0.1350606
78,-1.167337,-1.0471078,"('nonresilient', 'resilient')",0.037804447,0.07245679,-0.5647662,-0.4873255,0.0774407
79,-0.68269235,-0.7072783,"('wavering', 'unwavering')",-0.25865576,-0.2004344,-0.470674,-0.4538563,0.0168177
80,0.5714704,0.59080875,"('dominated', 'dominating')",-1.1252333,-0.99538654,-0.2768815,-0.2022889,0.0745926
81,0.6778203,0.62343645,"('submissive', 'aggressive')",-1.113004,-0.9599539,-0.2175918,-0.1682587,0.0493331
82,-0.8222091,-0.7984853,"('poor', 'rich')",6.581187,6.79001,2.8794889,2.9957623,0.1162734
83,0.16898395,0.18861233,"('powerless', 'powerful')",-1.2140734,-1.2008078,-0.5225447,-0.5060977,0.016447
84,0.41649082,0.4194385,"('inferior', 'superior')",0.52927595,0.5813909,0.4728834,0.5004147,0.0275313
85,-0.5891343,-0.6174109,"('insignificant', 'prestigious')",0.59169865,0.46237043,0.0012822,-0.0775202,-0.0788024
86,-2.054473,-2.0998347,"('uninfluential', 'influential')",-0.17525285,-0.24945164,-1.1148629,-1.1746432,-0.0597803
87,0.2263386,0.1874537,"('unsuccessful', 'successful')",0.7116002,0.8656275,0.4689694,0.5265406,0.0575712
88,-0.034715246,-0.11691008,"('low', 'eminent')",-0.46810314,-0.4534959,-0.2514092,-0.285203,-0.0337938
