,dr_male,dr_female,tuple,pepper_male,pepper_female,snapple_male,snapple_female,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
35,-0.8541415,-0.92090726,"('corrupt', 'incorrupt')",0.6877386,0.65845406,1.0118548,1.0468309,-2.0443957,-1.9284321,0.099818796,-0.03660472,-0.219825,-0.2361318,-0.0163068
36,-2.068145,-2.0629451,"('hostile', 'amicable')",-0.6167606,-0.39836526,-0.2685284,-0.22333433,-1.7309636,-1.7514793,0.4877857,0.34137532,-0.8393224,-0.8189497,0.0203727
37,0.050007742,-0.014447534,"('fake', 'genuine')",0.31723675,0.36641553,0.22237556,0.2117674,0.2920759,0.28569782,0.51084393,0.56579334,0.278508,0.2830453,0.0045373
38,-0.1079195,-0.12721547,"('untruthful', 'truthful')",0.07437156,0.10435239,-0.0061664497,-0.06417738,-0.92968076,-0.95165193,0.16261211,0.2792268,-0.1613566,-0.1518931,0.0094635
39,0.12636462,0.06556467,"('exploitative', 'cooperative')",0.97792983,0.925864,0.8936814,0.8427285,1.577275,1.6257246,-0.03849206,-0.0031369673,0.7073518,0.691349,-0.0160028
40,-0.717045,-0.8401477,"('stingy', 'generous')",-1.6127396,-1.4758753,-1.2262663,-1.2653774,-0.23094893,-0.120966375,-1.9010777,-1.972796,-1.1376155,-1.1350326,0.0025829
41,-0.52588534,-0.5152094,"('unforgiving', 'forgiving')",-0.93606865,-0.6336621,0.045063525,0.039252773,0.81296456,0.7562969,0.05465154,0.038847897,-0.1098549,-0.0628948,0.0469601
42,0.7872042,0.75256866,"('unreliable', 'reliable')",-0.07639086,-0.032980543,0.82436675,0.8289743,0.9828781,1.1423978,-3.204587,-3.0140963,-0.1373057,-0.0646272,0.0726785
43,-0.22260302,-0.11505276,"('irresponsible', 'responsible')",-0.8197446,-0.6829171,-0.6552861,-0.66808105,1.1461985,1.1682038,0.510332,0.5589291,-0.0082206,0.0522164,0.060437
44,0.14004683,0.17629789,"('prejudiced', 'unprejudiced')",-0.04852183,-0.16592741,0.9684026,0.93833673,-0.26256502,-0.23143983,-1.3221557,-1.3434628,-0.1049586,-0.1252391,-0.0202805
45,0.36730388,0.33687294,"('incompetent', 'competent')",-0.3104595,-0.080330744,0.3942789,0.22451824,1.0991747,0.8951107,-0.37889108,-0.4573201,0.2342814,0.1837702,-0.0505112
46,0.5806071,0.5673255,"('uncompetitive', 'competitive')",-0.35433516,-0.35810834,-0.639462,-0.7911258,1.6410683,1.4636242,-0.9340447,-1.0169251,0.0587667,-0.0270419,-0.0858086
47,-0.013854405,0.11981191,"('stupid', 'smart')",0.34778017,0.43089926,0.7189713,0.73374426,1.2858567,1.3204265,5.9725103,6.033481,1.6622528,1.7276726,0.0654198
48,-1.5006844,-1.5975801,"('unintelligent', 'intelligent')",-1.789061,-1.6897843,-2.342037,-2.3494916,-0.20442228,-0.18079793,0.22168142,0.27903143,-1.1229047,-1.1077246,0.0151801
49,-0.23739058,0.00894016,"('unable', 'able')",0.20142959,0.33915985,-0.5060689,-0.3375807,-0.7751841,-0.60557514,-0.18205309,0.046848714,-0.2998534,-0.1096414,0.190212
