,waste_male,waste_female,tuple,management_male,management_female,inc_male,inc_female,del_male,del_female,average_male,average_female,male-female
12,0.5421204,0.40682703,"('unsupportive', 'supportive')",1.3846607,1.357558,0.37451124,0.6050799,-1.5138975,-1.6300387,0.1968487,0.1848565,0.0119922
30,-0.52092123,-0.5061276,"('intolerant', 'tolerant')",1.697263,1.8494803,1.1168253,1.4308296,-0.42709115,0.07815299,0.466519,0.7130838,-0.2465648
39,-0.4939792,-0.4204478,"('exploitative', 'cooperative')",-0.7688662,-0.6874688,0.52567285,0.92626905,-0.7712553,-0.4232801,-0.377107,-0.1512319,-0.2258751
66,-0.48869178,-0.5717355,"('inactive', 'active')",0.079764254,-0.11872485,0.3577472,0.1616773,1.5877371,1.2159503,0.3841392,0.1717918,0.2123474
42,-0.48714533,-0.5100507,"('unreliable', 'reliable')",1.5900674,1.4302013,0.87685513,0.9898986,-2.705848,-2.872118,-0.1815177,-0.2405172,0.0589995
78,0.47900856,0.16819248,"('nonresilient', 'resilient')",1.55902,1.092487,0.19611904,-0.0019776188,0.3146424,-0.039830636,0.6371976,0.3047178,0.3324798
40,0.47411555,0.35163897,"('stingy', 'generous')",-0.544875,-0.6158397,0.38740578,0.08719087,-1.5064752,-1.8164704,-0.2974572,-0.4983701,0.2009129
48,-0.46762934,-0.6900294,"('unintelligent', 'intelligent')",0.088293485,-0.13012195,0.33761227,0.22364333,0.13916296,0.12754282,0.0243598,-0.1172413,0.1416011
32,-0.45165136,-0.47896788,"('unkind', 'kind')",1.4215566,1.4426954,0.6937874,1.0190266,1.0730497,1.3025614,0.6841856,0.8213289,-0.1371433
60,-0.45021388,-0.522617,"('inefficient', 'efficient')",2.177099,2.0727777,0.3085706,0.77247596,-1.5988367,-1.0308285,0.1091548,0.322952,-0.2137972
0,-0.4314588,-0.5811072,"('unsociable', 'sociable')",0.7050123,0.470001,-0.24248642,-0.21022415,-0.95320475,-0.9039288,-0.2305344,-0.3063148,0.0757804
13,-0.41799554,-0.41378933,"('impolite', 'polite')",1.1914096,1.1865184,-0.16552636,0.32790574,-0.75207734,-0.5023805,-0.0360474,0.1495636,-0.185611
6,0.4044275,0.50556314,"('distant', 'open')",-1.7230761,-1.7262671,0.37582177,0.18662697,1.6451138,1.3738915,0.1755718,0.0849536,0.0906182
7,-0.40234178,-0.3598738,"('insensitive', 'sensitive')",1.1962922,1.1706252,-0.111746445,0.15281868,0.46187115,0.73493415,0.2860188,0.4246261,-0.1386073
74,0.38364783,0.21792261,"('undedicated', 'dedicated')",0.14037567,0.024036404,0.57085526,0.6831064,-0.63647157,-0.60028964,0.1146018,0.081194,0.0334078
43,-0.37302542,-0.5029208,"('irresponsible', 'responsible')",1.8723046,1.8386675,0.23457833,0.6337223,-0.3037789,0.09484841,0.3575197,0.5160794,-0.1585597
87,-0.34422582,-0.5373014,"('unsuccessful', 'successful')",0.3358972,0.08347156,0.5882297,0.61514056,0.85064256,0.6638297,0.3576359,0.2062851,0.1513508
23,-0.34099704,-0.3787893,"('insincere', 'sincere')",1.1071615,1.11606,-0.121959925,0.2456325,5.09878,5.529114,1.4357462,1.6280043,-0.1922581
69,0.28167826,0.33427766,"('lazy', 'industrious')",0.35304934,0.38560873,1.3971926,1.228761,-0.18257475,-0.6026858,0.4623364,0.3364904,0.125846
38,0.27987307,0.28746364,"('untruthful', 'truthful')",0.7686217,0.83295584,0.083652586,0.47826785,-0.055109356,0.05790508,0.2692595,0.4141481,-0.1448886
63,-0.24646866,-0.44538093,"('unperceptive', 'insightful')",1.183469,0.99665207,0.7494763,0.9886787,0.8640723,0.6526116,0.6376373,0.5481404,0.0894969
57,-0.23415849,-0.41798705,"('unimaginative', 'imaginative')",-0.20913963,-0.34382543,0.0026614815,-0.06873552,-3.3494174,-3.278126,-0.9475135,-1.0271685,0.079655
4,-0.22316292,-0.20060869,"('disliked', 'liked')",-0.9222561,-0.90959954,0.9100612,0.5411578,-6.538856,-7.1034584,-1.6935534,-1.9181272,0.2245738
52,0.21890363,0.30836263,"('irrational', 'rational')",-1.5245668,-1.5015721,-1.0050329,-1.1651466,1.4383603,1.0528903,-0.2180839,-0.3263664,0.1082825
84,0.18096884,0.14159924,"('inferior', 'superior')",0.0437893,0.023718733,0.65865064,0.6017953,0.10533027,0.048162036,0.2471848,0.2038188,0.043366
27,-0.17627412,-0.21705048,"('hardhearted', 'softhearted')",-0.008607032,-0.066954374,0.73574847,0.5349314,1.4672531,1.4281152,0.5045301,0.4197605,0.0847696
67,0.17177959,0.23893,"('doubtful', 'determined')",1.0404519,1.1123129,0.21653298,0.47883296,-0.961462,-0.8271172,0.1168256,0.2507397,-0.1339141
24,0.16723552,0.21086556,"('dishonest', 'honest')",-0.3185429,-0.18056902,0.4035721,0.6577335,0.42777938,0.86649066,0.170011,0.3886302,-0.2186192
8,0.15894696,0.1911517,"('unaffectionate', 'affectionate')",-1.0574924,-0.8812385,-0.38642797,-0.48160985,2.060686,1.9531497,0.1939282,0.1953633,-0.0014351
53,0.12364713,-0.032230023,"('uncreative', 'creative')",-0.3362464,-0.36513826,0.24476957,0.29660368,1.4049655,1.3165793,0.359284,0.3039537,0.0553303
86,0.12290187,-0.18092582,"('uninfluential', 'influential')",-0.28822786,-0.4912704,0.45434,0.32964495,0.028706662,-0.068057284,0.0794302,-0.1026521,0.1820823
61,0.072640374,-0.067472175,"('illogical', 'logical')",0.6904691,0.52137965,-0.14330603,-0.06912117,0.03894415,0.07584791,0.1646869,0.1151586,0.0495283
77,-0.047955617,-0.25980815,"('unmotivated', 'motivated')",-0.011258077,-0.26132214,-0.73012376,-0.52734065,-1.4442236,-1.5214908,-0.5583903,-0.6424904,0.0841001
81,0.03990282,-0.05304435,"('submissive', 'aggressive')",1.9307019,1.7983602,0.037937004,0.41217208,-1.5736282,-1.1280475,0.1087283,0.2573601,-0.1486318
47,0.036021076,-0.032232556,"('stupid', 'smart')",0.73208636,0.7534482,0.7371689,0.99311274,5.9616446,6.1910224,1.8667302,1.9763377,-0.1096075
41,-0.015264444,-0.021799192,"('unforgiving', 'forgiving')",0.6395213,0.5909842,0.51197445,0.5926107,-0.6181441,-0.510187,0.1295218,0.1629022,-0.0333804
