,public_male,public_female,tuple,storage_male,storage_female,average_male,average_female,male-female
9,-0.4164322,-0.38826045,"('unaffectionate', 'caring')",0.29745936,-0.037439965,-0.0594864,-0.2128502,0.1533638
58,-0.4027514,-0.302358,"('undiscriminating', 'discriminating')",0.3911395,0.28948593,-0.0058059,-0.006436,0.0006301
51,0.3903067,0.7784922,"('uneducated', 'educated')",0.20887525,0.42922038,0.299591,0.6038563,-0.3042653
49,-0.38799164,0.07876312,"('unable', 'able')",-0.1232456,0.32149512,-0.2556186,0.2001291,-0.4557477
73,0.38445055,0.31716028,"('helpless', 'self-reliant')",-4.05624,-4.5927258,-1.8358948,-2.1377828,0.301888
72,0.3575427,0.27946177,"('unambitious', 'ambitious')",-0.32573637,-0.11115837,0.0159032,0.0841517,-0.0682485
53,0.3476059,0.005341042,"('uncreative', 'creative')",0.6792527,0.31674647,0.5134293,0.1610438,0.3523855
1,-0.34521678,-0.37637338,"('unfriendly', 'friendly')",0.15386884,-0.46227017,-0.095674,-0.4193218,0.3236478
83,0.31887838,0.7961364,"('powerless', 'powerful')",0.044145226,0.7753148,0.1815118,0.7857256,-0.6042138
2,0.3103676,0.96203744,"('unlikable', 'likable')",0.09898111,0.25329846,0.2046744,0.6076679,-0.4029935
61,0.3019399,0.22819024,"('illogical', 'logical')",0.5938387,0.54875976,0.4478893,0.388475,0.0594143
76,-0.22711644,0.5653734,"('anxious', 'daring')",0.34006602,0.8187998,0.0564748,0.6920866,-0.6356118
87,-0.21720576,0.14496441,"('unsuccessful', 'successful')",-0.40361005,-0.002632156,-0.3104079,0.0711661,-0.381574
28,0.15859321,0.58126146,"('disloyal', 'loyal')",0.7922717,1.1077623,0.4754325,0.8445119,-0.3690794
80,-0.1304827,0.07377095,"('dominated', 'dominating')",0.99001646,1.3499919,0.4297669,0.7118815,-0.2821146
29,-0.11361532,-0.050329216,"('unfair', 'fair')",-1.0474195,-1.124124,-0.5805174,-0.5872266,0.0067092
82,0.10050421,0.5609137,"('poor', 'rich')",5.569333,5.6985064,2.8349187,3.12971,-0.2947913
4,-0.09617787,-0.37013742,"('disliked', 'liked')",-6.4129777,-6.5018916,-3.2545779,-3.4360144,0.1814365
3,0.08540502,0.20207064,"('repellent', 'pleasant')",0.8014408,1.2384399,0.4434229,0.7202553,-0.2768324
86,-0.08133771,-0.33143443,"('uninfluential', 'influential')",0.56383985,0.75323,0.2412511,0.2108978,0.0303533
59,-0.08097108,-0.05269426,"('foolish', 'wise')",-0.7990006,-1.2997144,-0.4399858,-0.6762043,0.2362185
44,0.077865615,0.041716672,"('prejudiced', 'unprejudiced')",-1.216254,-1.2350311,-0.5691942,-0.5966572,0.027463
37,-0.06643392,0.02186644,"('fake', 'genuine')",0.27366346,0.057896826,0.1036148,0.0398816,0.0637332
71,-0.06634265,-0.29601672,"('diffident', 'self-confident')",0.748983,0.5630641,0.3413202,0.1335237,0.2077965
20,0.0327909,0.045064256,"('rough', 'thoughtful')",0.55145645,0.84398293,0.2921237,0.4445236,-0.1523999
