,discover_male,discover_female,tuple,financial_male,financial_female,services_male,services_female,average_male,average_female,male-female
78,0.6058036,0.43979907,"('nonresilient', 'resilient')",1.0638458,0.9779286,1.8563274,2.0967474,1.1753256,1.1714917,0.0038339
64,-0.5957198,-0.5352191,"('shy', 'confident')",0.4442197,0.5760977,-2.4226036,-2.0530741,-0.8580346,-0.6707319,-0.1873027
44,-0.5938227,-0.44616586,"('prejudiced', 'unprejudiced')",-0.21689244,-0.15764856,-0.16816121,-0.1589272,-0.3262921,-0.2542472,-0.0720449
3,0.5895097,0.14221767,"('repellent', 'pleasant')",-0.79500777,-0.67948097,0.77328026,0.9349684,0.1892607,0.1325684,0.0566923
42,0.551866,0.519796,"('unreliable', 'reliable')",1.224201,1.2420272,-0.6485467,-0.48927152,0.3758401,0.4241839,-0.0483438
54,-0.54561645,-0.3342679,"('incapable', 'capable')",0.97182566,0.9773309,1.030458,0.9554986,0.4855557,0.5328538,-0.0472981
2,0.52731913,0.60565895,"('unlikable', 'likable')",2.0244753,2.0744815,1.2301933,1.2482364,1.2606626,1.309459,-0.0487964
83,0.52645165,0.51771784,"('powerless', 'powerful')",0.8962313,0.99486053,-0.14292622,-0.10826911,0.4265856,0.4681031,-0.0415175
71,0.51514596,0.8415056,"('diffident', 'self-confident')",1.570464,1.6534172,0.47894466,0.47831586,0.8548516,0.9910796,-0.136228
45,0.4792963,0.11168717,"('incompetent', 'competent')",-1.1574858,-1.0640343,0.89739895,0.9113479,0.0730698,-0.0136664,0.0867362
26,-0.38711676,-0.14166668,"('hardhearted', 'benevolent')",1.6098948,1.5332996,0.75412416,0.5867802,0.6589674,0.659471,-0.0005036
68,0.3448882,0.13690147,"('dependent', 'independent')",-1.9766917,-1.856123,-0.56783557,-0.48353928,-0.733213,-0.7342536,0.0010406
41,0.3216924,0.3239887,"('unforgiving', 'forgiving')",0.8875968,0.96798474,0.19611678,0.16394532,0.4684687,0.4853063,-0.0168376
84,-0.30864978,-0.10773818,"('inferior', 'superior')",0.34200573,0.37984973,0.2743506,0.2333166,0.1025689,0.168476,-0.0659071
88,0.3083407,0.18616965,"('low', 'eminent')",-0.7909554,-0.83182836,0.032792483,-0.041855782,-0.1499407,-0.2291715,0.0792308
49,-0.2823684,-0.35563603,"('unable', 'able')",-0.74679667,-0.6724467,0.7749162,0.85267466,-0.0847496,-0.0584694,-0.0262802
33,-0.2640738,0.03586585,"('wrong', 'right')",1.8018864,1.8567129,-0.2734846,-0.25399476,0.4214427,0.5461947,-0.124752
58,-0.22705805,-0.25495195,"('undiscriminating', 'discriminating')",1.1078931,1.0232652,-0.141696,-0.24463928,0.2463797,0.174558,0.0718217
20,0.2201367,0.08077128,"('rough', 'thoughtful')",0.21111467,0.2500421,-0.23238231,-0.33394265,0.0662897,-0.0010431,0.0673328
9,0.2106007,0.38274544,"('unaffectionate', 'caring')",1.0990654,0.95590883,1.0539999,0.8995514,0.7878887,0.7460686,0.0418201
28,0.19156039,-0.0038332804,"('disloyal', 'loyal')",0.12583709,0.073773146,0.55096936,0.37705535,0.2894556,0.1489984,0.1404572
73,-0.17880373,-0.057013467,"('helpless', 'self-reliant')",1.0778526,0.87324154,-2.4401653,-2.5402913,-0.5137055,-0.5746877,0.0609822
67,-0.16579899,-0.091651894,"('doubtful', 'determined')",0.35430548,0.47037974,0.32333934,0.235938,0.1706153,0.2048886,-0.0342733
27,0.13362567,0.28087115,"('hardhearted', 'softhearted')",-0.9012434,-0.88236576,0.23526588,0.11283958,-0.1774506,-0.162885,-0.0145656
15,0.13254458,0.12454159,"('boring', 'funny')",0.5272578,0.4253854,-0.7224303,-0.8161284,-0.020876,-0.0887338,0.0678578
53,-0.10063985,-0.35766467,"('uncreative', 'creative')",1.576575,1.4009701,0.29163122,0.30497462,0.5891888,0.4494267,0.1397621
61,0.067133635,-0.05213795,"('illogical', 'logical')",1.3826488,1.424095,0.50146824,0.49641302,0.6504169,0.62279,0.0276269
66,0.04751163,0.33666182,"('inactive', 'active')",1.5089203,1.5900693,1.1642746,1.1937547,0.9069022,1.0401619,-0.1332597
47,-0.003383983,-0.022389337,"('stupid', 'smart')",0.86632663,0.9228335,3.423343,3.2693071,1.4287618,1.3899171,0.0388447
