,exelon_male,exelon_female,tuple,corp_male,corp_female,average_male,average_female,male-female
64,-0.4300836,-0.22765556,"('shy', 'confident')",-5.67867,-5.5232453,-3.0543768,-2.8754504,-0.1789264
85,0.41890466,0.56344277,"('insignificant', 'prestigious')",-0.5606203,0.21487392,-0.0708578,0.3891583,-0.4600161
31,-0.41421664,-0.13931368,"('evil', 'good')",-1.180764,-0.8023059,-0.7974903,-0.4708098,-0.3266805
67,0.3724029,0.3570942,"('doubtful', 'determined')",0.039905958,-0.12550215,0.2061544,0.115796,0.0903584
83,-0.3536749,-0.23338032,"('powerless', 'powerful')",-0.74365115,-0.77660817,-0.548663,-0.5049943,-0.0436687
88,-0.35207495,-0.65154326,"('low', 'eminent')",-0.15926352,-0.26029634,-0.2556692,-0.4559198,0.2002506
40,0.33057702,0.24796845,"('stingy', 'generous')",-1.715707,-1.5203731,-0.692565,-0.6362023,-0.0563627
25,-0.32822892,-0.10442418,"('egoistic', 'altruistic')",0.8788439,1.3544688,0.2753075,0.6250223,-0.3497148
48,-0.31920674,-0.747275,"('unintelligent', 'intelligent')",0.9541245,0.690249,0.3174589,-0.028513,0.3459719
42,-0.30926877,-0.24111858,"('unreliable', 'reliable')",-2.871645,-2.7331781,-1.5904568,-1.4871484,-0.1033084
84,0.2990986,0.4268235,"('inferior', 'superior')",0.93958104,1.1389016,0.6193398,0.7828625,-0.1635227
5,-0.2812221,0.034381915,"('distant', 'outgoing')",-0.7306185,-0.25086656,-0.5059203,-0.1082423,-0.397678
27,-0.26815796,-0.5438725,"('hardhearted', 'softhearted')",0.88757324,0.8511074,0.3097076,0.1536175,0.1560901
59,0.2540764,0.2689101,"('foolish', 'wise')",-0.10636793,0.21081583,0.0738542,0.239863,-0.1660088
49,-0.23438406,-0.41820693,"('unable', 'able')",-0.2822164,-0.4030563,-0.2583002,-0.4106316,0.1523314
79,0.21043226,0.19957142,"('wavering', 'unwavering')",-0.6567172,-0.48417816,-0.2231425,-0.1423034,-0.0808391
62,-0.19249335,-0.32912078,"('incompetent', 'brilliant')",0.9750275,0.6409927,0.3912671,0.155936,0.2353311
16,-0.18484558,0.05295167,"('unpopular', 'popular')",0.052574027,0.23739767,-0.0661358,0.1451747,-0.2113105
39,0.17663594,0.28558925,"('exploitative', 'cooperative')",0.13157818,0.049547795,0.1541071,0.1675685,-0.0134614
81,-0.17214963,-0.41382116,"('submissive', 'aggressive')",0.053427953,-0.46483707,-0.0593608,-0.4393291,0.3799683
87,-0.1716144,-0.3069846,"('unsuccessful', 'successful')",0.8377063,0.68698853,0.333046,0.190002,0.143044
4,-0.14445649,-0.1358658,"('disliked', 'liked')",-6.2681656,-5.7216353,-3.206311,-2.9287505,-0.2775605
66,0.11229278,-0.08746086,"('inactive', 'active')",0.26976076,0.2604355,0.1910268,0.0864873,0.1045395
34,-0.10132396,0.056497637,"('mean', 'honorable')",5.0935855,4.9334397,2.4961307,2.4949687,0.001162
17,-0.07881659,-0.27992237,"('nasty', 'nice')",-0.525157,-0.631037,-0.3019868,-0.4554797,0.1534929
33,0.07525016,0.22467929,"('wrong', 'right')",-0.6703185,-0.4633422,-0.2975342,-0.1193314,-0.1782028
80,0.07244045,-0.31707385,"('dominated', 'dominating')",-0.5530582,-0.9909136,-0.2403089,-0.6539937,0.4136848
52,0.07016358,0.17828792,"('irrational', 'rational')",-0.24390562,0.19983989,-0.086871,0.1890639,-0.2759349
76,0.057158418,-0.066957,"('anxious', 'daring')",-0.01557086,-0.24475737,0.0207938,-0.1558572,0.176651
72,-0.048556834,-0.00879026,"('unambitious', 'ambitious')",-0.18374798,-0.3917336,-0.1161524,-0.2002619,0.0841095
36,0.020989664,0.2699588,"('hostile', 'amicable')",-0.65245956,-0.24576685,-0.315735,0.012096,-0.327831
20,-0.020156119,-0.055776272,"('rough', 'thoughtful')",0.7594735,0.7476551,0.3696587,0.3459394,0.0237193
37,-0.012399957,-0.11695552,"('fake', 'genuine')",0.043733098,-0.07441883,0.0156666,-0.0956872,0.1113538
26,-0.009150598,-0.23206413,"('hardhearted', 'benevolent')",1.4019464,1.5331926,0.6963979,0.6505643,0.0458336
15,0.0044219103,-0.19754142,"('boring', 'funny')",0.08223525,-0.012018152,0.0433286,-0.1047798,0.1481084
