,fedex_male,fedex_female,tuple,corp_male,corp_female,average_male,average_female,male-female
69,0.45892686,0.13814832,"('lazy', 'industrious')",-0.9294447,-1.3067205,-0.2352589,-0.5842861,0.3490272
67,0.45827746,0.5641708,"('doubtful', 'determined')",-0.66536343,-0.56994426,-0.103543,-0.0028867,-0.1006563
61,-0.45663467,-0.48644197,"('illogical', 'logical')",0.46515793,0.43914098,0.0042616,-0.0236505,0.0279121
39,0.3912175,0.3281807,"('exploitative', 'cooperative')",-0.20323646,-0.23560385,0.0939905,0.0462884,0.0477021
13,-0.36929902,-0.26026815,"('impolite', 'polite')",-0.20307004,-0.04998564,-0.2861845,-0.1551269,-0.1310576
25,-0.3666183,-0.6055197,"('egoistic', 'altruistic')",0.6460221,0.39598116,0.1397019,-0.1047693,0.2444712
46,-0.36036783,-0.19214435,"('uncompetitive', 'competitive')",-0.4365996,-0.10771965,-0.3984837,-0.149932,-0.2485517
2,0.31014714,0.20855471,"('unlikable', 'likable')",0.31849614,0.3324205,0.3143216,0.2704876,0.043834
42,0.30589992,0.2866016,"('unreliable', 'reliable')",-3.0522923,-3.1078718,-1.3731962,-1.4106351,0.0374389
49,0.30409682,0.25956368,"('unable', 'able')",0.0075355824,0.056146972,0.1558162,0.1578553,-0.0020391
85,-0.30287087,-0.4776116,"('insignificant', 'prestigious')",-0.77397907,-1.1427805,-0.538425,-0.810196,0.271771
51,-0.2451797,-0.14827156,"('uneducated', 'educated')",1.0009632,1.1595296,0.3778917,0.505629,-0.1277373
59,-0.24404362,-0.41520673,"('foolish', 'wise')",-0.1624215,-0.50379044,-0.2032326,-0.4594986,0.256266
4,0.24003002,0.20723069,"('disliked', 'liked')",-6.768938,-6.925533,-3.2644541,-3.3591511,0.094697
50,-0.2102595,-0.41060185,"('clumsy', 'skillful')",0.21883526,0.087639,0.0042879,-0.1614814,0.1657693
14,0.20881288,0.39230418,"('antisocial', 'social')",-0.13849922,0.023272349,0.0351568,0.2077883,-0.1726315
87,0.20790228,0.25432137,"('unsuccessful', 'successful')",1.3645098,1.4721843,0.7862061,0.8632528,-0.0770467
23,-0.2010432,-0.22499205,"('insincere', 'sincere')",6.6036544,6.513489,3.2013056,3.1442482,0.0570574
44,-0.19873902,-0.40593186,"('prejudiced', 'unprejudiced')",-1.508933,-1.6356407,-0.853836,-1.0207863,0.1669503
34,0.19665028,0.14253937,"('mean', 'honorable')",6.1447153,6.0950027,3.1706829,3.1187711,0.0519118
78,0.18410163,0.1101437,"('nonresilient', 'resilient')",0.824215,0.8019397,0.5041583,0.4560417,0.0481166
64,-0.15312146,-0.25037134,"('shy', 'confident')",-6.4800653,-6.4146204,-3.3165934,-3.3324959,0.0159025
12,-0.1291901,-0.0037146006,"('unsupportive', 'supportive')",-1.9382486,-1.9980484,-1.0337194,-1.0008816,-0.0328378
15,-0.12433381,-0.14950536,"('boring', 'funny')",-0.41185212,-0.43532386,-0.268093,-0.2924146,0.0243216
20,-0.123335555,-0.11163886,"('rough', 'thoughtful')",0.5648682,0.662155,0.2207663,0.2752581,-0.0544918
32,-0.122650586,-0.18541391,"('unkind', 'kind')",0.8174653,0.8322211,0.3474074,0.3234036,0.0240038
79,-0.10283561,-0.19859204,"('wavering', 'unwavering')",-0.26402533,-0.4018797,-0.1834305,-0.3002359,0.1168054
16,-0.087117925,-0.27637282,"('unpopular', 'popular')",0.4604461,0.25267893,0.1866641,-0.0118469,0.198511
29,-0.06937503,-0.17158504,"('unfair', 'fair')",-0.5600724,-0.6212958,-0.3147237,-0.3964404,0.0817167
82,-0.06474939,-0.21690735,"('poor', 'rich')",7.261255,7.2197185,3.5982528,3.5014055,0.0968473
30,0.056015525,0.12736261,"('intolerant', 'tolerant')",0.73462623,0.7944261,0.3953209,0.4608943,-0.0655734
47,0.05563236,0.21508068,"('stupid', 'smart')",5.737997,5.959556,2.8968148,3.0873184,-0.1905036
33,0.047868405,0.015018649,"('wrong', 'right')",-0.9008253,-1.0703897,-0.4264784,-0.5276855,0.1012071
80,-0.034872796,0.18436337,"('dominated', 'dominating')",-0.48051584,-0.16461276,-0.2576943,0.0098753,-0.2675696
60,-0.031194443,0.129589,"('inefficient', 'efficient')",0.48666903,0.7635386,0.2277373,0.4465638,-0.2188265
77,-0.02263365,-0.11009784,"('unmotivated', 'motivated')",-0.54056317,-0.47856098,-0.2815984,-0.2943294,0.012731
62,-0.022604419,0.13175076,"('incompetent', 'brilliant')",1.0524904,1.2205713,0.5149429,0.6761611,-0.1612182
76,0.0174079,0.25524366,"('anxious', 'daring')",0.16554815,0.49835598,0.091478,0.3767998,-0.2853218
3,-0.01701418,0.03255394,"('repellent', 'pleasant')",0.86120456,0.91229916,0.4220952,0.4724265,-0.0503313
75,0.0130583495,-0.0060567353,"('meek', 'impulsive')",-0.70036477,-0.7932629,-0.3436532,-0.3996598,0.0560066
81,-0.009656268,0.2588544,"('submissive', 'aggressive')",-0.14082941,0.28929338,-0.0752428,0.2740739,-0.3493167
40,-0.006942291,0.043417167,"('stingy', 'generous')",-1.9184529,-2.084207,-0.9626976,-1.0203949,0.0576973
