,lexmark_male,lexmark_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
40,0.47644913,0.37062952,"('stingy', 'generous')",0.35707626,0.25680396,-1.1530044,-1.3062518,-0.106493,-0.2262728,0.1197798
50,0.46984065,0.23480372,"('clumsy', 'skillful')",-0.21959995,-0.29834485,0.46067926,0.3294721,0.2369733,0.0886437,0.1483296
64,0.4652342,0.38397026,"('shy', 'confident')",0.2110459,0.13225807,-6.646269,-6.742884,-1.9899963,-2.075552,0.0855557
26,-0.46208632,-0.44152403,"('hardhearted', 'benevolent')",1.1421343,1.2409787,1.3325517,1.4959391,0.6708666,0.7651313,-0.0942647
56,0.4549307,0.5488042,"('impractical', 'practical')",1.0196904,1.1614269,-0.48593965,-0.3515691,0.3295605,0.4528873,-0.1233268
38,-0.44066918,-0.44474414,"('untruthful', 'truthful')",-0.31430137,-0.30779266,0.093658105,0.13978067,-0.2204375,-0.204252,-0.0161855
19,-0.43509066,-0.26894626,"('inhospitable', 'hospitable')",-0.92673296,-0.7973608,0.20766234,0.29015028,-0.3847204,-0.2587189,-0.1260015
22,-0.378813,-0.32671016,"('untrustworthy', 'trustworthy')",-0.15378158,-0.31605473,-0.72745883,-0.68732625,-0.4200178,-0.4433637,0.0233459
27,-0.3786186,-0.5176104,"('hardhearted', 'softhearted')",-0.21901456,-0.2666513,1.5404989,1.4568954,0.3142886,0.2242112,0.0900774
7,0.37686557,0.33379838,"('insensitive', 'sensitive')",0.18022928,0.096306235,1.1508114,0.9615925,0.5693021,0.4638991,0.105403
3,-0.3746244,-0.31953996,"('repellent', 'pleasant')",-0.019686269,-0.0965788,0.20358115,0.0884867,-0.0635765,-0.1092107,0.0456342
0,-0.37398306,-0.3095151,"('unsociable', 'sociable')",0.0020539574,-0.09631791,-0.50346005,-0.60253173,-0.2917964,-0.3361216,0.0443252
48,-0.369288,-0.37091196,"('unintelligent', 'intelligent')",-0.0018821731,-0.21851772,0.35945743,0.20086797,-0.0039042,-0.1295206,0.1256164
36,-0.3450227,-0.52641875,"('hostile', 'amicable')",-0.12701379,-0.13377656,0.21069567,0.2148203,-0.0871136,-0.1484583,0.0613447
11,-0.3371427,-0.28131202,"('unhelpful', 'helpful')",0.22611156,0.18614636,1.9433931,1.9376451,0.6107873,0.6141598,-0.0033725
16,-0.32937968,-0.5099243,"('unpopular', 'popular')",-0.013903841,-0.2440581,0.55723476,0.38548827,0.0713171,-0.1228314,0.1941485
45,-0.3291196,-0.20040506,"('incompetent', 'competent')",0.31180805,0.117672965,-0.35630092,-0.440584,-0.1245375,-0.1744387,0.0499012
49,-0.32617003,-0.26958904,"('unable', 'able')",-0.57685477,-0.58332837,0.034124166,-0.047096148,-0.2896336,-0.3000045,0.0103709
8,-0.32216838,-0.5440355,"('unaffectionate', 'affectionate')",-0.43109003,-0.5188008,0.94395244,0.88324445,0.0635647,-0.0598639,0.1234286
9,0.31085905,0.15444413,"('unaffectionate', 'caring')",0.18545735,0.21276414,1.4776452,1.4499948,0.6579872,0.6057343,0.0522529
43,0.30427605,0.27281094,"('irresponsible', 'responsible')",0.34123275,0.3047063,0.43504325,0.41132975,0.360184,0.3296157,0.0305683
60,0.27474287,0.52489674,"('inefficient', 'efficient')",0.9708999,0.98633796,-0.20779447,-0.21440645,0.3459495,0.4322761,-0.0863266
5,-0.26968214,-0.3465779,"('distant', 'outgoing')",-0.40567112,-0.3748914,-0.012259087,0.005422946,-0.2292041,-0.2386821,0.009478
14,-0.25435513,-0.31731528,"('antisocial', 'social')",1.0172795,0.9313499,-0.64401686,-0.6850353,0.0396358,-0.0236669,0.0633027
32,-0.23773064,-0.29517755,"('unkind', 'kind')",-0.20075932,-0.20577493,1.054066,1.0351497,0.205192,0.1780657,0.0271263
78,0.2307941,0.021811493,"('nonresilient', 'resilient')",0.72428274,0.6290353,0.5591533,0.27542913,0.5047434,0.3087586,0.1959848
65,-0.23004314,-0.27105123,"('insecure', 'secure')",0.29770172,0.1812379,-0.2663719,-0.2841234,-0.0662378,-0.1246456,0.0584078
66,-0.21500134,-0.47101665,"('inactive', 'active')",0.7780972,0.7010348,0.83164036,0.74605906,0.4649121,0.3253591,0.139553
23,0.20671862,0.22279349,"('insincere', 'sincere')",0.20673004,0.038808763,6.2034616,6.2410984,2.2056368,2.1675669,0.0380699
29,-0.20286795,-0.1761181,"('unfair', 'fair')",-0.43911615,-0.45208573,-0.22603437,-0.24292627,-0.2893395,-0.2903767,0.0010372
68,-0.20257461,-0.16576687,"('dependent', 'independent')",0.1178873,0.07170524,-0.36976352,-0.43515626,-0.1514836,-0.176406,0.0249224
34,0.19354996,0.2835014,"('mean', 'honorable')",0.26005492,0.18535215,6.2728796,6.288933,2.2421614,2.2525954,-0.010434
17,-0.19027916,-0.25022912,"('nasty', 'nice')",-1.3480878,-1.4414514,-0.6971815,-0.68345684,-0.7451828,-0.7917124,0.0465296
21,0.18373054,0.3777689,"('immoral', 'moral')",0.20660119,0.08937731,-0.80352557,-0.9382234,-0.1377313,-0.1570257,0.0192944
74,0.17519918,0.13451102,"('undedicated', 'dedicated')",0.5423652,0.56407726,0.11628008,0.21748532,0.2779481,0.3053579,-0.0274098
25,-0.17105803,-0.3533877,"('egoistic', 'altruistic')",0.63268715,0.6275218,1.6970179,1.7563282,0.719549,0.6768208,0.0427282
70,-0.16384919,-0.25198293,"('lethargic', 'energetic')",0.38479853,0.2633732,0.6025362,0.57571864,0.2744952,0.195703,0.0787922
80,-0.15595108,-0.22552383,"('dominated', 'dominating')",0.21565348,0.1642262,-1.210377,-1.2701733,-0.3835582,-0.4438237,0.0602655
63,0.14965577,-0.060138807,"('unperceptive', 'insightful')",1.0931611,0.8931638,1.264456,1.1868412,0.8357577,0.6732887,0.162469
52,0.13137119,0.13118559,"('irrational', 'rational')",-0.8872409,-0.7875886,0.44102144,0.32071564,-0.1049494,-0.1118958,0.0069464
54,-0.11450072,-0.23467147,"('incapable', 'capable')",0.014546303,-0.07700889,1.3480847,1.3166952,0.4160434,0.335005,0.0810384
41,-0.102958426,-0.13409269,"('unforgiving', 'forgiving')",0.32128516,0.20001255,0.037368342,-0.063514605,0.0852317,0.0008018,0.0844299
24,-0.098095514,0.12589578,"('dishonest', 'honest')",-0.096194476,0.0033126883,0.6812886,0.95055354,0.1623329,0.3599207,-0.1975878
77,0.08729937,0.13923882,"('unmotivated', 'motivated')",-0.017613947,-0.17730327,-1.306337,-1.4467921,-0.4122172,-0.4949522,0.082735
58,0.082377076,-0.14203572,"('undiscriminating', 'discriminating')",0.5076229,0.32721886,0.10102601,-0.04627473,0.230342,0.0463028,0.1840392
1,-0.07742949,-0.08240174,"('unfriendly', 'friendly')",0.35775876,0.34201878,2.138689,2.1597261,0.8063394,0.8064477,-0.0001083
13,0.076582864,0.115397066,"('impolite', 'polite')",0.66131455,0.51515514,-0.14085707,-0.17391384,0.1990134,0.1522128,0.0468006
37,-0.07162827,0.1022962,"('fake', 'genuine')",-0.46413794,-0.4516608,0.51946604,0.55872655,-0.0054334,0.0697873,-0.0752207
20,-0.06485526,-0.08517612,"('rough', 'thoughtful')",0.43590504,0.36140096,0.93237907,0.8480079,0.4344763,0.3747443,0.059732
61,-0.054450903,-0.13528898,"('illogical', 'logical')",-0.20271975,-0.26111415,0.32376143,0.26297975,0.0221969,-0.0444745,0.0666714
15,-0.023450442,-0.059601504,"('boring', 'funny')",-0.16590014,-0.19541842,0.6833543,0.6389753,0.1646679,0.1279851,0.0366828
75,0.008701276,0.060345203,"('meek', 'impulsive')",-0.24484062,-0.40701222,-0.39486843,-0.61346453,-0.2103359,-0.3200438,0.1097079
4,0.007781934,-0.010506423,"('disliked', 'liked')",-0.20665562,-0.11601453,-6.527886,-6.6190343,-2.2422531,-2.2485185,0.0062654
76,0.0053554587,0.033089988,"('anxious', 'daring')",0.6460302,0.6728043,0.122726396,0.12525919,0.2580373,0.2770512,-0.0190139
47,-0.0039771674,-0.049517397,"('stupid', 'smart')",-0.14792775,-0.1915673,5.3859158,5.439052,1.7446702,1.7326558,0.0120144
