,bank_male,bank_female,tuple,of_male,of_female,america_male,america_female,corp_male,corp_female,average_male,average_female,male-female
61,1.0693314,1.2452798,"('illogical', 'logical')",-0.8493088,-0.7907129,0.07169899,0.26751062,0.39976424,0.4022763,0.1728715,0.2810884,-0.1082169
42,1.0390595,0.9582378,"('unreliable', 'reliable')",1.5455656,1.5409214,0.87501276,0.81993914,-2.6921163,-2.8374505,0.1918805,0.120412,0.0714685
40,1.0264016,0.86697173,"('stingy', 'generous')",1.3136467,1.2395425,0.8479073,0.8509232,-2.0256658,-2.2383196,0.2905725,0.1797795,0.110793
23,0.9889821,1.2945982,"('insincere', 'sincere')",-1.7249525,-1.3259603,-0.8977562,-0.43006843,6.089986,6.1874633,1.1140648,1.4315082,-0.3174434
39,0.9784681,1.0981411,"('exploitative', 'cooperative')",-0.36182076,-0.2991352,0.3043126,0.65425014,0.56431955,0.6207412,0.3713199,0.5184993,-0.1471794
50,-0.9707064,-0.9692042,"('clumsy', 'skillful')",0.6826253,0.5997272,0.36714482,0.17836782,0.13794175,0.09829385,0.0542514,-0.0232038,0.0774552
35,-0.95431155,-1.0651371,"('corrupt', 'incorrupt')",0.40426823,0.07081531,0.81473655,0.50533843,-0.7363166,-0.5864918,-0.1179059,-0.2688688,0.1509629
15,0.95209193,0.8616724,"('boring', 'funny')",0.38273835,0.2574981,0.43632075,0.45108443,-0.03681272,0.029294487,0.4335846,0.3998873,0.0336973
75,-0.92144805,-0.8695147,"('meek', 'impulsive')",0.7492956,0.7652608,0.73985934,0.72435457,-0.536872,-0.4351271,0.0077087,0.0462434,-0.0385347
78,0.9109112,0.9893604,"('nonresilient', 'resilient')",-0.6270077,-0.45161515,-0.30166504,-0.30015373,-0.39825916,-0.1672667,-0.1040052,0.0175812,-0.1215864
13,0.90410256,1.0935756,"('impolite', 'polite')",-1.2246125,-0.8384724,-0.64342445,-0.30503476,-0.7613359,-0.6061811,-0.4313176,-0.1640282,-0.2672894
38,0.8331297,1.1655793,"('untruthful', 'truthful')",-0.20241374,0.13574228,0.44147164,0.6257953,0.24734795,0.6026981,0.3298839,0.6324537,-0.3025698
31,-0.78381366,-0.997414,"('evil', 'good')",1.151638,0.9013938,1.0760814,0.9257806,-1.0298191,-1.056221,0.1035217,-0.0566152,0.1601369
87,0.7806747,0.76714116,"('unsuccessful', 'successful')",-0.8986864,-1.0637889,0.31855395,0.16222972,0.5741569,0.5114979,0.1936748,0.09427,0.0994048
8,0.7719498,0.5689981,"('unaffectionate', 'affectionate')",0.005460363,-0.08902194,0.6726473,0.70686275,0.63716775,0.7105244,0.5218063,0.4743408,0.0474655
33,0.7622436,0.68991786,"('wrong', 'right')",0.5309339,0.52509725,1.1362909,1.1053382,-0.28480175,-0.15472613,0.5361667,0.5414069,-0.0052402
21,0.7378634,0.787516,"('immoral', 'moral')",-0.9638176,-0.8353854,-0.41779137,-0.38279873,-0.8393355,-0.8527433,-0.3707703,-0.3208529,-0.0499174
43,0.72013646,0.9401442,"('irresponsible', 'responsible')",-1.0886148,-0.7973572,-1.1547791,-0.80522853,0.5222181,0.5631869,-0.2502598,-0.0248137,-0.2254461
44,-0.708445,-0.6406062,"('prejudiced', 'unprejudiced')",0.69294107,0.4920091,-0.6981748,-0.8250946,-1.261029,-1.2622845,-0.4936769,-0.5589941,0.0653172
88,-0.70559746,-0.78778106,"('low', 'eminent')",0.17228732,0.121190496,0.43999222,0.4005272,-0.23648515,-0.3682338,-0.0824508,-0.1585743,0.0761235
28,0.68635863,0.66333264,"('disloyal', 'loyal')",-1.2176778,-1.0387112,-0.0025153607,0.19863646,1.0286511,1.0711458,0.1237041,0.2236009,-0.0998968
47,0.6556265,0.7382857,"('stupid', 'smart')",-0.2362947,-0.20951793,-1.365412,-1.119148,5.5296636,5.6191025,1.1458958,1.2571806,-0.1112848
5,0.6290883,0.6760162,"('distant', 'outgoing')",0.21935862,0.19514734,0.8062366,0.8389059,-0.51220727,-0.11816665,0.2856191,0.3979757,-0.1123566
7,0.6256387,0.75503796,"('insensitive', 'sensitive')",-1.0676534,-0.81762564,-0.8025516,-0.6031002,0.49354157,0.3647138,-0.1877562,-0.0752435,-0.1125127
73,0.61552906,0.5404486,"('helpless', 'self-reliant')",1.9104666,1.8383209,0.8717186,0.7874364,-3.204084,-3.1912444,0.0484076,-0.0062596,0.0546672
64,-0.5840765,-0.5339867,"('shy', 'confident')",0.70250595,0.5608503,0.47273248,0.24926871,-6.300313,-6.3225737,-1.4272878,-1.5116103,0.0843225
82,-0.56088597,-0.37249732,"('poor', 'rich')",-1.642112,-1.2296048,-0.13564354,0.19100137,6.3147016,6.304498,0.994015,1.2233493,-0.2293343
24,0.56035334,0.7733422,"('dishonest', 'honest')",-0.55191934,-0.31388587,0.0824577,0.4732365,0.98853165,0.993602,0.2698558,0.4815737,-0.2117179
81,0.5279101,0.57858235,"('submissive', 'aggressive')",0.22698334,0.41549733,0.07601218,0.2074888,-0.74791956,-0.6044743,0.0207465,0.1492735,-0.128527
69,0.5222044,0.3782912,"('lazy', 'industrious')",1.2184114,0.8326271,1.0054969,0.79379797,-0.64486694,-0.4707531,0.5253115,0.3834908,0.1418207
57,-0.5007575,-0.5648874,"('unimaginative', 'imaginative')",-1.410127,-1.4532179,-0.43638217,-0.5605585,-2.983249,-3.217765,-1.332629,-1.4491072,0.1164782
30,0.50038004,0.65811,"('intolerant', 'tolerant')",0.26712897,0.4929608,-0.24994332,0.04740165,0.425888,0.587579,0.2358634,0.4465129,-0.2106495
25,0.49485767,0.37528074,"('egoistic', 'altruistic')",0.5117483,0.39461374,0.8947194,1.0527086,1.1585686,1.1067798,0.7649735,0.7323457,0.0326278
22,-0.49084952,-0.36008313,"('untrustworthy', 'trustworthy')",-0.6098164,-0.43481275,-0.45527357,-0.33881858,-0.538372,-0.72098804,-0.5235779,-0.4636756,-0.0599023
85,0.48941067,-0.011388827,"('insignificant', 'prestigious')",0.8127122,0.2607216,1.3462374,1.0336343,-0.3960811,-0.6140999,0.5630698,0.1672168,0.395853
0,0.48781046,0.5545605,"('unsociable', 'sociable')",-1.4186605,-1.361619,-1.2063912,-1.1898623,-0.52331686,-0.6726438,-0.6651396,-0.6673912,0.0022516
45,-0.45983717,-0.30003482,"('incompetent', 'competent')",-1.6683165,-1.5625012,-1.0494919,-0.91686094,-0.1936766,-0.26575908,-0.8428305,-0.761289,-0.0815415
66,0.4356238,0.13725258,"('inactive', 'active')",0.127358,-0.27639097,0.72142047,0.53909343,0.14708269,-0.032664016,0.3578712,0.0918228,0.2660484
20,-0.41839457,-0.3756616,"('rough', 'thoughtful')",-0.36290514,-0.47473663,-0.33966565,-0.5003669,0.93826616,0.97832537,-0.0456748,-0.09311,0.0474352
6,0.38960543,0.40387604,"('distant', 'open')",-0.051219698,-0.22642389,1.2127211,1.1384145,-0.42799976,-0.18676615,0.2807768,0.2822751,-0.0014983
10,-0.38653058,-0.25310326,"('unsympathetic', 'sympathetic')",-1.971841,-1.7273991,-0.8611316,-0.6880978,-0.36432025,-0.38075063,-0.8959559,-0.7623377,-0.1336182
48,-0.38277215,-0.38530752,"('unintelligent', 'intelligent')",-0.54976356,-0.53148985,0.2847836,0.24568622,0.78625315,0.667089,0.0346253,-0.0010055,0.0356308
3,-0.35304868,-0.18811588,"('repellent', 'pleasant')",-1.4279177,-1.3156124,-1.0690731,-0.94983685,0.80026907,0.59385437,-0.5124426,-0.4649277,-0.0475149
70,-0.3440207,-0.22610193,"('lethargic', 'energetic')",-0.13361673,-0.0718787,-0.73561317,-0.5850875,0.6483539,0.42940006,-0.1412242,-0.113417,-0.0278072
16,-0.3318337,-0.31694895,"('unpopular', 'popular')",-0.5872626,-0.59013784,-0.48454052,-0.5778003,0.035023134,-0.006930601,-0.3421534,-0.3729544,0.030801
60,0.32573268,0.7489708,"('inefficient', 'efficient')",-1.507122,-0.833561,-0.9225505,-0.36215892,-0.0040225605,0.2715071,-0.5269906,-0.0438105,-0.4831801
80,0.303629,0.24398245,"('dominated', 'dominating')",0.12657207,-0.00845468,-0.5713011,-0.59694856,-0.5878843,-0.77976906,-0.1822461,-0.2852975,0.1030514
11,0.29856783,0.6023747,"('unhelpful', 'helpful')",-1.2534976,-0.94787675,-0.17433724,0.094295956,2.3060617,2.585075,0.2941987,0.5834672,-0.2892685
77,0.2869835,0.40373465,"('unmotivated', 'motivated')",-2.0206487,-1.7462139,-1.1853752,-1.0025345,-1.2798638,-1.1227691,-1.049726,-0.8669457,-0.1827803
4,-0.28605884,-0.3815496,"('disliked', 'liked')",1.0385667,1.0642251,0.6596586,0.62112814,-6.9363136,-6.9814463,-1.3810368,-1.4194107,0.0383739
59,0.24021156,0.25938898,"('foolish', 'wise')",0.41166568,0.287505,0.95078695,0.9830947,0.1870285,0.43104604,0.4474232,0.4902587,-0.0428355
79,-0.2380993,-0.4260311,"('wavering', 'unwavering')",0.28422803,0.024632579,1.2949029,1.0448203,-0.5994895,-0.50960356,0.1853855,0.0334546,0.1519309
86,-0.23605332,-0.32198852,"('uninfluential', 'influential')",-1.3416246,-1.6217136,0.42633614,0.19761391,-0.18179205,-0.6240576,-0.3332835,-0.5925364,0.2592529
19,-0.23031244,-0.17300245,"('inhospitable', 'hospitable')",-0.4852222,-0.5651733,0.76730317,0.7432514,-0.6325938,-0.5117223,-0.1452063,-0.1266617,-0.0185446
76,-0.22866867,-0.19167563,"('anxious', 'daring')",-0.11596513,0.19167766,-0.5493366,-0.27389336,-0.40550974,-0.46789497,-0.32487,-0.1854466,-0.1394234
27,0.2158354,0.3239041,"('hardhearted', 'softhearted')",-0.13764119,-0.23591146,0.55650806,0.6180557,0.89084965,0.8761421,0.381388,0.3955476,-0.0141596
65,0.20028774,0.25214455,"('insecure', 'secure')",-0.3931353,-0.24642307,-0.55989593,-0.3656519,-0.1414528,-0.068104595,-0.2235491,-0.1070088,-0.1165403
36,0.1753472,-0.22181606,"('hostile', 'amicable')",-0.38295248,-0.699419,0.47878098,0.28037626,-0.4671002,-0.51904625,-0.0489811,-0.2899763,0.2409952
51,-0.17468673,-0.116658464,"('uneducated', 'educated')",-0.022589067,0.17814277,0.8439958,0.7681462,0.29744673,0.03825003,0.2360417,0.2169701,0.0190716
46,0.16903245,0.32169175,"('uncompetitive', 'competitive')",-1.964403,-1.6746836,-1.6420523,-1.4014623,-1.3746139,-1.4220483,-1.2030091,-1.0441256,-0.1588835
49,-0.1654847,0.19682772,"('unable', 'able')",-1.4332507,-0.96519476,-0.68198514,-0.41690946,-0.4798205,-0.17750667,-0.6901352,-0.3406958,-0.3494394
17,-0.16453943,0.003120469,"('nasty', 'nice')",-0.24051371,-0.09250359,-0.018111495,-0.01300417,-0.47498986,-0.27973646,-0.2245386,-0.0955309,-0.1290077
52,0.15582332,-0.18686725,"('irrational', 'rational')",-0.7517234,-1.0438931,0.46548593,0.2501861,-0.08764785,-0.0068846243,-0.0545155,-0.2468647,0.1923492
55,0.13763534,0.17408216,"('incompetent', 'clever')",-0.97638917,-0.893665,-0.9277854,-0.83355343,0.3494861,0.20225482,-0.3542633,-0.3377204,-0.0165429
58,0.13063799,-0.019561742,"('undiscriminating', 'discriminating')",0.25986916,0.2275378,0.03737321,-0.08091845,0.025322393,-0.045816213,0.1133007,0.0203103,0.0929904
18,-0.119014755,-0.27077255,"('disagreeable', 'welcoming')",1.097491,1.156291,1.1501244,1.2895324,-0.7032552,-0.72092795,0.3563364,0.3635307,-0.0071943
29,0.104402766,0.2892212,"('unfair', 'fair')",-0.5991117,-0.570033,-0.8974539,-0.83364505,-0.4434259,-0.53399765,-0.4588972,-0.4121136,-0.0467836
74,0.097396836,0.22219127,"('undedicated', 'dedicated')",-0.166093,0.07562361,0.33401877,0.5858525,-0.32046592,-0.46682578,-0.0137858,0.1042104,-0.1179962
72,0.0620699,0.22448206,"('unambitious', 'ambitious')",-0.3357665,0.1679672,0.4442413,0.8271361,-0.11178466,0.041945226,0.01469,0.3153827,-0.3006927
67,-0.0522164,-0.09583664,"('doubtful', 'determined')",0.57365286,0.5837477,0.14627437,0.15880223,-0.49192077,-0.52903163,0.0439475,0.0294204,0.0145271
84,-0.032960135,0.069493726,"('inferior', 'superior')",-0.48716268,-0.45372945,-0.06976911,-0.041119877,0.54151165,0.6800758,-0.0120951,0.0636801,-0.0757752
53,-0.016056936,-0.18189609,"('uncreative', 'creative')",-1.4973303,-1.4864832,-0.14504594,0.14592993,0.38235804,0.23917305,-0.3190188,-0.3208191,0.0018003
