,tegna_male,tegna_female,tuple,inc_male,inc_female,average_male,average_female,male-female
70,0.31933898,-0.095737085,"('lethargic', 'energetic')",0.7552301,0.59433913,0.5372846,0.249301,0.2879836
55,0.30624765,0.21504317,"('incompetent', 'clever')",0.43446207,0.357707,0.3703549,0.2863751,0.0839798
88,-0.29233092,0.014110746,"('low', 'eminent')",0.279354,0.5557445,-0.0064885,0.2849276,-0.2914161
54,-0.2914784,-0.34132797,"('incapable', 'capable')",0.9765348,1.2639261,0.3425282,0.4612991,-0.1187709
48,-0.28733557,-0.08558198,"('unintelligent', 'intelligent')",0.9864883,1.0197109,0.3495764,0.4670645,-0.1174881
32,0.28143653,0.2420001,"('unkind', 'kind')",0.77547836,0.8668364,0.5284575,0.5544183,-0.0259608
75,-0.25665268,-0.45114318,"('meek', 'impulsive')",-0.6378357,-0.64956737,-0.4472442,-0.5503553,0.1031111
46,0.2416812,-0.04220464,"('uncompetitive', 'competitive')",-0.33165738,-0.5752777,-0.0449881,-0.3087412,0.2637531
33,0.23706982,-0.16512951,"('wrong', 'right')",-0.59603214,-0.63280284,-0.1794812,-0.3989662,0.219485
14,0.21270005,0.49692976,"('antisocial', 'social')",-0.5480491,-0.40392664,-0.1676745,0.0465016,-0.2141761
27,-0.21106195,-0.63082236,"('hardhearted', 'softhearted')",1.28964,1.0650941,0.539289,0.2171359,0.3221531
52,-0.19987027,-0.242073,"('irrational', 'rational')",-0.12673794,0.038468935,-0.1633041,-0.101802,-0.0615021
82,-0.19828004,0.02156654,"('poor', 'rich')",5.6253843,6.175947,2.7135522,3.0987568,-0.3852046
81,0.19772774,0.29980016,"('submissive', 'aggressive')",-0.587284,-0.57688755,-0.1947781,-0.1385437,-0.0562344
40,0.18963481,-0.1751089,"('stingy', 'generous')",-1.8124623,-2.2366502,-0.8114138,-1.2058796,0.3944658
22,0.18831047,-0.010283722,"('untrustworthy', 'trustworthy')",-0.82590044,-0.9609491,-0.318795,-0.4856164,0.1668214
74,0.18758562,-0.051750947,"('undedicated', 'dedicated')",0.036416635,-0.15790457,0.1120011,-0.1048278,0.2168289
7,-0.17694987,-0.21536343,"('insensitive', 'sensitive')",0.42118636,0.4004537,0.1221182,0.0925451,0.0295731
23,-0.15986988,-0.10025042,"('insincere', 'sincere')",5.4208694,5.8331013,2.6304998,2.8664255,-0.2359257
26,-0.15620175,-0.04244821,"('hardhearted', 'benevolent')",1.5532501,1.6513551,0.6985242,0.8044535,-0.1059293
58,-0.15124743,-0.31435806,"('undiscriminating', 'discriminating')",0.13648832,-0.13158786,-0.0073796,-0.222973,0.2155934
41,0.14737844,0.23057117,"('unforgiving', 'forgiving')",-0.058378972,-0.17721722,0.0444997,0.026677,0.0178227
3,-0.14726129,-0.14921889,"('repellent', 'pleasant')",0.21844557,0.2547015,0.0355921,0.0527413,-0.0171492
12,0.1431435,-0.23921214,"('unsupportive', 'supportive')",-1.6327531,-1.8827155,-0.7448048,-1.0609637,0.3161589
49,-0.13819396,0.29458696,"('unable', 'able')",-0.27331924,0.18523204,-0.2057566,0.2399095,-0.4456661
13,-0.1253652,-0.13974735,"('impolite', 'polite')",-0.5917117,-0.4706092,-0.3585384,-0.3051783,-0.0533601
45,-0.110348925,-0.2617876,"('incompetent', 'competent')",-0.14174575,-0.18332744,-0.1260473,-0.2225575,0.0965102
10,-0.088963225,-0.4353098,"('unsympathetic', 'sympathetic')",-0.11691943,-0.4405728,-0.1029413,-0.4379413,0.335
72,-0.07662447,-0.11311868,"('unambitious', 'ambitious')",-0.82120544,-0.90186554,-0.4489149,-0.5074921,0.0585772
47,0.07403164,0.18985228,"('stupid', 'smart')",5.0313783,5.4397454,2.552705,2.8147988,-0.2620938
11,-0.07306709,0.02819889,"('unhelpful', 'helpful')",1.9853253,2.1968613,0.9561291,1.1125301,-0.156401
29,-0.06149681,-0.2771751,"('unfair', 'fair')",-0.44194913,-0.82838225,-0.251723,-0.5527787,0.3010557
18,0.028694753,0.26686043,"('disagreeable', 'welcoming')",-0.6247074,-0.44114953,-0.2980063,-0.0871446,-0.2108617
83,0.012817154,-0.24849147,"('powerless', 'powerful')",-0.76164746,-0.94730735,-0.3744152,-0.5978994,0.2234842
87,0.0010540299,-0.16261558,"('unsuccessful', 'successful')",0.6604247,0.632262,0.3307394,0.2348232,0.0959162
