,travel_male,travel_female,tuple,&_male,&_female,leisure_male,leisure_female,co_male,co_female,average_male,average_female,male-female
16,0.8246511,0.8493694,"('unpopular', 'popular')",0.09013855,0.4341904,1.6547414,1.713499,0.26443762,0.34232834,0.7084922,0.8348468,-0.1263546
85,0.78442955,0.90038776,"('insignificant', 'prestigious')",0.59225804,1.0641775,1.4274132,1.8345227,-1.0969405,-0.8842182,0.4267901,0.7287174,-0.3019273
4,0.75534153,0.625981,"('disliked', 'liked')",1.0032601,0.96737444,1.930681,1.8988037,-6.552546,-6.3187737,-0.7158158,-0.7066537,-0.0091621
27,-0.6986893,-0.66256696,"('hardhearted', 'softhearted')",-0.3844098,-0.61773235,-0.37284276,-0.46953592,0.17240027,-0.04777489,-0.3208854,-0.4494025,0.1285171
77,-0.6770075,-0.57791156,"('unmotivated', 'motivated')",-0.8518833,-0.8088228,0.22619998,0.042559132,-1.2727295,-1.2473506,-0.6438551,-0.6478814,0.0040263
3,-0.676212,-0.5395248,"('repellent', 'pleasant')",-0.50032437,-0.5565028,-0.8955684,-1.1139528,0.7417043,0.69071114,-0.3326001,-0.3798173,0.0472172
50,0.6703342,0.7230931,"('clumsy', 'skillful')",1.0501077,1.2055793,1.1008797,1.2079332,-0.12665421,0.0064470917,0.6736668,0.7857631,-0.1120963
62,0.61023545,0.56185925,"('incompetent', 'brilliant')",-0.37230286,-0.74388134,0.78790486,0.5242439,0.14766628,-0.03207963,0.2933759,0.0775355,0.2158404
35,-0.5819232,-0.56380033,"('corrupt', 'incorrupt')",0.53490895,0.83297324,-0.31560808,-0.18510939,-0.8236018,-0.6142099,-0.296556,-0.1325366,-0.1640194
60,0.570849,0.48610142,"('inefficient', 'efficient')",0.23539844,-0.44736585,0.07443394,-0.20084298,0.22150312,0.11157029,0.2755461,-0.0126343,0.2881804
63,0.562537,0.19904801,"('unperceptive', 'insightful')",1.3779941,0.9432382,0.76158804,0.19682214,0.38188076,0.19427,0.771,0.3833446,0.3876554
11,0.5600682,0.33796972,"('unhelpful', 'helpful')",0.56039256,0.37910503,1.3946553,1.0654746,2.9139488,2.6896756,1.3572662,1.1180563,0.2392099
74,0.5246074,0.599976,"('undedicated', 'dedicated')",0.64068735,0.22644919,0.015587803,-0.009577166,0.13426824,0.1806648,0.3287877,0.2493782,0.0794095
80,0.5050411,0.15690099,"('dominated', 'dominating')",0.4775385,-0.13765843,-0.23997685,-0.64718276,0.18971428,0.24051209,0.2330793,-0.096857,0.3299363
19,-0.49540025,-0.34601673,"('inhospitable', 'hospitable')",0.2511262,0.48581764,0.2244903,0.336154,-0.24937391,-0.12007868,-0.0672894,0.0889691,-0.1562585
83,0.49234867,0.41693515,"('powerless', 'powerful')",0.080361545,-0.20575437,0.8803499,0.8079407,-0.923342,-1.0142187,0.1324295,0.0012257,0.1312038
78,0.48379064,0.28516293,"('nonresilient', 'resilient')",-0.99348587,-1.5580553,0.62959766,0.36519447,-0.08826085,-0.22273228,0.0079104,-0.2826076,0.290518
36,-0.4813041,-0.30996376,"('hostile', 'amicable')",-0.3528707,0.0867601,-0.026529573,0.28185165,-0.6636353,-0.4795002,-0.3810849,-0.1052131,-0.2758718
69,0.47854388,0.6932806,"('lazy', 'industrious')",0.82101935,0.9669746,0.528983,0.8542002,-1.3499683,-1.250787,0.1196445,0.3159171,-0.1962726
57,0.4656487,0.35715884,"('unimaginative', 'imaginative')",-1.0870528,-1.5173295,1.2114851,0.8603408,-2.8436518,-2.97821,-0.5633927,-0.8195099,0.2561172
6,0.46019503,0.6220815,"('distant', 'open')",0.7848958,0.9865499,0.3270728,0.58407086,-0.74795306,-0.743145,0.2060526,0.3623893,-0.1563367
59,0.45530814,0.56430733,"('foolish', 'wise')",1.3410444,1.7333711,0.38972437,0.69597137,-0.023351379,-0.026424132,0.5406814,0.7418064,-0.201125
28,0.43901527,0.09379252,"('disloyal', 'loyal')",0.19329621,-0.054939587,-0.38197643,-0.8331654,1.1475997,1.095943,0.3494837,0.0754076,0.2740761
70,0.43215784,0.40397495,"('lethargic', 'energetic')",0.35216445,-0.068297386,-0.18763344,-0.523867,0.675597,0.49877512,0.3180715,0.0776464,0.2404251
52,-0.4090365,-0.31850386,"('irrational', 'rational')",-0.48933372,-0.034394346,-0.03689851,0.22434297,-0.69679517,-0.8051561,-0.408016,-0.2334278,-0.1745882
75,0.39958292,0.5315484,"('meek', 'impulsive')",0.53033197,0.6726397,1.0856731,1.2575828,-0.21153167,-0.28433233,0.4510141,0.5443597,-0.0933456
23,-0.38296124,-0.5039789,"('insincere', 'sincere')",-0.48037264,-0.5435572,-0.2297873,-0.5855205,5.9562116,5.602744,1.2157726,0.9924219,0.2233507
53,0.38034794,0.35360393,"('uncreative', 'creative')",0.35181072,0.24118507,1.4845697,1.3678916,0.7578451,0.64256763,0.7436433,0.6513121,0.0923312
46,0.35981953,0.19592404,"('uncompetitive', 'competitive')",-0.1302576,-0.7361611,0.1638266,-0.29288417,-0.30238378,-0.3172147,0.0227512,-0.287584,0.3103352
54,0.34409446,0.51864463,"('incapable', 'capable')",-0.11151335,0.28476012,0.57966185,0.7053626,0.78679264,0.8981564,0.3997589,0.6017309,-0.201972
10,-0.3082593,-0.5862696,"('unsympathetic', 'sympathetic')",-1.1218061,-1.688497,-0.79379356,-1.3263359,0.32834268,0.052401654,-0.473879,-0.8871752,0.4132962
7,0.3072166,0.092203945,"('insensitive', 'sensitive')",0.6211947,0.32932347,0.20305459,-0.1038508,0.1579821,-0.022037169,0.322362,0.0739099,0.2484521
