,conocophillips_male,conocophillips_female,tuple,average_male,average_female,male-female
79,0.80988145,0.7400847,"('wavering', 'unwavering')",0.8098814,0.7400847,0.0697967
36,0.7320534,0.8299398,"('hostile', 'amicable')",0.7320534,0.8299398,-0.0978864
8,-0.7213718,-0.7100494,"('unaffectionate', 'affectionate')",-0.7213718,-0.7100494,-0.0113224
56,-0.713046,-0.66780937,"('impractical', 'practical')",-0.713046,-0.6678094,-0.0452366
28,-0.67421865,-0.74993634,"('disloyal', 'loyal')",-0.6742187,-0.7499363,0.0757176
4,-0.6707004,-0.6385996,"('disliked', 'liked')",-0.6707004,-0.6385996,-0.0321008
83,-0.66662353,-0.6701186,"('powerless', 'powerful')",-0.6666235,-0.6701186,0.0034951
76,-0.6627389,-0.6511443,"('anxious', 'daring')",-0.6627389,-0.6511443,-0.0115946
58,-0.6449241,-0.7440054,"('undiscriminating', 'discriminating')",-0.6449241,-0.7440054,0.0990813
47,0.630368,0.75628,"('stupid', 'smart')",0.630368,0.75628,-0.125912
24,-0.6244099,-0.50617427,"('dishonest', 'honest')",-0.6244099,-0.5061743,-0.1182356
66,0.6235145,0.59298784,"('inactive', 'active')",0.6235145,0.5929878,0.0305267
9,-0.6068963,-0.5637364,"('unaffectionate', 'caring')",-0.6068963,-0.5637364,-0.0431599
3,-0.5992473,-0.64866316,"('repellent', 'pleasant')",-0.5992473,-0.6486632,0.0494159
18,-0.59746605,-0.5576403,"('disagreeable', 'welcoming')",-0.5974661,-0.5576403,-0.0398258
22,-0.58440137,-0.6163647,"('untrustworthy', 'trustworthy')",-0.5844014,-0.6163647,0.0319633
61,-0.5800267,-0.4890647,"('illogical', 'logical')",-0.5800267,-0.4890647,-0.090962
20,-0.54242396,-0.60209846,"('rough', 'thoughtful')",-0.542424,-0.6020985,0.0596745
38,-0.5359372,-0.38404498,"('untruthful', 'truthful')",-0.5359372,-0.384045,-0.1518922
1,0.512358,0.45140213,"('unfriendly', 'friendly')",0.512358,0.4514021,0.0609559
84,-0.5051729,-0.49600935,"('inferior', 'superior')",-0.5051729,-0.4960093,-0.0091636
75,0.49570405,0.55140734,"('meek', 'impulsive')",0.4957041,0.5514073,-0.0557032
77,-0.48686683,-0.5235287,"('unmotivated', 'motivated')",-0.4868668,-0.5235287,0.0366619
31,0.47914365,0.6246625,"('evil', 'good')",0.4791436,0.6246625,-0.1455189
80,-0.47644177,-0.6864557,"('dominated', 'dominating')",-0.4764418,-0.6864557,0.2100139
2,0.472101,0.6363478,"('unlikable', 'likable')",0.472101,0.6363478,-0.1642468
41,-0.47110206,-0.48333567,"('unforgiving', 'forgiving')",-0.4711021,-0.4833357,0.0122336
19,-0.46290877,-0.34270006,"('inhospitable', 'hospitable')",-0.4629088,-0.3427001,-0.1202087
42,-0.42587957,-0.43806124,"('unreliable', 'reliable')",-0.4258796,-0.4380612,0.0121816
68,-0.40614504,-0.37113956,"('dependent', 'independent')",-0.406145,-0.3711396,-0.0350054
44,0.3941251,0.41301695,"('prejudiced', 'unprejudiced')",0.3941251,0.4130169,-0.0188918
49,-0.3853251,-0.44947034,"('unable', 'able')",-0.3853251,-0.4494703,0.0641452
88,-0.37713858,-0.26965043,"('low', 'eminent')",-0.3771386,-0.2696504,-0.1074882
72,-0.37437046,-0.320842,"('unambitious', 'ambitious')",-0.3743705,-0.320842,-0.0535285
78,-0.36353344,-0.5834153,"('nonresilient', 'resilient')",-0.3635334,-0.5834153,0.2198819
34,0.3510717,0.39203364,"('mean', 'honorable')",0.3510717,0.3920336,-0.0409619
87,0.3458554,0.36321753,"('unsuccessful', 'successful')",0.3458554,0.3632175,-0.0173621
59,0.3384125,0.49022108,"('foolish', 'wise')",0.3384125,0.4902211,-0.1518086
82,0.31720355,0.36697632,"('poor', 'rich')",0.3172036,0.3669763,-0.0497727
74,-0.30026054,-0.3369608,"('undedicated', 'dedicated')",-0.3002605,-0.3369608,0.0367003
39,0.28662708,0.42783472,"('exploitative', 'cooperative')",0.2866271,0.4278347,-0.1412076
50,0.26607916,0.2207847,"('clumsy', 'skillful')",0.2660792,0.2207847,0.0452945
67,0.26223236,0.36932486,"('doubtful', 'determined')",0.2622324,0.3693249,-0.1070925
25,0.260121,0.28571573,"('egoistic', 'altruistic')",0.260121,0.2857157,-0.0255947
17,0.24963015,0.2662266,"('nasty', 'nice')",0.2496302,0.2662266,-0.0165964
71,0.20504466,0.2399773,"('diffident', 'self-confident')",0.2050447,0.2399773,-0.0349326
26,0.16379222,0.099554874,"('hardhearted', 'benevolent')",0.1637922,0.0995549,0.0642373
23,0.15649706,0.10513152,"('insincere', 'sincere')",0.1564971,0.1051315,0.0513656
15,0.15415882,0.21103512,"('boring', 'funny')",0.1541588,0.2110351,-0.0568763
37,-0.15058392,-0.1865446,"('fake', 'genuine')",-0.1505839,-0.1865446,0.0359607
32,0.11355103,0.14032513,"('unkind', 'kind')",0.113551,0.1403251,-0.0267741
53,-0.10321002,-0.1769166,"('uncreative', 'creative')",-0.10321,-0.1769166,0.0737066
29,-0.088477686,-0.0600127,"('unfair', 'fair')",-0.0884777,-0.0600127,-0.028465
54,0.0830918,0.05522579,"('incapable', 'capable')",0.0830918,0.0552258,0.027866
40,-0.07472493,-0.116546206,"('stingy', 'generous')",-0.0747249,-0.1165462,0.0418213
52,-0.03625685,0.063893676,"('irrational', 'rational')",-0.0362568,0.0638937,-0.1001505
73,-0.027813572,0.11376627,"('helpless', 'self-reliant')",-0.0278136,0.1137663,-0.1415799
16,-0.008578324,0.12837946,"('unpopular', 'popular')",-0.0085783,0.1283795,-0.1369578
27,-0.00083739497,-0.03370137,"('hardhearted', 'softhearted')",-0.0008374,-0.0337014,0.032864
