,zions_male,zions_female,tuple,bancorporation_male,bancorporation_female,n_male,n_female,a_male,a_female,average_male,average_female,male-female
76,0.79685783,0.65920913,"('anxious', 'daring')",0.1010561,0.22671506,0.56545424,0.5650785,-0.91692823,-0.8871684,0.13661,0.1409586,-0.0043486
42,0.79623795,0.8165759,"('unreliable', 'reliable')",0.7025834,0.6537854,0.028214812,-0.09857273,-3.4900894,-3.6905346,-0.4907633,-0.5796865,0.0889232
6,-0.7764607,-0.6102164,"('distant', 'open')",0.5537737,0.3309308,-1.270845,-1.3095914,0.286135,0.3109467,-0.3018493,-0.3194826,0.0176333
70,0.77342,0.3727578,"('lethargic', 'energetic')",-0.95843285,-1.0067261,1.6306591,1.325559,0.9504524,0.64818597,0.5990247,0.3349442,0.2640805
44,-0.7652483,-0.80305195,"('prejudiced', 'unprejudiced')",0.7595769,0.75534886,-0.57743853,-0.41070908,-1.9333148,-1.9104711,-0.6291062,-0.5922208,-0.0368854
2,0.75150466,1.0160965,"('unlikable', 'likable')",1.5779117,1.7773776,1.3880706,1.7646942,0.8524888,0.95975137,1.142494,1.3794799,-0.2369859
23,0.7487666,0.8739121,"('insincere', 'sincere')",-0.57856023,-0.2756967,1.1219794,1.2167728,5.921321,6.18767,1.8033767,2.0006647,-0.197288
5,-0.71751976,-0.5819037,"('distant', 'outgoing')",0.8616611,0.68091613,-1.3522829,-1.4304667,-0.7484429,-0.7008582,-0.4891461,-0.5080781,0.018932
79,0.71582776,0.5428055,"('wavering', 'unwavering')",0.21547158,0.06630993,-0.24064004,-0.3606831,0.32114577,0.23936872,0.2529513,0.1219503,0.131001
47,-0.703521,-0.7638552,"('stupid', 'smart')",0.15128934,0.1620906,1.2908938,1.1287382,5.4450054,5.5305905,1.5459169,1.5143911,0.0315258
53,-0.6886356,-0.389539,"('uncreative', 'creative')",-0.52369547,-0.5255455,0.17454502,0.15555172,0.65815395,0.7028973,-0.094908,-0.0141589,-0.0807491
82,-0.6522598,-0.29301602,"('poor', 'rich')",-0.89739037,-0.5843075,1.8067949,1.9913188,6.42505,6.5181494,1.6705487,1.9080362,-0.2374875
54,-0.59490776,-0.32738712,"('incapable', 'capable')",0.21519057,0.2832417,0.4150343,0.46478364,1.6722926,1.7083056,0.4269024,0.532236,-0.1053336
88,-0.57340324,-0.15247887,"('low', 'eminent')",-1.1602324,-0.90973526,-0.20464337,-0.103047356,-0.58995044,-0.43069518,-0.6320574,-0.3989892,-0.2330682
83,-0.5722185,-0.6008397,"('powerless', 'powerful')",0.23282978,0.32258338,-1.1294825,-1.2116705,-1.2437615,-1.2127085,-0.6781582,-0.6756588,-0.0024994
75,-0.5715263,-0.6411152,"('meek', 'impulsive')",0.998438,0.80414486,-1.0029138,-0.92450047,-0.46018866,-0.56008816,-0.2590477,-0.3303897,0.071342
63,0.535616,0.34173873,"('unperceptive', 'insightful')",-0.60036594,-0.58161545,0.5475543,0.44169232,0.98903733,0.7867977,0.3679604,0.2471533,0.1208071
50,-0.5353175,-0.08837213,"('clumsy', 'skillful')",0.18775873,0.18954815,-0.05916381,0.07540148,0.76641595,0.79386425,0.0899234,0.2426104,-0.152687
35,-0.53112054,-0.48830533,"('corrupt', 'incorrupt')",1.6336327,1.3617883,-2.0941148,-2.1283972,-0.48694694,-0.4219098,-0.3696374,-0.419206,0.0495686
17,-0.52270925,-0.65692216,"('nasty', 'nice')",0.35018355,0.1857497,-0.68135786,-0.7660353,-0.9672715,-0.8309683,-0.4552888,-0.517044,0.0617552
11,0.5009372,0.27725077,"('unhelpful', 'helpful')",-1.059179,-0.9055861,1.2247094,1.0477297,1.8867788,1.9741086,0.6383116,0.5983757,0.0399359
85,-0.4986183,-0.13338621,"('insignificant', 'prestigious')",0.6290778,0.5530574,-1.1459163,-0.8363166,0.15196706,0.2797715,-0.2158725,-0.0342185,-0.181654
59,0.49813107,0.5733012,"('foolish', 'wise')",0.32750154,0.1747199,0.279033,0.17935033,1.3728478,1.3961037,0.6193783,0.5808688,0.0385095
77,-0.49394724,-0.19132774,"('unmotivated', 'motivated')",0.11546348,0.16939117,-0.85453236,-0.46604922,-0.62390786,-0.5911714,-0.464231,-0.2697893,-0.1944417
64,-0.45939997,-0.50084156,"('shy', 'confident')",-0.52587867,-0.44683713,-0.47994936,-0.6619133,-6.1898828,-6.5111423,-1.9137777,-2.0301836,0.1164059
41,0.4481901,0.5949253,"('unforgiving', 'forgiving')",0.166016,0.379962,0.51628333,0.51653826,0.4723494,0.5628866,0.4007097,0.5135781,-0.1128684
38,0.4422492,0.4926248,"('untruthful', 'truthful')",-0.17963623,-0.052410934,0.13196793,0.26064384,1.0458033,1.1173509,0.3600961,0.4545522,-0.0944561
62,0.40362737,0.10234833,"('incompetent', 'brilliant')",-0.6567572,-0.5675248,1.7609545,1.7435336,0.96882534,0.87787354,0.6191625,0.5390577,0.0801048
72,0.38400865,0.50193274,"('unambitious', 'ambitious')",-0.9084365,-0.8187508,0.6058156,0.7156824,0.9158041,0.7739793,0.249298,0.2932109,-0.0439129
65,0.3639588,0.415021,"('insecure', 'secure')",-0.6748285,-0.36672214,1.3031402,1.3871828,0.13630795,0.21996385,0.2821446,0.4138614,-0.1317168
20,-0.32900244,-0.17358716,"('rough', 'thoughtful')",0.0014692042,-0.021419317,-0.06273562,0.17350261,0.3107745,0.3666703,-0.0198736,0.0862916,-0.1061652
86,0.31135136,0.53978616,"('uninfluential', 'influential')",-2.2410972,-2.0538619,0.17756504,0.18365368,0.5973193,0.46376503,-0.2887154,-0.2166643,-0.0720511
45,-0.30604684,-0.3686606,"('incompetent', 'competent')",-1.6974834,-1.5920715,1.4721378,1.1960926,0.7983284,0.66680276,0.066734,-0.0244592,0.0911932
78,-0.30511877,0.09314218,"('nonresilient', 'resilient')",-0.25286457,-0.264784,-0.05999054,0.13039532,-0.076398715,-0.18197045,-0.1735931,-0.0558042,-0.1177889
3,-0.2976574,-0.11246756,"('repellent', 'pleasant')",-0.21597914,-0.14304034,1.3647729,1.5829371,1.2978799,1.3593776,0.5372541,0.6717017,-0.1344476
60,0.29759982,0.415838,"('inefficient', 'efficient')",-0.92764664,-0.5839274,0.97796935,1.2134842,-0.21383953,-0.16610588,0.0335207,0.2198222,-0.1863015
18,0.27439648,0.6780391,"('disagreeable', 'welcoming')",0.100443006,0.266253,-0.2821871,-0.11352898,-0.3054623,-0.12727973,-0.0532025,0.1758708,-0.2290733
57,-0.2625836,-0.23552974,"('unimaginative', 'imaginative')",-0.95015925,-1.0442562,0.58056,0.20874277,-2.692943,-2.9276927,-0.8312815,-0.999684,0.1684025
37,-0.25664812,-0.35233313,"('fake', 'genuine')",-1.2752066,-1.2766718,-0.11494809,-0.3684224,0.48397613,0.30947632,-0.2907066,-0.4219878,0.1312812
71,0.24203072,0.5227954,"('diffident', 'self-confident')",0.41630235,0.46133855,-0.11342955,-0.13044332,-0.040373784,-0.026738912,0.1261324,0.2067379,-0.0806055
69,0.23374718,0.4021814,"('lazy', 'industrious')",2.7850277,2.532919,-1.0793006,-0.919652,-1.060073,-0.9231517,0.2198503,0.2730742,-0.0532239
55,-0.23347707,-0.00039262325,"('incompetent', 'clever')",-2.3228495,-1.9718636,1.2445954,1.2714958,0.13051029,0.19149436,-0.2953052,-0.1273165,-0.1679887
34,-0.22303016,-0.28334022,"('mean', 'honorable')",0.2998721,0.43080747,0.6637603,0.7506448,5.0641375,5.31847,1.451185,1.5541456,-0.1029606
14,0.22070317,0.35989156,"('antisocial', 'social')",-0.17729267,0.15360132,1.6075226,1.6773008,-0.7448582,-0.7206522,0.2265187,0.3675354,-0.1410167
21,0.20914716,0.5837218,"('immoral', 'moral')",-1.1550977,-0.8880375,1.4413117,1.78756,-0.035389587,0.14751181,0.1149929,0.407689,-0.2926961
28,0.18700816,0.28002387,"('disloyal', 'loyal')",-1.4202118,-1.2634659,1.0012919,0.8987626,1.9558616,2.0523086,0.4309874,0.4919073,-0.0609199
0,-0.18354686,0.035042673,"('unsociable', 'sociable')",-0.6431159,-0.43249545,1.2380146,1.227443,-0.2637354,-0.22561935,0.0369041,0.1510927,-0.1141886
46,-0.17526019,-0.22753605,"('uncompetitive', 'competitive')",-1.0699809,-0.9158596,0.2161151,0.24683765,-0.23462139,-0.31221128,-0.3159368,-0.3021923,-0.0137445
15,0.17382579,0.29568356,"('boring', 'funny')",0.90693414,0.9667065,0.80456126,0.70192367,0.03641596,0.17238732,0.4804343,0.5341753,-0.053741
48,-0.16710833,-0.16049239,"('unintelligent', 'intelligent')",-1.9251413,-1.8089491,-0.2430207,-0.2058909,0.6556426,0.6515378,-0.4199069,-0.3809487,-0.0389582
13,-0.11402574,-0.3598976,"('impolite', 'polite')",-0.23212098,-0.16694766,0.06646939,-0.17855893,-0.26720253,-0.46859497,-0.13672,-0.2934998,0.1567798
8,-0.11110258,-0.030126613,"('unaffectionate', 'affectionate')",-1.0362359,-0.94135886,-0.366961,-0.5201058,0.61493355,0.57818377,-0.2248415,-0.2283519,0.0035104
87,0.10812373,0.2463717,"('unsuccessful', 'successful')",0.7065196,0.80259115,2.0597808,2.074137,1.150929,1.1026772,1.0063384,1.0564443,-0.0501059
27,0.09983291,0.45464525,"('hardhearted', 'softhearted')",-0.3283198,-0.3753204,-0.5151836,-0.49830583,0.9712949,1.1337557,0.0569061,0.1786937,-0.1217876
58,-0.08499806,-0.11188711,"('undiscriminating', 'discriminating')",0.5167981,0.5001068,-0.42473477,-0.41100284,-0.12440248,-0.11531469,-0.0293343,-0.0345245,0.0051902
9,0.0694864,0.24957012,"('unaffectionate', 'caring')",-0.39308384,-0.35303882,0.027373664,0.018108424,1.5773504,1.5924176,0.3202817,0.3767643,-0.0564826
10,-0.069035694,-0.004728999,"('unsympathetic', 'sympathetic')",-2.479515,-2.2606115,0.7902663,0.6015829,0.29853553,0.11546976,-0.3649372,-0.387072,0.0221348
33,0.06491244,0.15857343,"('wrong', 'right')",1.2633461,1.144191,0.20955056,0.36014897,-0.037746266,0.01783707,0.3750157,0.4201876,-0.0451719
30,-0.06311541,-0.25098866,"('intolerant', 'tolerant')",-0.68146926,-0.3658103,-0.07184473,-0.19357222,-0.07200023,0.06419272,-0.2221074,-0.1865446,-0.0355628
66,0.061292917,-0.09446025,"('inactive', 'active')",1.2251433,0.867168,-0.19160265,-0.36583486,0.8447935,0.8142951,0.4849068,0.305292,0.1796148
67,-0.047714137,-0.236135,"('doubtful', 'determined')",0.9192001,0.8741067,0.10102305,0.11322464,-0.895302,-0.89892113,0.0193018,-0.0369312,0.056233
81,0.044100583,0.051976763,"('submissive', 'aggressive')",-1.1244785,-0.86222523,0.7934887,0.787004,-0.48385116,-0.55695164,-0.1926851,-0.145049,-0.0476361
22,0.04052217,-0.03941375,"('untrustworthy', 'trustworthy')",-0.94644266,-0.87979835,1.0999355,0.9213088,-0.5251546,-0.6758645,-0.0827849,-0.168442,0.0856571
24,-0.031602718,-0.12669326,"('dishonest', 'honest')",-1.7479396,-1.5735918,-0.3989111,-0.6369445,1.3632072,1.27348,-0.2038116,-0.2659374,0.0621258
51,0.028782252,0.05861784,"('uneducated', 'educated')",-1.8060135,-1.693236,1.7306622,1.6691927,-0.28879586,-0.34567878,-0.0838412,-0.0777761,-0.0060651
32,-0.023970317,0.3453194,"('unkind', 'kind')",0.038710788,0.24751946,1.3221705,1.3732665,1.076076,1.0900682,0.6032467,0.7640434,-0.1607967
4,-0.007130962,0.25978294,"('disliked', 'liked')",0.42737955,0.2763268,-0.08744492,-0.0991368,-6.290502,-6.475642,-1.4894246,-1.5096673,0.0202427
