,allegheny_male,allegheny_female,tuple,technologies_male,technologies_female,average_male,average_female,male-female
81,-0.5364572,0.18002166,"('submissive', 'aggressive')",0.6053307,0.9573277,0.0344368,0.5686747,-0.5342379
4,-0.52753913,-1.0792999,"('disliked', 'liked')",-6.870678,-6.3531895,-3.6991086,-3.7162447,0.0171361
70,0.5043266,1.0253849,"('lethargic', 'energetic')",0.1653284,0.47920728,0.3348275,0.7522961,-0.4174686
48,-0.50293374,-0.3920016,"('unintelligent', 'intelligent')",1.409179,1.3361626,0.4531226,0.4720805,-0.0189579
46,-0.50109965,0.43075332,"('uncompetitive', 'competitive')",0.17400712,0.5557126,-0.1635463,0.493233,-0.6567793
14,-0.49703822,0.09587473,"('antisocial', 'social')",-0.022990407,0.3500565,-0.2600143,0.2229656,-0.4829799
37,0.48344493,0.53378797,"('fake', 'genuine')",0.22156954,0.12950554,0.3525072,0.3316467,0.0208605
47,-0.46350896,-0.07202218,"('stupid', 'smart')",4.928896,4.7163124,2.2326934,2.3221452,-0.0894518
2,0.44817528,0.8007236,"('unlikable', 'likable')",-0.0024988167,0.14870706,0.2228382,0.4747154,-0.2518772
32,0.44492197,0.6935601,"('unkind', 'kind')",0.373663,0.30430633,0.4092925,0.4989332,-0.0896407
60,-0.44477952,0.84336936,"('inefficient', 'efficient')",1.3310024,1.9265677,0.4431114,1.3849685,-0.9418571
61,0.39489374,0.45249435,"('illogical', 'logical')",0.2900762,-0.004305197,0.342485,0.2240946,0.1183904
75,0.3909749,0.0846725,"('meek', 'impulsive')",-0.60615444,-0.4216898,-0.1075898,-0.1685086,0.0609188
18,0.33499882,0.34345233,"('disagreeable', 'welcoming')",-0.60950685,-0.5247275,-0.137254,-0.0906376,-0.0466164
21,0.31401607,0.98330575,"('immoral', 'moral')",0.3571089,0.48673356,0.3355625,0.7350197,-0.3994572
13,-0.30236635,0.67642903,"('impolite', 'polite')",0.102083445,0.2559959,-0.1001415,0.4662125,-0.566354
62,-0.29770425,0.6900201,"('incompetent', 'brilliant')",0.8641493,1.1685222,0.2832225,0.9292712,-0.6460487
28,0.28902197,-0.06717217,"('disloyal', 'loyal')",0.5009047,0.45738134,0.3949633,0.1951046,0.1998587
67,0.2846019,0.6412828,"('doubtful', 'determined')",0.054872025,0.170463,0.169737,0.4058729,-0.2361359
19,0.27464718,-0.24451868,"('inhospitable', 'hospitable')",-0.5813008,-0.7636284,-0.1533268,-0.5040736,0.3507468
51,0.26407936,0.41107288,"('uneducated', 'educated')",0.43188497,0.37699437,0.3479822,0.3940336,-0.0460514
30,0.2594328,0.6870009,"('intolerant', 'tolerant')",1.4708824,1.6348724,0.8651576,1.1609366,-0.295779
11,-0.25472915,0.53957766,"('unhelpful', 'helpful')",2.58084,2.910731,1.1630554,1.7251544,-0.562099
42,0.2405112,0.7347212,"('unreliable', 'reliable')",-3.6896076,-3.2976077,-1.7245482,-1.2814432,-0.443105
10,0.20103973,0.6089319,"('unsympathetic', 'sympathetic')",0.085997075,0.19112185,0.1435184,0.4000269,-0.2565085
23,0.20052768,0.9357876,"('insincere', 'sincere')",5.6084213,5.348715,2.9044745,3.1422513,-0.2377768
76,0.19293654,0.922508,"('anxious', 'daring')",0.6927418,0.9948047,0.4428392,0.9586563,-0.5158171
77,0.15613356,0.74462885,"('unmotivated', 'motivated')",0.47474572,0.80630904,0.3154396,0.7754689,-0.4600293
36,0.15030128,-0.9546583,"('hostile', 'amicable')",-1.2108873,-1.6049454,-0.530293,-1.2798018,0.7495088
43,-0.14664881,0.5373677,"('irresponsible', 'responsible')",0.24203359,0.31090638,0.0476924,0.4241371,-0.3764447
58,0.14066711,-0.43664542,"('undiscriminating', 'discriminating')",-0.35508436,-0.6500666,-0.1072086,-0.543356,0.4361474
52,-0.14000079,-0.91834474,"('irrational', 'rational')",-0.7490969,-1.0868024,-0.4445488,-1.0025735,0.5580247
35,-0.13606137,-0.97336245,"('corrupt', 'incorrupt')",-1.225632,-1.3982115,-0.6808467,-1.185787,0.5049403
86,0.12511581,0.047801573,"('uninfluential', 'influential')",-0.17219685,-0.2559194,-0.0235405,-0.1040589,0.0805184
88,0.12452018,-0.11248299,"('low', 'eminent')",0.25667864,0.34727973,0.1905994,0.1173984,0.073201
87,-0.10751113,0.37497357,"('unsuccessful', 'successful')",0.53183794,0.5823238,0.2121634,0.4786487,-0.2664853
31,-0.09354712,-1.084866,"('evil', 'good')",-1.922043,-2.2397935,-1.0077951,-1.6623298,0.6545347
20,-0.062615186,-0.15492083,"('rough', 'thoughtful')",0.9040466,0.7440538,0.4207157,0.2945665,0.1261492
38,-0.035054635,0.09152305,"('untruthful', 'truthful')",0.19472885,0.24434656,0.0798371,0.1679348,-0.0880977
57,-0.033770688,-0.28181654,"('unimaginative', 'imaginative')",-2.3109565,-2.0076482,-1.1723636,-1.1447324,-0.0276312
15,0.033452578,-0.305969,"('boring', 'funny')",-0.6399622,-0.745027,-0.3032548,-0.525498,0.2222432
56,-0.02909101,1.0086752,"('impractical', 'practical')",0.053720288,0.48648202,0.0123146,0.7475786,-0.735264
78,-0.020782523,0.1641435,"('nonresilient', 'resilient')",0.983914,1.2162274,0.4815657,0.6901854,-0.2086197
83,-0.013197137,0.0858549,"('powerless', 'powerful')",-0.024197891,-0.08944736,-0.0186975,-0.0017962,-0.0169013
34,-0.0021537542,0.18253833,"('mean', 'honorable')",4.5087876,4.247846,2.2533169,2.2151923,0.0381246
