,new_male,new_female,tuple,york_male,york_female,times_male,times_female,co_male,co_female,average_male,average_female,male-female
87,0.08281597,-0.019842912,"('unsuccessful', 'successful')",0.22521944,0.105992615,0.6867079,0.6093291,0.110421024,0.124416985,0.2762911,0.204974,0.0713171
63,-0.07600179,-0.047703028,"('unperceptive', 'insightful')",-0.18980274,-0.15665916,0.6587328,0.6323275,-0.24637453,-0.07022237,0.0366384,0.0894357,-0.0527973
75,0.07133308,0.4433276,"('meek', 'impulsive')",1.5465326,1.7370358,-0.2745936,-0.055782005,-0.8443024,-0.8207015,0.1247424,0.32597,-0.2012276
85,0.07071505,0.23189725,"('insignificant', 'prestigious')",0.8015348,0.7484422,0.41914472,0.43017423,-0.8775368,-0.8566355,0.1034645,0.1384695,-0.035005
43,-0.05306186,-0.079714574,"('irresponsible', 'responsible')",-0.3648557,-0.3892306,-0.017289259,-0.20690255,0.64242834,0.75329703,0.0518054,0.0193623,0.0324431
54,0.040485036,-0.09507476,"('incapable', 'capable')",0.3859744,0.29341283,0.6550073,0.55701596,0.6864707,0.74227864,0.4419844,0.3744082,0.0675762
33,0.03946807,0.1607236,"('wrong', 'right')",0.5321913,0.40336823,0.47798568,0.44555703,-0.4697121,-0.43921694,0.1449832,0.142608,0.0023752
73,0.038849972,0.22156289,"('helpless', 'self-reliant')",1.3235183,1.2508708,0.5771388,0.47952956,-3.3018901,-3.3161452,-0.3405958,-0.3410455,0.0004497
23,0.032755427,-0.28729907,"('insincere', 'sincere')",-1.9395385,-1.9182974,-0.6800093,-0.89498585,5.7112145,5.8237147,0.7811055,0.6807831,0.1003224
0,0.031283192,-0.18592769,"('unsociable', 'sociable')",-0.7891185,-0.9136355,-0.06933055,-0.20942953,0.071189344,0.114245854,-0.1889941,-0.2986867,0.1096926
58,-0.005424626,0.05121783,"('undiscriminating', 'discriminating')",0.5674329,0.4934154,0.93749523,0.7609391,0.27204496,0.2928519,0.4428871,0.399606,0.0432811
