,williams_male,williams_female,tuple,cos_male,cos_female,average_male,average_female,male-female
32,0.1265133,0.42640907,"('unkind', 'kind')",0.59468186,0.65409327,0.3605976,0.5402511,-0.1796535
39,-0.114329204,0.35188544,"('exploitative', 'cooperative')",0.67895037,1.0073802,0.2823106,0.6796328,-0.3973222
78,-0.1007753,-0.13492398,"('nonresilient', 'resilient')",0.43961558,0.31470916,0.1694201,0.0898926,0.0795275
58,-0.0921255,0.03488849,"('undiscriminating', 'discriminating')",0.15418832,0.3557995,0.0310314,0.195344,-0.1643126
83,-0.08659302,0.1391505,"('powerless', 'powerful')",-1.1020586,-0.8448214,-0.5943258,-0.3528354,-0.2414904
67,-0.0815924,0.1325805,"('doubtful', 'determined')",0.18535236,0.3790972,0.05188,0.2558388,-0.2039588
48,-0.07777049,-0.09586008,"('unintelligent', 'intelligent')",-0.10964617,-0.25770766,-0.0937083,-0.1767839,0.0830756
68,-0.041308645,0.16370356,"('dependent', 'independent')",-1.085177,-1.1334097,-0.5632428,-0.4848531,-0.0783897
54,-0.030235775,-0.016532287,"('incapable', 'capable')",0.1715051,0.0062597543,0.0706347,-0.0051363,0.075771
69,0.021571018,0.07129324,"('lazy', 'industrious')",-0.082168974,0.12879294,-0.030299,0.1000431,-0.1303421
4,-0.008986965,0.024565302,"('disliked', 'liked')",-2.936926,-3.349799,-1.4729564,-1.6626168,0.1896604
